origin,audio_url,nationality,category,dates,name,title,technique,image_url,dimension,birthDate,deathDate,EA_id
"Made in United States, North and Central America",,American,European Decorative Arts and Sculpture,Designed 1978-84; made 1985,Designed by Robert Venturi,"""Chippendale"" Chair",Bent laminated wood; plastic laminate,http://www.philamuseum.org/images/cad/large/1985-94-4.jpg,"37 1/2 x 23 1/8 x 18 1/2 inches (95.3 x 58.7 x 47 cm)
Seat height: 15 3/4 inches (40 cm)",1925,,fb899b2bb07e
"Made in Toledo, Ohio, United States, North and Central America",,American,European Decorative Arts and Sculpture,Designed 1949,Designed by Freda Diamond,"""Classic Crystal"" Glasses",Glass,http://www.philamuseum.org/images/cad/large/1982-151-1--5.jpg,"Jigger [1982-151-1] height: 2 1/4 inches (5.7 cm)
Old-Fashioned [1982-151-2] height: 3 3/8 inches (8.6 cm)
Collins [1982-151-3] height: 4 3/4 inches (12.1 cm)
Iced Tea [1982-151-4] height: 5 1/4 inches (13.3 cm)
Cooler [1982-151-5] height: 6 inches (15.2 cm)",1905,1998,f8dca188029a
"Made in Ojai, California, United States, North and Central America",,American,American Art,1996,Beatrice Wood,"""Blindman"" Pin",Silver,http://www.philamuseum.org/images/cad/large/2009-32-1-neh.jpg,4 1/2 x 3 1/2 inches (11.4 x 8.9 cm),1893,1998,478ec48d32c9
"Made in United States, North and Central America",,Canadian(bornEgypt),European Decorative Arts and Sculpture,Designed 1990 (restyled 1997),Karim Rashid,"""Aura"" Table","Metal, glass",http://www.philamuseum.org/images/cad/large/1999-154-1.jpg,18 3/4 x 35 1/2 x 32 1/8 inches (47.6 x 90.2 x 81.6 cm),1960,,3bfc7a8299fc
"Made in United States, North and Central America",,American,European Decorative Arts and Sculpture,Designed 1947,Designed by George Nelson,"""Ball"" Wall Clock","Painted birch, steel, brass",http://www.philamuseum.org/images/cad/large/1983-50-4.jpg,Diameter: 13 3/8 inches (34 cm),1908,1986,524df565e2a8
"Made in United States, North and Central America",,American,"Prints, Drawings, and Photographs",c. 1904,Reproduction after a painting by A. Rom猫s,"""As a Little Child""",Color photomechanical reproduction,http://www.philamuseum.org/images/cad/large/1985-52-39491-pdp.jpg,"Plate: 20 1/2 x 14 3/8 inches (52 x 36.5 cm)
Sheet: 27 3/16 x 21 1/2 inches (69 x 54.6 cm)",1896,1908,9eb9356fb11a
"Made in United States, North and Central America",,American(bornGermany),European Decorative Arts and Sculpture,Designed 1952,Designed by Greta von Nessen,"""Anywhere"" Lamp",Aluminum and enameled metal,http://www.philamuseum.org/images/cad/large/1974-57-1-neh.jpg,14 x 14 x 14 inches (35.6 x 35.6 x 35.6 cm),1900,1978,94c5554e10d0
"Made in United States, North and Central America",,American(bornGermany),European Decorative Arts and Sculpture,Designed 1952,Designed by Greta von Nessen,"""Anywhere"" Lamp",Aluminum and enameled metal,http://www.philamuseum.org/images/cad/large/1974-57-1-neh.jpg,14 x 14 x 14 inches (35.6 x 35.6 x 35.6 cm),1900,1978,9fb8b43e45a7
"Made in United States, North and Central America",,American,Costume and Textiles,1980-83,Pearlie Posey,"""Animals"" Quilt",Cotton; running stitch,http://www.philamuseum.org/images/cad/large/2006-163-7-pma.jpg,76 1/4 x 62 1/2 inches (193.7 x 158.8 cm),1894,1984,df3e0a0e575c
"Made in United States, North and Central America",,American,European Decorative Arts and Sculpture,Designed 1960s,Designed by Isamu Noguchi,"""Akari"" Lamp","Mino-gami (mulberry bark paper), bamboo, metal",http://www.philamuseum.org/images/cad/large/1979-87-6-pma.jpg,75 x 50 inches (190.5 x 127 cm),1904,1988,5e6e9e8765b8
"Made in United States, North and Central America",,American,European Decorative Arts and Sculpture,Designed 1975,Designed by Isamu Noguchi,"""Akari"" Lamp","Mino-gami (mulberry bark paper), bamboo, metal",http://www.philamuseum.org/images/cad/large/1979-87-7-pma.jpg,6 feet 3 inches x 14 inches (190.5 x 35.6 cm),1904,1988,7e85e1d9fc9f
"Made in United States, North and Central America",,American,European Decorative Arts and Sculpture,Designed 1960s,Designed by Isamu Noguchi,"""Akari"" Lamp","Mino-gami (mulberry bark paper), bamboo, metal",http://www.philamuseum.org/images/cad/large/1979-87-4-pma.jpg,"open: 63 x 23 inches (160 x 58.4 cm)
closed: 2 1/2 x 27 1/2 x 27 1/2 inches (6.4 x 69.9 x 69.9 cm)",1904,1988,49e5c267a92b
"Made in United States, North and Central America",,American,European Decorative Arts and Sculpture,Designed 1960s,Designed by Isamu Noguchi,"""Akari"" Lamp","Mino-gami (mulberry bark paper), bamboo, metal",http://www.philamuseum.org/images/cad/large/1979-87-3-pma.jpg,"open: 63 x 23 inches (160 x 58.4 cm)
closed: 6 1/4 x 24 1/2 x 24 1/4 inches (15.9 x 62.2 x 61.6 cm)",1904,1988,bbed5a456185
"Made in United States, North and Central America",,American,European Decorative Arts and Sculpture,Designed 1976,Designed by Isamu Noguchi,"""Akari"" Floor Lamp","Mino-gami (mulberry bark paper), bamboo, metal",http://www.philamuseum.org/images/cad/large/1979-87-2-pma.jpg,47 x 22 inches (119.4 x 55.9 cm),1904,1988,c4db48037cbb
"Made in East Greenville, Pennsylvania, United States, North and Central America",,NewYork,European Decorative Arts and Sculpture,Designed 1999-2001; manufactured 2003,Designed by Asymptote,"""A3"" Work Station","Tubular steel, metal, plastic, laminated wood",http://www.philamuseum.org/images/cad/large/2004-37-1a--o.jpg,6 feet 1 inches x 9 feet 2 inches x 6 feet 10 inches (185.4 x 279.4 x 208.3 cm),1988,,098a4254fed9
"Made in Youngstown, Ohio, United States, North and Central America",,American,European Decorative Arts and Sculpture,1964,Designed by David Rowland,"""40-in-4"" Stacking Chair","Steel, plastic",http://www.philamuseum.org/images/cad/large/1972-226-1v1-pma.jpg,30 x 20 1/4 x 21 1/2 inches (76.2 x 51.4 x 54.6 cm),1924,2010,9bb5d571991d
"Made in United States, North and Central America",,American,European Decorative Arts and Sculpture,Designed 1976,Designed by Isamu Noguchi,"""Akari"" Floor Lamp","Mino-gami (mulberry bark paper), bamboo, metal",http://www.philamuseum.org/images/cad/large/1979-87-2-pma.jpg,47 x 22 inches (119.4 x 55.9 cm),1904,1988,d24aa87d8d71
"Made in East Greenville, Pennsylvania, United States, North and Central America",,NewYork,European Decorative Arts and Sculpture,Designed 1999-2001; manufactured 2003,Designed by Asymptote,"""A3"" Work Station","Tubular steel, metal, plastic, laminated wood",http://www.philamuseum.org/images/cad/large/2004-37-1a--o.jpg,6 feet 1 inches x 9 feet 2 inches x 6 feet 10 inches (185.4 x 279.4 x 208.3 cm),1988,,36764a6066f5
"Made in United States, North and Central America",,American,European Decorative Arts and Sculpture,Designed 1975,Designed by Isamu Noguchi,"""Akari"" Floor Lamp","Mino-gami (mulberry bark paper), bamboo, metal",http://www.philamuseum.org/images/cad/large/1979-87-5-pma.jpg,63 x 23 inches (160 x 58.4 cm),1904,1988,61f4afdb01d3
"Made in United States, North and Central America",,American,European Decorative Arts and Sculpture,Designed 1975,Designed by Isamu Noguchi,"""Akari"" Floor Lamp","Mulberry bark paper, bamboo, metal",http://www.philamuseum.org/images/cad/large/1979-87-1-pma.jpg,"open: 45 x 32 inches (114.3 x 81.3 cm)
closed: 7 x 30 1/4 x 30 1/4 inches (17.8 x 76.8 x 76.8 cm)",1904,1988,74ff6f256f2a
"Made in United States, North and Central America",,American,European Decorative Arts and Sculpture,Designed 1960s,Designed by Isamu Noguchi,"""Akari"" Lamp","Mino-gami (mulberry bark paper), bamboo, metal",http://www.philamuseum.org/images/cad/large/1979-87-6-pma.jpg,75 x 50 inches (190.5 x 127 cm),1904,1988,80bb739e05a0
"Made in United States, North and Central America",,American,European Decorative Arts and Sculpture,Designed 1975,Designed by Isamu Noguchi,"""Akari"" Floor Lamp","Mulberry bark paper, bamboo, metal",http://www.philamuseum.org/images/cad/large/1979-87-1-pma.jpg,"open: 45 x 32 inches (114.3 x 81.3 cm)
closed: 7 x 30 1/4 x 30 1/4 inches (17.8 x 76.8 x 76.8 cm)",1904,1988,5212bbc1a8e2
"Made in United States, North and Central America",,American,European Decorative Arts and Sculpture,Designed 1960s,Designed by Isamu Noguchi,"""Akari"" Lamp","Mino-gami (mulberry bark paper), bamboo, metal",http://www.philamuseum.org/images/cad/large/1979-87-4-pma.jpg,"open: 63 x 23 inches (160 x 58.4 cm)
closed: 2 1/2 x 27 1/2 x 27 1/2 inches (6.4 x 69.9 x 69.9 cm)",1904,1988,70295b9533d7
"Made in United States, North and Central America",,American,European Decorative Arts and Sculpture,Designed 1975,Designed by Isamu Noguchi,"""Akari"" Lamp","Mino-gami (mulberry bark paper), bamboo, metal",http://www.philamuseum.org/images/cad/large/1979-87-7-pma.jpg,6 feet 3 inches x 14 inches (190.5 x 35.6 cm),1904,1988,425f136e0da2
"Made in United States, North and Central America",,American,European Decorative Arts and Sculpture,Designed 1975,Designed by Isamu Noguchi,"""Akari"" Floor Lamp","Mino-gami (mulberry bark paper), bamboo, metal",http://www.philamuseum.org/images/cad/large/1979-87-5-pma.jpg,63 x 23 inches (160 x 58.4 cm),1904,1988,8d83496b91c3
"Made in United States, North and Central America",,American,Costume and Textiles,1980-83,Pearlie Posey,"""Animals"" Quilt",Cotton; running stitch,http://www.philamuseum.org/images/cad/large/2006-163-7-pma.jpg,76 1/4 x 62 1/2 inches (193.7 x 158.8 cm),1894,1984,24d59718c252
"Made in United States, North and Central America",,American,"Prints, Drawings, and Photographs",c. 1904,Reproduction after a painting by A. Rom猫s,"""As a Little Child""",Color photomechanical reproduction,http://www.philamuseum.org/images/cad/large/1985-52-39491-pdp.jpg,"Plate: 20 1/2 x 14 3/8 inches (52 x 36.5 cm)
Sheet: 27 3/16 x 21 1/2 inches (69 x 54.6 cm)",1896,1908,cb7786013354
"Made in United States, North and Central America",,American(bornGermany),European Decorative Arts and Sculpture,Designed 1952,Designed by Greta von Nessen,"""Anywhere"" Lamp",Aluminum and enameled metal,http://www.philamuseum.org/images/cad/large/1974-57-1-neh.jpg,14 x 14 x 14 inches (35.6 x 35.6 x 35.6 cm),1900,1978,42608a50ef87
"Made in United States, North and Central America",,American,"Prints, Drawings, and Photographs",c. 1904,Reproduction after a painting by A. Rom猫s,"""As a Little Child""",Color photomechanical reproduction,http://www.philamuseum.org/images/cad/large/1985-52-39491-pdp.jpg,"Plate: 20 1/2 x 14 3/8 inches (52 x 36.5 cm)
Sheet: 27 3/16 x 21 1/2 inches (69 x 54.6 cm)",1896,1908,12748855805a
"Made in United States, North and Central America",,Canadian(bornEgypt),European Decorative Arts and Sculpture,Designed 1990 (restyled 1997),Karim Rashid,"""Aura"" Table","Metal, glass",http://www.philamuseum.org/images/cad/large/1999-154-1.jpg,18 3/4 x 35 1/2 x 32 1/8 inches (47.6 x 90.2 x 81.6 cm),1960,,c46b82233ce2
"Made in United States, North and Central America",,American,European Decorative Arts and Sculpture,Designed 1947,Designed by George Nelson,"""Ball"" Wall Clock","Painted birch, steel, brass",http://www.philamuseum.org/images/cad/large/1983-50-4.jpg,Diameter: 13 3/8 inches (34 cm),1908,1986,7b816310c87d
"Made in United States, North and Central America",,American,European Decorative Arts and Sculpture,Designed 1948,Designed by Isamu Noguchi,Table Lamp,"Plastic, wood",http://www.philamuseum.org/images/cad/large/1977-85-1.jpg,15 3/4 x 7 1/16 inches (40 x 18 cm),1904,1988,8a9ad285952d
"Made in United States, North and Central America",,American,Costume and Textiles,1981,Pearlie Posey,"""Exercisers"" Quilt",Cotton and polyester; running stitch,http://www.philamuseum.org/images/cad/large/2006-163-6-pma.jpg,79 1/2 x 64 3/4 inches (201.9 x 164.5 cm),1894,1984,fae84aefd57f
"Made in United States, North and Central America",,American,Costume and Textiles,1980-83,Pearlie Posey,"""Animals"" Quilt",Cotton; running stitch,http://www.philamuseum.org/images/cad/large/2006-163-7-pma.jpg,76 1/4 x 62 1/2 inches (193.7 x 158.8 cm),1894,1984,9f672e0dbc93
"Made in United States, North and Central America",,American,European Decorative Arts and Sculpture,Designed 1975,Designed by Isamu Noguchi,"""Akari"" Lamp","Mino-gami (mulberry bark paper), bamboo, metal",http://www.philamuseum.org/images/cad/large/1979-87-7-pma.jpg,6 feet 3 inches x 14 inches (190.5 x 35.6 cm),1904,1988,929eeb23d370
"Made in Youngstown, Ohio, United States, North and Central America",,American,European Decorative Arts and Sculpture,1964,Designed by David Rowland,"""40-in-4"" Stacking Chair","Steel, plastic",http://www.philamuseum.org/images/cad/large/1972-226-1v1-pma.jpg,30 x 20 1/4 x 21 1/2 inches (76.2 x 51.4 x 54.6 cm),1924,2010,c640b29d0c15
"Made in East Greenville, Pennsylvania, United States, North and Central America",,NewYork,European Decorative Arts and Sculpture,Designed 1999-2001; manufactured 2003,Designed by Asymptote,"""A3"" Work Station","Tubular steel, metal, plastic, laminated wood",http://www.philamuseum.org/images/cad/large/2004-37-1a--o.jpg,6 feet 1 inches x 9 feet 2 inches x 6 feet 10 inches (185.4 x 279.4 x 208.3 cm),1988,,9edb224f1d35
"Made in United States, North and Central America",,American,"Prints, Drawings, and Photographs",c. 1904,Reproduction after a painting by A. Rom猫s,"""As a Little Child""",Color photomechanical reproduction,http://www.philamuseum.org/images/cad/large/1985-52-39491-pdp.jpg,"Plate: 20 1/2 x 14 3/8 inches (52 x 36.5 cm)
Sheet: 27 3/16 x 21 1/2 inches (69 x 54.6 cm)",1896,1908,ffce732db7d5
"Made in United States, North and Central America",,American,European Decorative Arts and Sculpture,Designed 1960s,Designed by Isamu Noguchi,"""Akari"" Lamp","Mino-gami (mulberry bark paper), bamboo, metal",http://www.philamuseum.org/images/cad/large/1979-87-4-pma.jpg,"open: 63 x 23 inches (160 x 58.4 cm)
closed: 2 1/2 x 27 1/2 x 27 1/2 inches (6.4 x 69.9 x 69.9 cm)",1904,1988,b22472c7542c
"Made in Zeeland, Michigan, United States, North and Central America",,withJohnF.Pile,European Decorative Arts and Sculpture,Designed 1957,Designed by George Nelson,"""Pretzel"" Chair","Birch-faced laminated wood, leather",http://www.philamuseum.org/images/cad/large/2007-186-28v1-pma.jpg,31 x 23 1/2 x 19 1/2 inches (78.7 x 59.7 x 49.5 cm),,,e45bf46be447
"Made in United States, North and Central America",,American,European Decorative Arts and Sculpture,Designed 1947,Designed by George Nelson,"""Ball"" Wall Clock","Painted birch, steel, brass",http://www.philamuseum.org/images/cad/large/1983-50-4.jpg,Diameter: 13 3/8 inches (34 cm),1908,1986,389372429e8f
"Made in Ojai, California, United States, North and Central America",,American,American Art,c. 1940,Beatrice Wood,Vase,Glazed earthenware,http://www.philamuseum.org/images/cad/large/1996-3-1-neh.jpg,3 7/8 x 2 1/8 inches (9.8 x 5.4 cm),1893,1998,4f688243a7e3
"Made in United States, North and Central America",,American(bornGermany),European Decorative Arts and Sculpture,Designed 1952,Designed by Greta von Nessen,"""Anywhere"" Lamp",Aluminum and enameled metal,http://www.philamuseum.org/images/cad/large/1974-57-1-neh.jpg,14 x 14 x 14 inches (35.6 x 35.6 x 35.6 cm),1900,1978,f12fe97cd47f
"Made in New York City, New York, United States, North and Central America",,American,"Prints, Drawings, and Photographs",17-May,Published by Beatrice Wood,The Blind Man (No.2),Periodical with paper covers,http://www.philamuseum.org/images/cad/large/1950-134-1053-pma.jpg,Sheet (each): 11 x 8 inches (27.9 x 20.3 cm),1893,1998,1a86c60ba87c
"Made in Ojai, California, United States, North and Central America",,American,American Art,1993,Beatrice Wood,Love Boat,"Earthenware with glaze, lustre","http://www.philamuseum.org/images/cad/large/1996-2-13a,b-neh.jpg",14 1/2 x 10 inches (36.8 x 25.4 cm),1893,1998,4512a2c5e423
"Made in United States, North and Central America",,American,"Prints, Drawings, and Photographs",c. 1917-18,Beatrice Wood,Non,"Pen and black ink, colored pencil and graphite on wove paper",http://www.philamuseum.org/images/cad/large/1978-99-47-pma.jpg,Sheet: 10 13/16 x 8 7/16 inches (27.5 x 21.4 cm),1893,1998,167ddebd4331
"Made in United States, North and Central America",,American,"Prints, Drawings, and Photographs",c. 1917-18,Beatrice Wood,L'Apr猫s Midi D'Un Faun,Pen and brown ink and colored crayon on wove paper,http://www.philamuseum.org/images/cad/large/1978-99-26.jpg,Sheet: 10 3/8 x 8 1/2 inches (26.4 x 21.6 cm),1893,1998,b46412cf9308
"Made in Ojai, California, United States, North and Central America",,American,American Art,c. 1950,Beatrice Wood,Iphigenia,Glazed earthenware,http://www.philamuseum.org/images/cad/large/1994-101-2-neh.jpg,7 3/4 x 9 3/4 x 6 1/2 inches (19.7 x 24.8 x 16.5 cm),1893,1998,df220f96ddfa
"Made in Ojai, California, United States, North and Central America",,American,American Art,c. 1975,Beatrice Wood,Goblet,Luster-glazed earthenware,http://www.philamuseum.org/images/cad/large/1992-18-2.jpg,12 1/8 x 8 3/4 x 8 3/4 inches (30.8 x 22.2 x 22.2 cm),1893,1998,af33bb33ce9b
"Made in United States, North and Central America",,American,"Prints, Drawings, and Photographs",1930,Beatrice Wood,Evening at Arensbergs,"Watercolor, ink, and graphite on wove paper",http://www.philamuseum.org/images/cad/large/1978-98-6-pma.jpg,Sheet: 13 x 16 inches (33 x 40.6 cm),1893,1998,870c735faeaa
"Made in United States, North and Central America",,American,"Prints, Drawings, and Photographs",c. 1917-18,Beatrice Wood,Enormit茅es se disent dans un salon,"Pen and black ink, colored pencil and colored crayon over graphite on wove paper",http://www.philamuseum.org/images/cad/large/1978-99-3det-pma.jpg,Sheet: 13 x 8 inches (33 x 20.3 cm),1893,1998,c1d659322b64
"Made in Ojai, California, United States, North and Central America",,American,American Art,c. 1950,Beatrice Wood,Clytemnestra,Glazed earthenware,http://www.philamuseum.org/images/cad/large/1994-101-1-neh.jpg,10 x 12 3/4 x 15 1/2 inches (25.4 x 32.4 x 39.4 cm),1893,1998,ca00c9283496
"Made in United States, North and Central America",,American,"Prints, Drawings, and Photographs",1993,Beatrice Wood,Career Woman,"Transparent watercolor, colored crayon and graphite on wove paper (recto);
graphite (verso)","http://www.philamuseum.org/images/cad/large/1994-190-1a,bv1-pma.jpg",Sheet: 11 x 8 1/2 inches (27.9 x 21.6 cm),1893,1998,10b088bfbc28
"Made in California, United States, North and Central America",,American,American Art,1948-50,Beatrice Wood,Bowl,Luster-glazed earthenware,http://www.philamuseum.org/images/cad/large/1984-24-4-CX.jpg,4 1/2 x 8 1/2 inches (11.4 x 21.6 cm),1893,1998,a0a449e469fb
"Made in United States, North and Central America",,American,European Decorative Arts and Sculpture,Designed 1960s,Designed by Isamu Noguchi,"""Akari"" Lamp","Mino-gami (mulberry bark paper), bamboo, metal",http://www.philamuseum.org/images/cad/large/1979-87-6-pma.jpg,75 x 50 inches (190.5 x 127 cm),1904,1988,aa167fd4d42d
"Made in New York City, New York, United States, North and Central America",,American,"Prints, Drawings, and Photographs",17-May,Published by Beatrice Wood,The Blind Man (No.2),Periodical with paper covers,http://www.philamuseum.org/images/cad/large/1950-134-1053-pma.jpg,Sheet (each): 11 x 8 inches (27.9 x 20.3 cm),1893,1998,172a4b4d4cf6
"Made in United States, North and Central America",,American,"Prints, Drawings, and Photographs",c. 1917-18,Beatrice Wood,Non,"Pen and black ink, colored pencil and graphite on wove paper",http://www.philamuseum.org/images/cad/large/1978-99-47-pma.jpg,Sheet: 10 13/16 x 8 7/16 inches (27.5 x 21.4 cm),1893,1998,de6c2dc70f1b
"Made in Ojai, California, United States, North and Central America",,American,American Art,c. 1940,Beatrice Wood,Vase,Glazed earthenware,http://www.philamuseum.org/images/cad/large/1996-3-1-neh.jpg,3 7/8 x 2 1/8 inches (9.8 x 5.4 cm),1893,1998,b13391da3489
"Made in Ojai, California, United States, North and Central America",,American,American Art,1993,Beatrice Wood,Love Boat,"Earthenware with glaze, lustre","http://www.philamuseum.org/images/cad/large/1996-2-13a,b-neh.jpg",14 1/2 x 10 inches (36.8 x 25.4 cm),1893,1998,5371c2f6a392
"Made in United States, North and Central America",,American,"Prints, Drawings, and Photographs",c. 1917-18,Beatrice Wood,L'Apr猫s Midi D'Un Faun,Pen and brown ink and colored crayon on wove paper,http://www.philamuseum.org/images/cad/large/1978-99-26.jpg,Sheet: 10 3/8 x 8 1/2 inches (26.4 x 21.6 cm),1893,1998,8eb1cde31a57
"Made in United States, North and Central America",,Canadian(bornEgypt),European Decorative Arts and Sculpture,Designed 2000; made 2001,Designed by Karim Rashid,Chess Set,"Thermoplastic rubber, acrylic",http://www.philamuseum.org/images/cad/large/2001-150-1--33.jpg,Board:  14 1/4 x 14 1/4 inches (36.2 x 36.2 cm),1960,,26b7c52cd6be
"Made in Ojai, California, United States, North and Central America",,American,American Art,c. 1975,Beatrice Wood,Goblet,Luster-glazed earthenware,http://www.philamuseum.org/images/cad/large/1992-18-2.jpg,12 1/8 x 8 3/4 x 8 3/4 inches (30.8 x 22.2 x 22.2 cm),1893,1998,a6511ad35d47
"Made in Ojai, California, United States, North and Central America",,American,American Art,c. 1950,Beatrice Wood,Iphigenia,Glazed earthenware,http://www.philamuseum.org/images/cad/large/1994-101-2-neh.jpg,7 3/4 x 9 3/4 x 6 1/2 inches (19.7 x 24.8 x 16.5 cm),1893,1998,c4acd42cc51b
"Made in United States, North and Central America",,American,"Prints, Drawings, and Photographs",c. 1917-18,Beatrice Wood,Enormit茅es se disent dans un salon,"Pen and black ink, colored pencil and colored crayon over graphite on wove paper",http://www.philamuseum.org/images/cad/large/1978-99-3det-pma.jpg,Sheet: 13 x 8 inches (33 x 20.3 cm),1893,1998,a454d54e5670
"Made in United States, North and Central America",,American,"Prints, Drawings, and Photographs",1930,Beatrice Wood,Evening at Arensbergs,"Watercolor, ink, and graphite on wove paper",http://www.philamuseum.org/images/cad/large/1978-98-6-pma.jpg,Sheet: 13 x 16 inches (33 x 40.6 cm),1893,1998,754b702f2512
"Made in Ojai, California, United States, North and Central America",,American,American Art,c. 1950,Beatrice Wood,Clytemnestra,Glazed earthenware,http://www.philamuseum.org/images/cad/large/1994-101-1-neh.jpg,10 x 12 3/4 x 15 1/2 inches (25.4 x 32.4 x 39.4 cm),1893,1998,ac90751ad38b
"Made in United States, North and Central America",,American,"Prints, Drawings, and Photographs",1993,Beatrice Wood,Career Woman,"Transparent watercolor, colored crayon and graphite on wove paper (recto);
graphite (verso)","http://www.philamuseum.org/images/cad/large/1994-190-1a,bv1-pma.jpg",Sheet: 11 x 8 1/2 inches (27.9 x 21.6 cm),1893,1998,120a379a6e88
"Made in Ojai, California, United States, North and Central America",,American,American Art,c. 1940,Beatrice Wood,Vase,Glazed earthenware,http://www.philamuseum.org/images/cad/large/1996-3-1-neh.jpg,3 7/8 x 2 1/8 inches (9.8 x 5.4 cm),1893,1998,74a6cc0eac77
"Made in United States, North and Central America",,American,"Prints, Drawings, and Photographs",c. 1917,Beatrice Wood,Beatrice?.Pourquoi!,Crayon and pen and black ink over graphite on wove paper,http://www.philamuseum.org/images/cad/large/1978-99-31-pma.jpg,Sheet: 10 13/16 x 8 11/16 inches (27.5 x 22.1 cm),1893,1998,204cc6b7bbe1
"Made in New York City, New York, United States, North and Central America",,American,"Prints, Drawings, and Photographs",17-May,Published by Beatrice Wood,The Blind Man (No.2),Periodical with paper covers,http://www.philamuseum.org/images/cad/large/1950-134-1053-pma.jpg,Sheet (each): 11 x 8 inches (27.9 x 20.3 cm),1893,1998,60a272f6d8be
"Made in United States, North and Central America",,American,"Prints, Drawings, and Photographs",c. 1917-18,Beatrice Wood,Non,"Pen and black ink, colored pencil and graphite on wove paper",http://www.philamuseum.org/images/cad/large/1978-99-47-pma.jpg,Sheet: 10 13/16 x 8 7/16 inches (27.5 x 21.4 cm),1893,1998,a5b097ec8fbd
"Made in Ojai, California, United States, North and Central America",,American,American Art,1993,Beatrice Wood,Love Boat,"Earthenware with glaze, lustre","http://www.philamuseum.org/images/cad/large/1996-2-13a,b-neh.jpg",14 1/2 x 10 inches (36.8 x 25.4 cm),1893,1998,888ac453c7ec
"Made in United States, North and Central America",,American,"Prints, Drawings, and Photographs",c. 1917-18,Beatrice Wood,L'Apr猫s Midi D'Un Faun,Pen and brown ink and colored crayon on wove paper,http://www.philamuseum.org/images/cad/large/1978-99-26.jpg,Sheet: 10 3/8 x 8 1/2 inches (26.4 x 21.6 cm),1893,1998,b9ec9f4a9569
"Made in Ojai, California, United States, North and Central America",,American,American Art,c. 1975,Beatrice Wood,Goblet,Luster-glazed earthenware,http://www.philamuseum.org/images/cad/large/1992-18-2.jpg,12 1/8 x 8 3/4 x 8 3/4 inches (30.8 x 22.2 x 22.2 cm),1893,1998,7bca5fca93d8
"Made in Ojai, California, United States, North and Central America",,American,American Art,c. 1950,Beatrice Wood,Iphigenia,Glazed earthenware,http://www.philamuseum.org/images/cad/large/1994-101-2-neh.jpg,7 3/4 x 9 3/4 x 6 1/2 inches (19.7 x 24.8 x 16.5 cm),1893,1998,e58fd782dc0b
"Made in United States, North and Central America",,American,"Prints, Drawings, and Photographs",1930,Beatrice Wood,Evening at Arensbergs,"Watercolor, ink, and graphite on wove paper",http://www.philamuseum.org/images/cad/large/1978-98-6-pma.jpg,Sheet: 13 x 16 inches (33 x 40.6 cm),1893,1998,1559bd42bd54
"Made in United States, North and Central America",,American,"Prints, Drawings, and Photographs",c. 1917-18,Beatrice Wood,Enormit茅es se disent dans un salon,"Pen and black ink, colored pencil and colored crayon over graphite on wove paper",http://www.philamuseum.org/images/cad/large/1978-99-3det-pma.jpg,Sheet: 13 x 8 inches (33 x 20.3 cm),1893,1998,541cf755b7b5
"Made in Ojai, California, United States, North and Central America",,American,American Art,c. 1950,Beatrice Wood,Clytemnestra,Glazed earthenware,http://www.philamuseum.org/images/cad/large/1994-101-1-neh.jpg,10 x 12 3/4 x 15 1/2 inches (25.4 x 32.4 x 39.4 cm),1893,1998,ba41e75ca4f6
"Made in United States, North and Central America",,American,"Prints, Drawings, and Photographs",1993,Beatrice Wood,Career Woman,"Transparent watercolor, colored crayon and graphite on wove paper (recto);
graphite (verso)","http://www.philamuseum.org/images/cad/large/1994-190-1a,bv1-pma.jpg",Sheet: 11 x 8 1/2 inches (27.9 x 21.6 cm),1893,1998,06d5f4dc6e08
"Made in California, United States, North and Central America",,American,American Art,1948-50,Beatrice Wood,Bowl,Luster-glazed earthenware,http://www.philamuseum.org/images/cad/large/1984-24-4-CX.jpg,4 1/2 x 8 1/2 inches (11.4 x 21.6 cm),1893,1998,f7d9dd9515a7
"Made in United States, North and Central America",,American,"Prints, Drawings, and Photographs",c. 1917,Beatrice Wood,Beatrice?.Pourquoi!,Crayon and pen and black ink over graphite on wove paper,http://www.philamuseum.org/images/cad/large/1978-99-31-pma.jpg,Sheet: 10 13/16 x 8 11/16 inches (27.5 x 22.1 cm),1893,1998,60dd40cf8298
"Made in Ojai, California, United States, North and Central America",,American,American Art,1996,Beatrice Wood,"""Blindman"" Pin",Silver,http://www.philamuseum.org/images/cad/large/2009-32-1-neh.jpg,4 1/2 x 3 1/2 inches (11.4 x 8.9 cm),1893,1998,f7a0d95bf3f9
"Made in United States, North and Central America",,American,"Prints, Drawings, and Photographs",1917,Beatrice Wood,Beatrice and Her Twelve Children,"Watercolor, gouache, ink, and crayon on wove paper",http://www.philamuseum.org/images/cad/large/1978-98-4-pma.jpg,Sheet: 8 3/8 x 10 7/8 inches (21.3 x 27.6 cm),1893,1998,f1e16d886aef
"Made in New York City, New York, United States, North and Central America",,American,"Prints, Drawings, and Photographs",17-May,Published by Beatrice Wood,The Blind Man (No.2),Periodical with paper covers,http://www.philamuseum.org/images/cad/large/1950-134-1053-pma.jpg,Sheet (each): 11 x 8 inches (27.9 x 20.3 cm),1893,1998,3b6274d4f403
