Artwork_Title,date,name,nationality,birth_date,death_date,dimensions_inch,medium,credit_line,description,image_url,EA_id
Low Tide,1896,Maurice Brazil Prendergast,American,1859,1924,15 3/4 x 11 3/16,watercolor on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Gift of the Virginia Steele Scott Foundation",,http://emuseum.huntington.org/internal/media/dispatcher/27956/resize:format$003dfull,8354c0636c63
Luna with the Figures of Sleep and Night,1893,Elihu Vedder,American,1836,1923,9 x 9 1/4,gouache on gray paper,"The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation",,http://emuseum.huntington.org/internal/media/dispatcher/27959/resize:format$003dfull,56e814fc9100
Lyric Suite [D65-158],1965,Robert Motherwell,American,1915,1991,9 x 11,ink on rice paper,"The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Connie Perkins Endowment and support from the Dedalus Foundation",,http://emuseum.huntington.org/internal/media/dispatcher/28089/resize:format$003dfull,1cee2fcb5e4e
Lyric Suite [D65-1651],1965,Robert Motherwell,American,1915,1991,9 x 11,ink on rice paper,"The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Connie Perkins Endowment and support from the Dedalus Foundation",,http://emuseum.huntington.org/internal/media/dispatcher/27441/resize:format$003dfull,3a3ab06d224c
Lyric Suite [D65-1709],1965,Robert Motherwell,American,1915,1991,9 x 11,ink on rice paper,"The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Connie Perkins Endowment and support from the Dedalus Foundation",,http://emuseum.huntington.org/internal/media/dispatcher/27442/resize:format$003dfull,9dde55d86101
Lyric Suite [D65-176],1965,Robert Motherwell,American,1915,1991,11 x 9,ink on rice paper,"The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Connie Perkins Endowment and support from the Dedalus Foundation",,http://emuseum.huntington.org/internal/media/dispatcher/27445/resize:format$003dfull,f781185ea322
Lyric Suite [D65-1769],1965,Robert Motherwell,American,1915,1991,11 x 9,ink on rice paper,"The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Connie Perkins Endowment and support from the Dedalus Foundation",,http://emuseum.huntington.org/internal/media/dispatcher/27446/resize:format$003dfull,563b926fc740
Lyric Suite [D65-1855],1965,Robert Motherwell,American,1915,1991,11 x 9,ink on rice paper,"The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Connie Perkins Endowment and support from the Dedalus Foundation",,http://emuseum.huntington.org/internal/media/dispatcher/28083/resize:format$003dfull,a2b326d73014
Lyric Suite [D65-201],1965,Robert Motherwell,American,1915,1991,11 x 9,ink on rice paper,"The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Connie Perkins Endowment and support from the Dedalus Foundation",,http://emuseum.huntington.org/internal/media/dispatcher/28091/resize:format$003dfull,0aa08bc49bd7
Lyric Suite [D65-216],1965,Robert Motherwell,American,1915,1991,11 x 9,ink on rice paper,"The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Connie Perkins Endowment and support from the Dedalus Foundation",,http://emuseum.huntington.org/internal/media/dispatcher/27443/resize:format$003dfull,ba8df43b655a
Lyric Suite [D65-2560],1965,Robert Motherwell,American,1915,1991,11 x 9,ink on rice paper,"The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Connie Perkins Endowment and support from the Dedalus Foundation",,http://emuseum.huntington.org/internal/media/dispatcher/28087/resize:format$003dfull,ed41e600bca5
Lyric Suite [D65-2585],1965,Robert Motherwell,American,1915,1991,11 x 9,ink on rice paper,"The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Connie Perkins Endowment and support from the Dedalus Foundation",,http://emuseum.huntington.org/internal/media/dispatcher/27444/resize:format$003dfull,27db8c40247c
Lyric Suite [D65-2586],1965,Robert Motherwell,American,1915,1991,11 x 9,ink on rice paper,"The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Connie Perkins Endowment and support from the Dedalus Foundation",,http://emuseum.huntington.org/internal/media/dispatcher/28081/resize:format$003dfull,74bb6a6b1306
Lyric Suite [D65-96],1965,Robert Motherwell,American,1915,1991,11 x 9,ink on rice paper,"The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Connie Perkins Endowment and support from the Dedalus Foundation",,http://emuseum.huntington.org/internal/media/dispatcher/28085/resize:format$003dfull,f4d27d3ce421
Male Figure Study,,Thomas Hart Benton,American,1889,1975,14 9/16 x 10 1/4,black ink on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation",,http://emuseum.huntington.org/internal/media/dispatcher/17988/resize:format$003dfull,7b72582bbace
Man and Woman Reading Newspaper,,Rose Cecil O'Neill,American,1874,1944,15 x 22 1/8,ink on paper,"The Huntington Library, Art Collections, and Botanical Gardens.  Anonymous Gift",,http://emuseum.huntington.org/internal/media/dispatcher/28018/resize:format$003dfull,2995f4478c25
Man Eating a Piece of Pie with His Hands,,Samuel D. Ehrhart,American,,,14 x 19,ink on paper,"The Huntington Library, Art Collections, and Botanical Gardens.  Anonymous Gift",,http://emuseum.huntington.org/internal/media/dispatcher/28008/resize:format$003dfull,16f625f1b161
Man Fishing in a Stream,,Joseph Basil Girard,American,1846,1918,7 1/4 x 5 9/16,watercolor on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation",,http://emuseum.huntington.org/internal/media/dispatcher/20173/resize:format$003dfull,fd16f9c2194a
Man in Robe,1906,John Whitworth Robson,American,1881,1946,11 x 7 1/2,pastel on brown paper,"The Huntington Library, Art Collections, and Botanical Gardens.  Gift of Rory Ferguson",,http://emuseum.huntington.org/internal/media/dispatcher/27849/resize:format$003dfull,486df4cdeacb
"Man in Rowboat, September 18, 1890",1890,Joseph Basil Girard,American,1846,1918,4 3/4 x 6 3/4,watercolor on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation",,http://emuseum.huntington.org/internal/media/dispatcher/20087/resize:format$003dfull,6dfbbb3ce7b7
Man on Step, 1840-1843,John William Casilear,American,1811,1893,,graphite and watercolor on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Gift of Michael St. Clair",,http://emuseum.huntington.org/internal/media/dispatcher/18193/resize:format$003dfull,4d672dbf07af
Man Purchasing Cigars,,Louis Dalrymple,American,,,15 1/2 x 18,ink on paper,"The Huntington Library, Art Collections, and Botanical Gardens.  Anonymous Gift",,http://emuseum.huntington.org/internal/media/dispatcher/28007/resize:format$003dfull,279f87b8b56d
Man with Cows and Railroad Conductor,,John S. Pughe,American,1870,1909,15 1/4 x 18,ink on paper,"The Huntington Library, Art Collections, and Botanical Gardens.  Anonymous Gift",,http://emuseum.huntington.org/internal/media/dispatcher/28011/resize:format$003dfull,c6e88ae39e6c
Man with Feathered Hat, 1845 - 1847,John Frederick Kensett,American,1816,1872,,graphite and watercolor on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Gift of Michael St. Clair","These lively figure studies reveal the working methods Kensett and Casilear employed in their costume drawings. The line to the left of the figure in Kensett's Seated Man with Small Horn represents an abandoned start to the composition. In Man with a Pipe, Casilear, or perhaps a playful classmate, added a caricature to the upper-right corner.",http://emuseum.huntington.org/internal/media/dispatcher/18171/resize:format$003dfull,5a97b92f3c94
Man with Pie on Fork,,Samuel D. Ehrhart,American,,,13 3/4 x 19 1/2,ink on paper,"The Huntington Library, Art Collections, and Botanical Gardens.  Anonymous Gift",,http://emuseum.huntington.org/internal/media/dispatcher/28020/resize:format$003dfull,3776b051b435
Man with Pipe, 1840-1843,John William Casilear,American,1811,1893,,graphite and watercolor on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Gift of Michael St. Clair","These lively figure studies reveal the working methods Kensett and Casilear employed in their costume drawings. The line to the left of the figure in Kensett's Seated Man with Small Horn represents an abandoned start to the composition. In Man with a Pipe, Casilear, or perhaps a playful classmate, added a caricature to the upper-right corner.",http://emuseum.huntington.org/internal/media/dispatcher/18198/resize:format$003dfull,ea15a1feca77
Man with Staff and Basket, 1840-1843,John William Casilear,American,1811,1893,,graphite and watercolor on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Gift of Michael St. Clair",,http://emuseum.huntington.org/internal/media/dispatcher/18190/resize:format$003dfull,51b5d728ed7b
Mantle,,Charles A. Vanderhoof,American,1853,1918,14 5/8 x 14 1/8,pen and black ink on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation",,http://emuseum.huntington.org/internal/media/dispatcher/20455/resize:format$003dfull,117d95aecd0a
Mariposa Grove,1871,James David Smillie,American,1833,1909,9 3/4 x 6 1/2,graphite heightened with white on blued paper,"The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation",,http://emuseum.huntington.org/internal/media/dispatcher/18080/resize:format$003dfull,f831e86fb5ba
"Market, Stratford-on-Avon",1878,Edwin Austin Abbey,American,1852,1911,7 3/8 x 12,"black crayon, pen and brush, black ink and chinese white on board","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation",,http://emuseum.huntington.org/internal/media/dispatcher/16223/resize:format$003dfull,4ac3574406a0
Memory of the War,1892,Rufus Fairchild Zogbaum,American,1849,1925,10 x 12 3/4,gouache en grisaille on board,"The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation",,http://emuseum.huntington.org/internal/media/dispatcher/18021/resize:format$003dfull,836d91001804
Men on Dockyard,,Charles Jay Taylor,American,1855,1929,10 1/4 x 17 1/2,ink on paper,"The Huntington Library, Art Collections, and Botanical Gardens.  Anonymous Gift",,http://emuseum.huntington.org/internal/media/dispatcher/28021/resize:format$003dfull,e87a25f6e3e2
Men Talking in an Office,,Charles Jay Taylor,American,1855,1929,18 1/2 x 15,ink on paper,"The Huntington Library, Art Collections, and Botanical Gardens.  Anonymous Gift",,http://emuseum.huntington.org/internal/media/dispatcher/28013/resize:format$003dfull,2e159c8fe8ab
Merced Gorge,1871,James David Smillie,American,1833,1909,9 x 6 5/16,graphite heightened with Chinese white on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation",,http://emuseum.huntington.org/internal/media/dispatcher/28314/resize:format$003dfull,baedb83e7051
Millard Fillmore,1856,Jules Emile Saintin,French,1829,1894,5 3/4 x 4 1/2,graphite heightened with white on gray paper mounted on board,"The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation",,http://emuseum.huntington.org/internal/media/dispatcher/16205/resize:format$003dfull,642c85d0187d
Mine,1943,Francis de Erdely,American,1904,1959,15 5/8 x 19 1/4,India ink on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Edward W. and Julia B. Bodman Collection",,http://emuseum.huntington.org/internal/media/dispatcher/27980/resize:format$003dfull,34a2a45c309a
"Miss Adelaide, You Know Dog Gone Well I'm Here to Wish You a Merry Xmas, Your Dog Friend Jack",1930,E. A. Burbank,American,1858,1949,11 x 7,color pencil on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Gift of Mrs. Adelaide Bray.",,http://emuseum.huntington.org/internal/media/dispatcher/22322/resize:format$003dfull,ac35bf083a10
Mission d'Espada, 1885-1932,Christian Jorgensen,American,1860,1935,12 1/16 x 14 5/16,watercolor on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Gift of Mrs. Virgil W. Jorgensen",,http://emuseum.huntington.org/internal/media/dispatcher/27919/resize:format$003dfull,4f977cb73017
"Mission Nuestra Senora del Espiritu, Santo de Zuniga, Texas", 1885-1932,Christian Jorgensen,American,1860,1935,12 1/16 x 17 3/4,watercolor on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Gift of Mrs. Virgil W. Jorgensen",,http://emuseum.huntington.org/internal/media/dispatcher/27926/resize:format$003dfull,bf1cc8281f3a
Mission San Gabriel,,John Whitworth Robson,American,1881,1946,10 x 7 1/2,graphite on paper,"The Huntington Library, Art Collections, and Botanical Gardens.  Gift of Rory Ferguson",,http://emuseum.huntington.org/internal/media/dispatcher/27847/resize:format$003dfull,ef847501db2a
Mitla, 1885-1932,Christian Jorgensen,American,1860,1935,13 7/16 x 9 13/16,watercolor on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Gift of Mrs. Virgil W. Jorgensen",,http://emuseum.huntington.org/internal/media/dispatcher/27928/resize:format$003dfull,f06b7ba39988
"Miyajima, Japan Sacred Island, Inland Sea between Hiroshima and Iwakumi",,Arthur Edwaine Beaumont,American,1890,1978,16 x 20,watercolor on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Gift of Dr. and Mrs. Robert E. Dreibelbis",,http://emuseum.huntington.org/internal/media/dispatcher/17989/resize:format$003dfull,20f0883b7e0d
Molotov (Vyacheslav),1950,Don Freeman,American,1908,1978,sheet: 7 1/2 x 4 1/2,crayon and gouache pasted to another sheet of paper,"The Huntington Library, Art Collections, and Botanical Gardens. Gift of Bonnie and Lee Stone",,http://emuseum.huntington.org/internal/media/dispatcher/31101/resize:format$003dfull,82722c167286
"Morning Light, Death Valley",,Rowena Fischer Meeks Abdy,American,1887,1945,,watercolor on paper,"The Huntington Library, Art Collections, and Botanical Gardens.  Gift of Michael F. Williams",,http://emuseum.huntington.org/internal/media/dispatcher/16121/resize:format$003dfull,2e16e5c7a2e2
Mother and Daughter in Church,,Samuel D. Ehrhart,American,,,17 1/4 x 19 5/8,ink on paper,"The Huntington Library, Art Collections, and Botanical Gardens.  Anonymous Gift",,http://emuseum.huntington.org/internal/media/dispatcher/28014/resize:format$003dfull,45f5a7b9df77
Mountain Forest Seedlings,1957,Morris Graves,American,,,15 5/8 x 12 11/16,ink wash on rice paper,"The Huntington Library, Art Collections, and Botanical Gardens. Gift of Robert Halsband",,http://emuseum.huntington.org/internal/media/dispatcher/17963/resize:format$003dfull,1485dba3a50b
Mountain Landscape,1933,Marsden Hartley,American,1877,1943,10 5/8 x 14 7/8,silverpoint on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Gift of Michael St. Clair",,http://emuseum.huntington.org/internal/media/dispatcher/20481/resize:format$003dfull,c99b852c48b0
Mountain Landscape,1933,Marsden Hartley,American,1877,1943,10 5/8 x 14 7/8,silverpoint on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Gift of Michael St. Clair",,http://emuseum.huntington.org/internal/media/dispatcher/20488/resize:format$003dfull,0f43c4bb27ab
Mountain Landscape,1933,Marsden Hartley,American,1877,1943,14 7/8 x 10 5/8,silverpoint on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Gift of Michael St. Clair",,http://emuseum.huntington.org/internal/media/dispatcher/20491/resize:format$003dfull,e0a6c45c5760
Mountain Landscape with Buildings and Trees,1933,Marsden Hartley,American,1877,1943,14 7/8 x 10 5/8,silverpoint on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Gift of Michael St. Clair",,http://emuseum.huntington.org/internal/media/dispatcher/20486/resize:format$003dfull,2fd3aa8c90dc
Mountain Landscape with Buildings and Trees in Foreground,1933,Marsden Hartley,American,1877,1943,14 7/8 x 10 5/8,silverpoint on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Gift of Michael St. Clair",,http://emuseum.huntington.org/internal/media/dispatcher/20489/resize:format$003dfull,2c062eda6785
Mountain Landscape with Buildings in Foreground,1933,Marsden Hartley,American,1877,1943,10 5/8 x 14 7/8,silverpoint on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Gift of Michael St. Clair",,http://emuseum.huntington.org/internal/media/dispatcher/20487/resize:format$003dfull,ea9d3940a1aa
Mountain Landscape with Clouds,1933,Marsden Hartley,American,1877,1943,10 5/8 x 14 7/8,silverpoint on paper,"The Huntington Library, Art Collections, and Botanical Gardens.  Purchased with funds from the Virginia Steele Scott Foundation",,http://emuseum.huntington.org/internal/media/dispatcher/20475/resize:format$003dfull,d828fcd5d017
Mountain Landscape with Clouds,1933,Marsden Hartley,American,1877,1943,10 5/8 x 14 7/8,silverpoint on paper,"The Huntington Library, Art Collections, and Botanical Gardens.  Purchased with funds from the Virginia Steele Scott Foundation",,http://emuseum.huntington.org/internal/media/dispatcher/20478/resize:format$003dfull,cbc5abd93e48
Mountain Landscape with Clouds,1933,Marsden Hartley,American,1877,1943,10 5/8 x 14 7/8,silverpoint on paper,"The Huntington Library, Art Collections, and Botanical Gardens.  Purchased with funds from the Virginia Steele Scott Foundation",,http://emuseum.huntington.org/internal/media/dispatcher/20479/resize:format$003dfull,e164662fb3b5
Mountain Landscape with Clouds and Trees,1933,Marsden Hartley,American,1877,1943,10 5/8 x 14 7/8,silverpoint on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Gift of Michael St. Clair",,http://emuseum.huntington.org/internal/media/dispatcher/20484/resize:format$003dfull,f6e674909994
Mountain Landscape with Clump of Trees,1933,Marsden Hartley,American,1877,1943,10 5/8 x 14 7/8,silverpoint on paper,"The Huntington Library, Art Collections, and Botanical Gardens.  Purchased with funds from the Virginia Steele Scott Foundation",,http://emuseum.huntington.org/internal/media/dispatcher/20476/resize:format$003dfull,d2bbda8a1e02
Mountain Landscape with House and Pine Trees,1933,Marsden Hartley,American,1877,1943,10 5/8 x 14 7/8,silverpoint on paper,"The Huntington Library, Art Collections, and Botanical Gardens.  Purchased with funds from the Virginia Steele Scott Foundation",,http://emuseum.huntington.org/internal/media/dispatcher/20474/resize:format$003dfull,ac3e7bf318b0
Mountain Landscape with House in Foreground,1933,Marsden Hartley,American,1877,1943,10 5/8 x 14 7/8,silverpoint on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Gift of Michael St. Clair",,http://emuseum.huntington.org/internal/media/dispatcher/20480/resize:format$003dfull,87fa75a8c232
Mountain Landscape with Pine Trees,1933,Marsden Hartley,American,1877,1943,10 5/8 x 14 7/8,silverpoint on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Gift of Michael St. Clair",,http://emuseum.huntington.org/internal/media/dispatcher/20483/resize:format$003dfull,c04485f767cb
Mountain Landscape with Trees,1933,Marsden Hartley,American,1877,1943,10 5/8 x 14 7/8,silverpoint on paper,"The Huntington Library, Art Collections, and Botanical Gardens.  Purchased with funds from the Virginia Steele Scott Foundation",,http://emuseum.huntington.org/internal/media/dispatcher/20477/resize:format$003dfull,a444d64213ad
Mountain Landscape with Two Buildings in Foreground,1933,Marsden Hartley,American,1877,1943,14 7/8 x 10 5/8,silverpoint on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Gift of Michael St. Clair",,http://emuseum.huntington.org/internal/media/dispatcher/20490/resize:format$003dfull,59cbe20ea211
Mountain Landscape with Two Pine Trees,1933,Marsden Hartley,American,1877,1943,10 5/8 x 14 7/8,silverpoint on paper,"The Huntington Library, Art Collections, and Botanical Gardens.  Purchased with funds from the Virginia Steele Scott Foundation",,http://emuseum.huntington.org/internal/media/dispatcher/20473/resize:format$003dfull,1bcf5c8e376b
"Mountain Landscape, Building in Foreground",1933,Marsden Hartley,American,1877,1943,10 5/8 x 14 7/8,silverpoint on paper,"The Huntington Library, Art Collections, and Botanical Gardens.  Purchased with funds from the Virginia Steele Scott Foundation",,http://emuseum.huntington.org/internal/media/dispatcher/20472/resize:format$003dfull,d897571e9d74
"Mountain Landscape, Twin Peaks and Trees in Foreground",1933,Marsden Hartley,American,1877,1943,14 7/8 x 10 5/8,silverpoint on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Gift of Michael St. Clair",,http://emuseum.huntington.org/internal/media/dispatcher/20485/resize:format$003dfull,cf7d587e4668
"Mountain Passes of ......""  (Mountain Passes of Heaven)",1965,Joseph Cornell,American,1903,1972,9 x 12,"on rough side of fiberboard panel: paper painted several shades of blue and crackled, wooden strips along left and right edges; verso covered with manilla paper stained blue","The Huntington Library, Art Collections, and Botanical Gardens. Gift of the Joseph and Robert Cornell Memorial Foundation",,http://emuseum.huntington.org/internal/media/dispatcher/26262/resize:format$003dfull,348010b98221
Mountain Road,,Charles A. Vanderhoof,,1853,1918,9 1/2 x 13 1/4,graphite on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation",,http://emuseum.huntington.org/internal/media/dispatcher/18096/resize:format$003dfull,34b726859c7c
Mountain Stream,,William Louis Sonntag Jr.,American,1822,1900,7 1/8 x 14,watercolor and gouache on paper laid on board,"The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation",,http://emuseum.huntington.org/internal/media/dispatcher/16231/resize:format$003dfull,df7fa42bf037
Mr. Chocrua,,Aaron Draper Shattuck,American,1832,1928,10 1/8 x 15 5/8,graphite on paper laid down on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation",,http://emuseum.huntington.org/internal/media/dispatcher/20423/resize:format$003dfull,2983dbbb162d
Mrs. C. H. Collins Baker,1945,Francis de Erdely,American,1904,1959,23 1/8 x 18,black chalk with charcoal,"The Huntington Library, Art Collections, and Botanical Gardens",,http://emuseum.huntington.org/internal/media/dispatcher/17955/resize:format$003dfull,f44de8376d86
"Napa River, Calif.",1931,E. A. Burbank,American,1858,1949,7 5/16 x 11,graphite on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Gift of Mrs. Adelaide Bray.",,http://emuseum.huntington.org/internal/media/dispatcher/22324/resize:format$003dfull,06b408805de7
Near Tivoli,1870-1872,George Inness,American,1825,1894,9 x 10 3/4,watercolor and pencil on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation",,http://emuseum.huntington.org/internal/media/dispatcher/27960/resize:format$003dfull,db525cc265ef
Netley Abbey,1841,John Frederick Kensett,American,1816,1872,9 3/4 x 13 1/8,graphite on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation",,http://emuseum.huntington.org/internal/media/dispatcher/16195/resize:format$003dfull,e1deed160f20
New Hat,,Julian Alden Weir,American,1852,1919,12 1/2 x 8,graphite on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation",,http://emuseum.huntington.org/internal/media/dispatcher/16250/resize:format$003dfull,c53039a6e8d4
New York Street Scene,1939,George Grosz,German,1893,1959,26 3/4 x 19,watercolor on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from Associated Foundations, Inc., William M. B. Berger Charitable Remainder Unitrust, Mrs. Sidney Brody, Brack and Betty Duker, Robert and Lois Erburu, Margery and Maurice Katz, the Virginia Steele Scott Foundation, and David and Joan Traitel",,http://emuseum.huntington.org/internal/media/dispatcher/20862/resize:format$003dfull,3115c0abdc10
New York Street Scene with Vendors,,William James Glackens,American,1870,1938,18 x 14,pastel and charcoal on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Gift of Mrs. Suzanne W. Hull, in memory of Mrs. Gordon Stowe White",,http://emuseum.huntington.org/internal/media/dispatcher/1024/resize:format$003dfull,bdee5da6ac7d
Nobody Down,1950,Don Freeman,American,1908,1978,11 x 14,"ink, gouache and litho crayon","Huntington Library, Art Collections, and Botanical Gardens. Gift of Bonnie and Lee Stone",,http://emuseum.huntington.org/internal/media/dispatcher/31595/resize:format$003dfull,7f78fba29a2a
Northern California,1935,Rinaldo Cuneo,American,1877,1939,10 x 14,oil on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Gift of Margery and Maurice Katz",,http://emuseum.huntington.org/internal/media/dispatcher/27541/resize:format$003dfull,e4cfbb4d5b68
Nude Man,,John Whitworth Robson,American,1881,1946,14 3/4 x 10 3/4,pastel on green paper,"The Huntington Library, Art Collections, and Botanical Gardens.  Gift of Rory Ferguson",,http://emuseum.huntington.org/internal/media/dispatcher/27857/resize:format$003dfull,56fbd6b212cf
Nude Study,,Emil Ganso,American,1895,1941,16 1/2 x 13,pen and ink with wash on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Gift of Robert Halsband",,http://emuseum.huntington.org/internal/media/dispatcher/17965/resize:format$003dfull,27f43946799f
Nude with Violin,,Willard LeRoy Metcalf,American,1858,1925,15 x 9,graphite on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Edward W. and Julia B. Bodman Collection",,http://emuseum.huntington.org/internal/media/dispatcher/16116/resize:format$003dfull,edcec4e26130
Nude Woman,,John Whitworth Robson,American,1881,1946,7 1/2 x 5 1/2,pastel on paper,"The Huntington Library, Art Collections, and Botanical Gardens.  Gift of Rory Ferguson",,http://emuseum.huntington.org/internal/media/dispatcher/27852/resize:format$003dfull,5cb79c8c5ca3
Nude Woman,,John Whitworth Robson,American,1881,1946,10 1/2 x 8 3/4,ink on paper,"The Huntington Library, Art Collections, and Botanical Gardens.  Gift of Rory Ferguson",,http://emuseum.huntington.org/internal/media/dispatcher/27856/resize:format$003dfull,1d6254a45013
Nude Woman,1907,John Whitworth Robson,American,1881,1946,12 3/4 x 9 3/4,pastel on green paper,"The Huntington Library, Art Collections, and Botanical Gardens.  Gift of Rory Ferguson",,http://emuseum.huntington.org/internal/media/dispatcher/27858/resize:format$003dfull,2c134d2f0ae2
Nursery Bed,1902,William H. Bradley,American,1868,1962,5 3/4 x 5 5/16,"graphite, pen, ink and watercolor on paper","The Huntington Library, Art Collections, and Botanical Gardens. Gift of Will Bradley",,http://emuseum.huntington.org/internal/media/dispatcher/16178/resize:format$003dfull,79305122a66e
Nursery Cupboard with Bird Inlays on Door,1902,William H. Bradley,American,1868,1962,5 7/16 x 6 5/16,"graphite, pen, ink and watercolor on paper","The Huntington Library, Art Collections, and Botanical Gardens. Gift of Will Bradley",,http://emuseum.huntington.org/internal/media/dispatcher/16179/resize:format$003dfull,8b83cc995101
Nursery Cupboard with Seat and Figure Inlay in Door,1902,William H. Bradley,American,1868,1962,11 1/2 x 6 1/8,"graphite, pen, ink and watercolor on paper","The Huntington Library, Art Collections, and Botanical Gardens. Gift of Will Bradley",,http://emuseum.huntington.org/internal/media/dispatcher/16181/resize:format$003dfull,9c41c877d5fd
Nursery Stencil Design,1902,William H. Bradley,American,1868,1962,6 3/4 x 5 1/2,"graphite, pen, ink and watercolor on paper","The Huntington Library, Art Collections, and Botanical Gardens. Gift of Will Bradley",,http://emuseum.huntington.org/internal/media/dispatcher/16180/resize:format$003dfull,38c10886de3c
"Nyack [upper drawing] Bit of Shore, Opposite Newburgh [lower drawing]",08/29/1859,Daniel Huntington,American,1816,1906,,graphite on gray paper,"The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation",,http://emuseum.huntington.org/internal/media/dispatcher/18055/resize:format$003dfull,6da45cbbcff3
Oak Tree,1920,Percy Gray,American,1869,1952,18 x 22,watercolor,"The Huntington Library, Art Collections, and Botanical Gardens. Anonymous Gift",,http://emuseum.huntington.org/internal/media/dispatcher/30898/resize:format$003dfull,c9cb370fb6df
Oaxaca, 1885-1932,Christian Jorgensen,American,1860,1935,14 3/4 x 9,watercolor on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Gift of Mrs. Virgil W. Jorgensen",,http://emuseum.huntington.org/internal/media/dispatcher/27930/resize:format$003dfull,1689995c252a
"Old Adobe, Napa Calif.",1929,E. A. Burbank,American,1858,1949,7 1/4 x 11 3/16,graphite on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Gift of Mrs. Adelaide Bray.",,http://emuseum.huntington.org/internal/media/dispatcher/22323/resize:format$003dfull,8ab723c62e71
