technique,provenance,title,imageUrl,dimensions,artist,type,url,EA_id
Black and white photograph dry mounted on illustration board,"Gift of Howard Morehead, Photographer",Paul Robeson,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CRobeson%2Ejpg,"11"" x 14""",Howard Lee Morehead,HISTORY,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Howard+Lee+Morehead&whereclause=where+maker%3D%27Howard+Lee+Morehead%27+OR+cleanmaker%3D%27Howard+Lee+Morehead%27+OR+maker1%3D%27Howard+Lee+Morehead%27+OR+maker2%3D%27Howard+Lee+Morehead%27+OR+maker3%3D%27Howard+Lee+Morehead%27+OR+maker4%3D%27Howard+Lee+Morehead%27+OR+maker5%3D%27Howard+Lee+Morehead%27&current_record=2,4995bf84a45b
Photograph,"Gift of Howard Morehead, Photographer",Billie Holiday,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CHoliday%2Ejpg,"10"" H x 8"" W",Howard Lee Morehead,HISTORY,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Howard+Lee+Morehead&whereclause=where+maker%3D%27Howard+Lee+Morehead%27+OR+cleanmaker%3D%27Howard+Lee+Morehead%27+OR+maker1%3D%27Howard+Lee+Morehead%27+OR+maker2%3D%27Howard+Lee+Morehead%27+OR+maker3%3D%27Howard+Lee+Morehead%27+OR+maker4%3D%27Howard+Lee+Morehead%27+OR+maker5%3D%27Howard+Lee+Morehead%27&current_record=3,52830128b220
Photographic materials,"Gift of Fran Cooper, Administrator of the Howard Morehead Estate",Howard Morehead Collection,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CMorehead%5CMorehead%5FRayCharles%2Ejpg,various,Howard Lee Morehead,HISTORY,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Howard+Lee+Morehead&whereclause=where+maker%3D%27Howard+Lee+Morehead%27+OR+cleanmaker%3D%27Howard+Lee+Morehead%27+OR+maker1%3D%27Howard+Lee+Morehead%27+OR+maker2%3D%27Howard+Lee+Morehead%27+OR+maker3%3D%27Howard+Lee+Morehead%27+OR+maker4%3D%27Howard+Lee+Morehead%27+OR+maker5%3D%27Howard+Lee+Morehead%27&current_record=4,ea00acfe846c
rotogravure,"Gift of Fran Cooper, Administrator of the Howard Morehead Estate",Miss Bronze California Beauty Pageant for 1963,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5CTrioImages%5CMorehead%5CMorehead%5FBronze1963Pageant%2Ejpg,"11"" H x 8.5"" W","Howard Morehead, Producer",LIBRARY/ARCHIVES,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Howard+Morehead%2C+Producer&whereclause=where+maker%3D%27Howard+Morehead%2C+Producer%27+OR+cleanmaker%3D%27Howard+Morehead%2C+Producer%27+OR+maker1%3D%27Howard+Morehead%2C+Producer%27+OR+maker2%3D%27Howard+Morehead%2C+Producer%27+OR+maker3%3D%27Howard+Morehead%2C+Producer%27+OR+maker4%3D%27Howard+Morehead%2C+Producer%27+OR+maker5%3D%27Howard+Morehead%2C+Producer%27&current_record=1,19607b75d457
offset lithograph,"Gift of Fran Cooper, Administrator of the Howard Morehead Estate",Howard Morehead Still and Camera Photography [calendar],http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5CTrioImages%5CMorehead%5C1960%5FCalendar+copy%2Ejpg,"13.25"" H x 8.25"" W",Howard Morehead/Thomas A. Schultz Co.,LIBRARY/ARCHIVES,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Howard+Morehead%2FThomas+A%2E+Schultz+Co%2E&whereclause=where+maker%3D%27Howard+Morehead%2FThomas+A%2E+Schultz+Co%2E%27+OR+cleanmaker%3D%27Howard+Morehead%2FThomas+A%2E+Schultz+Co%2E%27+OR+maker1%3D%27Howard+Morehead%2FThomas+A%2E+Schultz+Co%2E%27+OR+maker2%3D%27Howard+Morehead%2FThomas+A%2E+Schultz+Co%2E%27+OR+maker3%3D%27Howard+Morehead%2FThomas+A%2E+Schultz+Co%2E%27+OR+maker4%3D%27Howard+Morehead%2FThomas+A%2E+Schultz+Co%2E%27+OR+maker5%3D%27Howard+Morehead%2FThomas+A%2E+Schultz+Co%2E%27&current_record=1,006b1f6c0595
"acrylic, gouache, tempera, postcards on museum board",California Afro-American Museum Foundation purchase,Festival,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CFestival%2Ebmp,"33 x 32.5 x 2""",Howardena Doreen Pindell,VISUAL ART,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Howardena+Doreen+Pindell&whereclause=where+maker%3D%27Howardena+Doreen+Pindell%27+OR+cleanmaker%3D%27Howardena+Doreen+Pindell%27+OR+maker1%3D%27Howardena+Doreen+Pindell%27+OR+maker2%3D%27Howardena+Doreen+Pindell%27+OR+maker3%3D%27Howardena+Doreen+Pindell%27+OR+maker4%3D%27Howardena+Doreen+Pindell%27+OR+maker5%3D%27Howardena+Doreen+Pindell%27&current_record=1,5949d6e87917
Rotogravure,Gift of Senator Bill Greene,,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CBill+Greene%5C21%2Ejpg,"8.5"" H x 7"" W",Huey P. Newton Defense Fund,HISTORY,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Huey+P%2E+Newton+Defense+Fund&whereclause=where+maker%3D%27Huey+P%2E+Newton+Defense+Fund%27+OR+cleanmaker%3D%27Huey+P%2E+Newton+Defense+Fund%27+OR+maker1%3D%27Huey+P%2E+Newton+Defense+Fund%27+OR+maker2%3D%27Huey+P%2E+Newton+Defense+Fund%27+OR+maker3%3D%27Huey+P%2E+Newton+Defense+Fund%27+OR+maker4%3D%27Huey+P%2E+Newton+Defense+Fund%27+OR+maker5%3D%27Huey+P%2E+Newton+Defense+Fund%27&current_record=1,f7b383f08dec
"wood, plant, polychromy","Gift of Dr. Bennett Jacoby, in memory of Barbara and Laura Jacoby",,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CJACOBY%5CG33%2EBMP,"12 x 8½ x 5½""",Ibibio of Nigeria,VISUAL ART,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Ibibio+of+Nigeria&whereclause=where+maker%3D%27Ibibio+of+Nigeria%27+OR+cleanmaker%3D%27Ibibio+of+Nigeria%27+OR+maker1%3D%27Ibibio+of+Nigeria%27+OR+maker2%3D%27Ibibio+of+Nigeria%27+OR+maker3%3D%27Ibibio+of+Nigeria%27+OR+maker4%3D%27Ibibio+of+Nigeria%27+OR+maker5%3D%27Ibibio+of+Nigeria%27&current_record=1,b05f11e35961
Wood and pigment,Gift of Dr. and Mrs. Melvin Silverman,,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CSilverman%5CMale+shrine+25%2E15%2Ejpg,"52"" x 13"" x 10""",Ibibio people of Nigeria,VISUAL ART,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Ibibio+people+of+Nigeria&whereclause=where+maker%3D%27Ibibio+people+of+Nigeria%27+OR+cleanmaker%3D%27Ibibio+people+of+Nigeria%27+OR+maker1%3D%27Ibibio+people+of+Nigeria%27+OR+maker2%3D%27Ibibio+people+of+Nigeria%27+OR+maker3%3D%27Ibibio+people+of+Nigeria%27+OR+maker4%3D%27Ibibio+people+of+Nigeria%27+OR+maker5%3D%27Ibibio+people+of+Nigeria%27&current_record=1,b47b078f292f
"Wood, metal, textile polychromy","Gift of Dr. Michel N. Jacoby, in memory of Barbara and Laura Jacoby",,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CJACOBY%5C1012%2EBMP,"16"" x 16½"" x 4""",Ibibio people of Nigeria,VISUAL ART,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Ibibio+people+of+Nigeria&whereclause=where+maker%3D%27Ibibio+people+of+Nigeria%27+OR+cleanmaker%3D%27Ibibio+people+of+Nigeria%27+OR+maker1%3D%27Ibibio+people+of+Nigeria%27+OR+maker2%3D%27Ibibio+people+of+Nigeria%27+OR+maker3%3D%27Ibibio+people+of+Nigeria%27+OR+maker4%3D%27Ibibio+people+of+Nigeria%27+OR+maker5%3D%27Ibibio+people+of+Nigeria%27&current_record=2,782c3d2b6e76
Wood and pigment,"Gift of Dr. Michel N. Jacoby, in memory of Barbara and Laura Jacoby",,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CJACOBY%5CA122%2Ejpg,"23"" x  8"" x 5""",Ibibio people of Nigeria,VISUAL ART,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Ibibio+people+of+Nigeria&whereclause=where+maker%3D%27Ibibio+people+of+Nigeria%27+OR+cleanmaker%3D%27Ibibio+people+of+Nigeria%27+OR+maker1%3D%27Ibibio+people+of+Nigeria%27+OR+maker2%3D%27Ibibio+people+of+Nigeria%27+OR+maker3%3D%27Ibibio+people+of+Nigeria%27+OR+maker4%3D%27Ibibio+people+of+Nigeria%27+OR+maker5%3D%27Ibibio+people+of+Nigeria%27&current_record=3,3bc3668511f8
Wood,"Gift of Dr. Michel N. Jacoby, in memory of Barbara and Laura Jacoby",,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CJACOBY%5CA105%2EBMP,"10"" x 5½"" x 7""",Ibo People of Nigeria,VISUAL ART,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Ibo+People+of+Nigeria&whereclause=where+maker%3D%27Ibo+People+of+Nigeria%27+OR+cleanmaker%3D%27Ibo+People+of+Nigeria%27+OR+maker1%3D%27Ibo+People+of+Nigeria%27+OR+maker2%3D%27Ibo+People+of+Nigeria%27+OR+maker3%3D%27Ibo+People+of+Nigeria%27+OR+maker4%3D%27Ibo+People+of+Nigeria%27+OR+maker5%3D%27Ibo+People+of+Nigeria%27&current_record=1,0adf998dc756
Wood,"Gift of Dr. Michel N. Jacoby, in memory of Barbara and Laura Jacoby",,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CJACOBY%5CN28%2Ejpg,"19"" x 9""",Ibo People of Nigeria,VISUAL ART,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Ibo+People+of+Nigeria&whereclause=where+maker%3D%27Ibo+People+of+Nigeria%27+OR+cleanmaker%3D%27Ibo+People+of+Nigeria%27+OR+maker1%3D%27Ibo+People+of+Nigeria%27+OR+maker2%3D%27Ibo+People+of+Nigeria%27+OR+maker3%3D%27Ibo+People+of+Nigeria%27+OR+maker4%3D%27Ibo+People+of+Nigeria%27+OR+maker5%3D%27Ibo+People+of+Nigeria%27&current_record=2,45c645a56c70
Wood and pigment,"Gift of Dr. Michel N. Jacoby, in memory of Barbara and Laura Jacoby",,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CJACOBY%5CD11%2Ejpg,"38"" x 7""",Ibo People of Nigeria,VISUAL ART,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Ibo+People+of+Nigeria&whereclause=where+maker%3D%27Ibo+People+of+Nigeria%27+OR+cleanmaker%3D%27Ibo+People+of+Nigeria%27+OR+maker1%3D%27Ibo+People+of+Nigeria%27+OR+maker2%3D%27Ibo+People+of+Nigeria%27+OR+maker3%3D%27Ibo+People+of+Nigeria%27+OR+maker4%3D%27Ibo+People+of+Nigeria%27+OR+maker5%3D%27Ibo+People+of+Nigeria%27&current_record=3,ab248c1d0c6c
Wood,"Gift of Dr. Michel N. Jacoby, in memory of Barbara and Laura Jacoby",,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CJACOBY%5C1036%2EBMP,"30 x 8 x 14""",Ibo People of Nigeria,VISUAL ART,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Ibo+People+of+Nigeria&whereclause=where+maker%3D%27Ibo+People+of+Nigeria%27+OR+cleanmaker%3D%27Ibo+People+of+Nigeria%27+OR+maker1%3D%27Ibo+People+of+Nigeria%27+OR+maker2%3D%27Ibo+People+of+Nigeria%27+OR+maker3%3D%27Ibo+People+of+Nigeria%27+OR+maker4%3D%27Ibo+People+of+Nigeria%27+OR+maker5%3D%27Ibo+People+of+Nigeria%27&current_record=4,276bbcd31ae8
Wood,Gift of Dr. and Mrs. Melvin Silverman,,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CSilverman%5CJanus+mask%2Ejpg,"20"" x 10"" x 11""",Ibo People of Nigeria,VISUAL ART,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Ibo+People+of+Nigeria&whereclause=where+maker%3D%27Ibo+People+of+Nigeria%27+OR+cleanmaker%3D%27Ibo+People+of+Nigeria%27+OR+maker1%3D%27Ibo+People+of+Nigeria%27+OR+maker2%3D%27Ibo+People+of+Nigeria%27+OR+maker3%3D%27Ibo+People+of+Nigeria%27+OR+maker4%3D%27Ibo+People+of+Nigeria%27+OR+maker5%3D%27Ibo+People+of+Nigeria%27&current_record=5,c244eea57cf2
"Wood, skin, mirror, nails",Gift of Dr. and Mrs. Melvin Silverman,Ibo Mask,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CSilverman%5CIbo+132%2E5+front%2Ejpg,"24"" x 15"" (at widest point) x 11""",Ibo People of Nigeria,VISUAL ART,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Ibo+People+of+Nigeria&whereclause=where+maker%3D%27Ibo+People+of+Nigeria%27+OR+cleanmaker%3D%27Ibo+People+of+Nigeria%27+OR+maker1%3D%27Ibo+People+of+Nigeria%27+OR+maker2%3D%27Ibo+People+of+Nigeria%27+OR+maker3%3D%27Ibo+People+of+Nigeria%27+OR+maker4%3D%27Ibo+People+of+Nigeria%27+OR+maker5%3D%27Ibo+People+of+Nigeria%27&current_record=6,d39f290aa701
"Wood, pigment, nails",Gift of Dorothy B. Porter-Wesley,,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CPorter%2DWesley%5CMama+wata+29%2E1%2Ejpg,"20"" x 7"" x 4""",Ibo People of Nigeria,VISUAL ART,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Ibo+People+of+Nigeria&whereclause=where+maker%3D%27Ibo+People+of+Nigeria%27+OR+cleanmaker%3D%27Ibo+People+of+Nigeria%27+OR+maker1%3D%27Ibo+People+of+Nigeria%27+OR+maker2%3D%27Ibo+People+of+Nigeria%27+OR+maker3%3D%27Ibo+People+of+Nigeria%27+OR+maker4%3D%27Ibo+People+of+Nigeria%27+OR+maker5%3D%27Ibo+People+of+Nigeria%27&current_record=7,c09c0187f445
"wood, textile, polychromes","Gift of Dr. Michel N. Jacoby, in memory of Barbara and Laura Jacoby",,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CJACOBY%5C1046%2EBMP,"13.5"" H x 9"" W x 46"" D",Ibo People of Nigeria,VISUAL ART,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Ibo+People+of+Nigeria&whereclause=where+maker%3D%27Ibo+People+of+Nigeria%27+OR+cleanmaker%3D%27Ibo+People+of+Nigeria%27+OR+maker1%3D%27Ibo+People+of+Nigeria%27+OR+maker2%3D%27Ibo+People+of+Nigeria%27+OR+maker3%3D%27Ibo+People+of+Nigeria%27+OR+maker4%3D%27Ibo+People+of+Nigeria%27+OR+maker5%3D%27Ibo+People+of+Nigeria%27&current_record=8,8df6fa2c4795
Carved wood,"Gift of Dr. Michel N. Jacoby, in memory of Barbara and Laura Jacoby",,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CJACOBY%5CF18%2Ejpg,"49.5"" x 9""",Ibo People of Nigeria,VISUAL ART,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Ibo+People+of+Nigeria&whereclause=where+maker%3D%27Ibo+People+of+Nigeria%27+OR+cleanmaker%3D%27Ibo+People+of+Nigeria%27+OR+maker1%3D%27Ibo+People+of+Nigeria%27+OR+maker2%3D%27Ibo+People+of+Nigeria%27+OR+maker3%3D%27Ibo+People+of+Nigeria%27+OR+maker4%3D%27Ibo+People+of+Nigeria%27+OR+maker5%3D%27Ibo+People+of+Nigeria%27&current_record=9,bf55c22caffd
Wood and pigment,"Gift of Dr. Michel N. Jacoby, in memory of Barbara and Laura Jacoby",,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CJACOBY%5CG78%2EJPG,"15"" x 13"" x 12""",Ibo/Igala people of Nigeria,VISUAL ART,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Ibo%2FIgala+people+of+Nigeria&whereclause=where+maker%3D%27Ibo%2FIgala+people+of+Nigeria%27+OR+cleanmaker%3D%27Ibo%2FIgala+people+of+Nigeria%27+OR+maker1%3D%27Ibo%2FIgala+people+of+Nigeria%27+OR+maker2%3D%27Ibo%2FIgala+people+of+Nigeria%27+OR+maker3%3D%27Ibo%2FIgala+people+of+Nigeria%27+OR+maker4%3D%27Ibo%2FIgala+people+of+Nigeria%27+OR+maker5%3D%27Ibo%2FIgala+people+of+Nigeria%27&current_record=1,9d29d04ee40a
Comic book staple bound with printed ink on linen supports,Gift of Muriel Carrison,The Strange Tale of Ten Little Nigger Boys,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CBlack%5FAmericana%5CDonohue%5FStrangeTale%2Ejpg,8.5 H x 6 W,illustrated by The Pilgrims,HISTORY,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+illustrated+by+%93The+Pilgrims%94&whereclause=where+maker%3D%27illustrated+by+%93The+Pilgrims%94%27+OR+cleanmaker%3D%27illustrated+by+%93The+Pilgrims%94%27+OR+maker1%3D%27illustrated+by+%93The+Pilgrims%94%27+OR+maker2%3D%27illustrated+by+%93The+Pilgrims%94%27+OR+maker3%3D%27illustrated+by+%93The+Pilgrims%94%27+OR+maker4%3D%27illustrated+by+%93The+Pilgrims%94%27+OR+maker5%3D%27illustrated+by+%93The+Pilgrims%94%27&current_record=1,520e424df9f8
Photo-mechanical reproduction on heavy paper,Gift of Meredith Livingston,,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CHazel+Scott%5CFan+Club%2Ejpg,"4.25"" H x 3.25"" W",International Hazel Scott Fan Club (photo by James J. Kriegsmann),HISTORY,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+International+Hazel+Scott+Fan+Club+%28photo+by+James+J%2E+Kriegsmann%29&whereclause=where+maker%3D%27International+Hazel+Scott+Fan+Club+%28photo+by+James+J%2E+Kriegsmann%29%27+OR+cleanmaker%3D%27International+Hazel+Scott+Fan+Club+%28photo+by+James+J%2E+Kriegsmann%29%27+OR+maker1%3D%27International+Hazel+Scott+Fan+Club+%28photo+by+James+J%2E+Kriegsmann%29%27+OR+maker2%3D%27International+Hazel+Scott+Fan+Club+%28photo+by+James+J%2E+Kriegsmann%29%27+OR+maker3%3D%27International+Hazel+Scott+Fan+Club+%28photo+by+James+J%2E+Kriegsmann%29%27+OR+maker4%3D%27International+Hazel+Scott+Fan+Club+%28photo+by+James+J%2E+Kriegsmann%29%27+OR+maker5%3D%27International+Hazel+Scott+Fan+Club+%28photo+by+James+J%2E+Kriegsmann%29%27&current_record=1,bc6ca28debd2
Ink on paper program,Gift of Tony and Gloria Mendoza,"Irving Ganz' Presents ""Jazz à la Carte""",http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CMusic%5Fprograms%5CGranz%5FJazz%2Ejpg,12 H x 9 W,"Irving Ganz, promoter",HISTORY,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Irving+Ganz%2C+promoter&whereclause=where+maker%3D%27Irving+Ganz%2C+promoter%27+OR+cleanmaker%3D%27Irving+Ganz%2C+promoter%27+OR+maker1%3D%27Irving+Ganz%2C+promoter%27+OR+maker2%3D%27Irving+Ganz%2C+promoter%27+OR+maker3%3D%27Irving+Ganz%2C+promoter%27+OR+maker4%3D%27Irving+Ganz%2C+promoter%27+OR+maker5%3D%27Irving+Ganz%2C+promoter%27&current_record=1,af175926fe73
Carved and painted wood,Gift of Dorothy B. Porter-Wesley,,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CPorter%2DWesley%5CGuere+mask%2Ejpg,"8¾"" x 5½"" x 3""",Ivory Coast,VISUAL ART,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Ivory+Coast&whereclause=where+maker%3D%27Ivory+Coast%27+OR+cleanmaker%3D%27Ivory+Coast%27+OR+maker1%3D%27Ivory+Coast%27+OR+maker2%3D%27Ivory+Coast%27+OR+maker3%3D%27Ivory+Coast%27+OR+maker4%3D%27Ivory+Coast%27+OR+maker5%3D%27Ivory+Coast%27&current_record=1,b33414f66646
serigraph,"Gift of the Amistad Research Center, Tulane University",Toussaint at Ennery,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CJacob+Lawrence%5CEnnery%2Ejpg,"18.5"" x 28.5""",Jacob Lawrence,VISUAL ART,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Jacob+Lawrence&whereclause=where+maker%3D%27Jacob+Lawrence%27+OR+cleanmaker%3D%27Jacob+Lawrence%27+OR+maker1%3D%27Jacob+Lawrence%27+OR+maker2%3D%27Jacob+Lawrence%27+OR+maker3%3D%27Jacob+Lawrence%27+OR+maker4%3D%27Jacob+Lawrence%27+OR+maker5%3D%27Jacob+Lawrence%27&current_record=1,be57e36f9a09
Serigraph,California Afro-American Museum Foundation purchase,Revolt on the Amistad,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CJacob+Lawrence%5CRevolt%2Ejpg,47½ x 39½,Jacob Lawrence,VISUAL ART,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Jacob+Lawrence&whereclause=where+maker%3D%27Jacob+Lawrence%27+OR+cleanmaker%3D%27Jacob+Lawrence%27+OR+maker1%3D%27Jacob+Lawrence%27+OR+maker2%3D%27Jacob+Lawrence%27+OR+maker3%3D%27Jacob+Lawrence%27+OR+maker4%3D%27Jacob+Lawrence%27+OR+maker5%3D%27Jacob+Lawrence%27&current_record=2,0ae3b1d688a1
Serigraph,California Afro-American Museum Foundation purchase,Confrontation at the Bridge,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CJacob+Lawrence%5CConfrontation%5FBridge%2Ejpg,"19"" H x 25"" W",Jacob Lawrence,VISUAL ART,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Jacob+Lawrence&whereclause=where+maker%3D%27Jacob+Lawrence%27+OR+cleanmaker%3D%27Jacob+Lawrence%27+OR+maker1%3D%27Jacob+Lawrence%27+OR+maker2%3D%27Jacob+Lawrence%27+OR+maker3%3D%27Jacob+Lawrence%27+OR+maker4%3D%27Jacob+Lawrence%27+OR+maker5%3D%27Jacob+Lawrence%27&current_record=3,4d0c1c7aa6ac
serigraph,California Afro-American Museum Foundation purchase,The Birth of Toussaint,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CJacob+Lawrence%5CBirth%2Ejpg,"28"" H x 18"" W",Jacob Lawrence,VISUAL ART,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Jacob+Lawrence&whereclause=where+maker%3D%27Jacob+Lawrence%27+OR+cleanmaker%3D%27Jacob+Lawrence%27+OR+maker1%3D%27Jacob+Lawrence%27+OR+maker2%3D%27Jacob+Lawrence%27+OR+maker3%3D%27Jacob+Lawrence%27+OR+maker4%3D%27Jacob+Lawrence%27+OR+maker5%3D%27Jacob+Lawrence%27&current_record=4,70ba7202963d
serigraph,California Afro-American Museum Foundation purchase,General Toussaint L'Ouverture,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CJacob+Lawrence%5CGTO%2Ejpg,"28"" H x 18"" W",Jacob Lawrence,VISUAL ART,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Jacob+Lawrence&whereclause=where+maker%3D%27Jacob+Lawrence%27+OR+cleanmaker%3D%27Jacob+Lawrence%27+OR+maker1%3D%27Jacob+Lawrence%27+OR+maker2%3D%27Jacob+Lawrence%27+OR+maker3%3D%27Jacob+Lawrence%27+OR+maker4%3D%27Jacob+Lawrence%27+OR+maker5%3D%27Jacob+Lawrence%27&current_record=5,0189cd6ad53b
serigraph,California Afro-American Museum Foundation Purchase,The Capture (Toussaint Captured Marmalade),http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CJacob+Lawrence%5CCapture%2Ebmp,"28"" H x 18"" W",Jacob Lawrence,VISUAL ART,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Jacob+Lawrence&whereclause=where+maker%3D%27Jacob+Lawrence%27+OR+cleanmaker%3D%27Jacob+Lawrence%27+OR+maker1%3D%27Jacob+Lawrence%27+OR+maker2%3D%27Jacob+Lawrence%27+OR+maker3%3D%27Jacob+Lawrence%27+OR+maker4%3D%27Jacob+Lawrence%27+OR+maker5%3D%27Jacob+Lawrence%27&current_record=6,c97e59b06121
Bound book illustrated with silkscreens,Gift of Kim L. Hunter,Genesis: The First Book of Moses Called GenesisThe King James Version,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CJacob+Lawrence%5CLawrence%5FGenesis%5CGenesis1%2Ejpg,"22"" H x 16..875 W x 2.25""D",Jacob Lawrence,VISUAL ART,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Jacob+Lawrence&whereclause=where+maker%3D%27Jacob+Lawrence%27+OR+cleanmaker%3D%27Jacob+Lawrence%27+OR+maker1%3D%27Jacob+Lawrence%27+OR+maker2%3D%27Jacob+Lawrence%27+OR+maker3%3D%27Jacob+Lawrence%27+OR+maker4%3D%27Jacob+Lawrence%27+OR+maker5%3D%27Jacob+Lawrence%27&current_record=7,a81193b913c5
