description,title,artist,credit,materials,image_URL,dimensions,EA_id
"1 letter and envelope from Hisako Watanabe to Clara Breed.  Transcription:<br>June 10, 1943/Dear Miss Breed,/This is just a brief note to let you know that I received the zipper. I appreciate you sending it so promptly because I did need it. The zipper was for my graduation dress so I was anxious to get it. You were very kind to go to the trouble of getting it for me because I know you must be awfully busy./Did you have enough money? The zipper was very nice and the color matched my dress. I wish you could be here for our graduation. We will be the first class to graduate from Poston./I must close now and do some school studies before going to bed. I'll be waiting to hear from you so write me soon. I will write again and tell you all about my plans./Thank you again,/Hisako Watanabe","Letter to Clara Breed from Hisako Watanabe, Poston, Arizona, June 10, 1943","Watanabe, Hisako",Gift of Elizabeth Y. Yamada,paper; ink,http://media.janm.org/collections/janm_93.75.31JM_r_a.jpg; http://media.janm.org/collections/janm_93.75.31JM_er_a.jpg,"H: 10 in, W: 8 in (sheet); H: 3.75 in, W: 6.5 in (envelope)",243f3a28196f
"1 letter and envelope from Louise Ogawa to Clara Breed.  Transcription:<br>August 17, 1943/Dear Miss Breed,/It seems our letters have crossed in the mail because I received your letter the day after I sent mine.<br>/But I hope this letter finds you in the best of health./This time I won't mention the heat because we had a nice long down-pour of rain yesterday./Yesterday morning was a little cloudy but soon the sun came around the mountain and began beaming down at us. Everyone went to work expecting another hot day. The sun beamed and beamed until about 2 o'clock in the afternoon when suddenly it became cloudy and began to pour. It didn't start out with a sprinkle either. It just began to pour. Then we had the regular formalities of a rain storm--thunder, wind, lightning. The Poston thunder certainly is loud! But father slept through it for an hour. He must have been really tired or else he is a really sound sleeper. The lightning here is just beautiful. You can see each jagged corner distinctly./The worst part of the storm was the whirl wind. It rushed the rain against the side of the barracks and down came the rain into the house, through the cracks in the wall. I rushed to the rescue of my clothes and a few odds and ends which were against the wall. Then I went running to the flood on my dresser carrying a pan. Oh, what a disgust! When there is a dust storm, the sand comes in through the cracks; when it rains, the rain comes in through the same cracks. Well, that's life I guess./When I glanced out the window, it reminded me of the Mississippi flood. The firebreak had become a river. Many of the so-called puddles being knee deep, I saw lots and lots of people wading home in their bare feet. I wish you could have been here to see what went on. I just can't express myself./Today the sun is brightly shining just as if nothing had happened. I know the ground will soon be hard and dry again./The Poston wind is very strong. I understand that some of the roofs of the newly built adobe school buildings came flying down./I was very interested to hear that San Diego is now divided into postal districts. I can see how easier it is for the postman./Yes, I am still working at the school office. You may have heard that Mr. C. Potts has resigned the principalship of the Poston III Schools. Miss Frances S. Cushman has taken over the position as principal./A few weeks ago four new young teachers arrived. They are all just fresh from college. My fellow classmates, especially boys, are now sorry they graduated./All the teachers were going to go to a summer school at Fort Apache this month. But due to the ill-feelings of the people of Arizona towards us, it has been cancelled. It certainly was a great disappointment to everyone. But the already made plans are being carried through. Instead of going to Fort Apache they are going to Camp I for the summer session for teachers./I am sorry you were not able to located Emi. She is standing in the second row next to the end on the right hand side, as you face the picture./My brother in Chicago is working as a shipping clerk in a publishing firm. He seems to like his work and Chicago very much. He says because of the numerous factories, the city is very dirty. I guess, nothing can beat San Diego./Thank you very kindly for the clippings on the crepe paper novelties. I shall try to make some of the articles in my spare time./BOOM--my mind has become a complete blank./Most respectfully,/Louise Ogawa/","Letter to Clara Breed from Louise Ogawa, Poston, Arizona, Augus 17, 1943","Ogawa, Louise",Gift of Elizabeth Y. Yamada,paper; ink,http://media.janm.org/collections/janm_93.75.31DB_1r_a.jpg; http://media.janm.org/collections/janm_93.75.31DB_1v_a.jpg; http://media.janm.org/collections/janm_93.75.31DB_2r_a.jpg; http://media.janm.org/collections/janm_93.75.31DB_2v_a.jpg; http://media.janm.org/collections/janm_93.75.31DB_er_a.jpg,"H: 11 in, W: 8.5 in (sheet); H: 3.5 in, W: 6.375 in (envelope)",ff75998baa03
"1 postcard from Tetsuzo (Ted) Hirasaki to Clara Breed.  Transcription:<br>11/18/1943/Dear Miss Breed, /Still working like the devil. 14 hrs per day. Yesterday we dishwashers got stuck with the job of cleaning 36 chickens. Today we're stuck again with 30 more. What a job. The first time, too. The weather is still good. Crisp in the morning with frost almost every morning. We have small coal stove in tent to keep warm. All the fellows here are working hard. Avg. 12-14 hrs. Some work until 12:30 AM. The carrots are sweet and huge. The cabbage is also huge. Cauliflower is too. As well as potatoes. I never saw such wonderful vegetables. The soil is truly wonderful. /Sincerely/Ted","Postcard to Clara Breed from Tetsuzo (Ted) Hirasaki, Newell, California, November 11, 1943","Hirasaki, Tetsuzo",Gift of Elizabeth Y. Yamada,paper; ink,http://media.janm.org/collections/janm_93.75.31K_r_a.jpg; http://media.janm.org/collections/janm_93.75.31K_v_a.jpg,"H: 3.25 in, W: 5.5 in",d79114818efa
"7 drawings on paper (1 sheet) : ink ; 9.5 x 6 in.  Ink sketches of a pet crow in various positions called Jack on February 2, 1942.<br>Top sketches of full body of crow bending to look at something and a sketch of just the bird's head below the tail.<br>Middle sketches of bird's head, body of crow without legs, and crow at right edge looking up.<br>Bottom sketches of crow's body as he runs his head to the right and large head on right edge facing left.<br>Drawing 97.106.1CF on verso of same sheet.","The pet crow ""Jack"" : 2-2-42 8 PM","Hoshida, George","Gift of June Hoshida Honma, Sandra Hoshida and Carole Hoshida Kanada",ink; paper,http://media.janm.org/collections/janm_97.106.1CE_a.jpg,"H: 9.5 in, W: 6 in",11879b78507a
"3 drawings on paper (1 sheet) : ink ; 9.5 x6 in.  Ink drawings of Liason office exterior and portraits of two men, identified by inscriptions.<br>Top image of Liaison Office exterior on right with fenced garden in front ; barracks appears in background left.<br>Bottom left image of Mr. Shoda leaning forward in profile facing right ; visible from waist up.<br>Bottom right image of Mr. Ochiai while playing Go with Mr. Hata ; view from chest up as he leans forward with head slightly cocked, facing viewer ; shading on right side of face.<br>Drawing 97.106.1BM on recto of same sheet.",Liason office,"Hoshida, George","Gift of June Hoshida Honma, Sandra Hoshida and Carole Hoshida Kanada",ink; paper,http://media.janm.org/collections/janm_97.106.1BN_a.jpg,"H: 9.5 in, W: 6 in",3e1b8b48a3ad
"2 drawings on paper (1 sheet) : ink ; top image 4.75 x 6 in., bottom image 4.75 x 6 in., on sheet 9.5 x 6 in.  Ink sketch of downtown Santa Fe camp and Meiji Setsu, a Japanese holiday celebrated on the Emperor Meiji's birthday on November 3, 1943.<br>Top sketch is a broad view of Santa Fe camp with rows of barracks and tall poles down center aisle ; tiny figures visible near buildings ; two buildings in foreground ; outline of mountains in background.<br>Bottom sketch of view from back of crowd of event on stage ; a man in dark clothing appears to read from a paper on stage under roof ; audience backs sketched.<br>Drawing 97.106.1AX on verso of same sheet.","10-3-43, 9 AM, Meijisetsu, Santa Fe D.S. downtown","Hoshida, George","Gift of June Hoshida Honma, Sandra Hoshida and Carole Hoshida Kanada",ink; paper,http://media.janm.org/collections/janm_97.106.1AW_a.jpg,"H: 9.5 in, W: 6 in",099b9033ae6b
"6 drawings on paper (1 sheet) : ink ; top left  image 3.375 x 3.375 in., top right image 3.375 x 2.125 in., middle left image 3.5 x 3.25 in., middle right image 3.375 x 2.5 in., bottom left image 2.125 x 2.5 in., bottom right image 2.75 x 3.125 in., on sheet 9.5 x 6 in.  Ink sketches of costumed performers and seated audience members, with inscriptions in Japanese and English of talent show held February 1, 1943.<br>Top left sketch of a man standing on right side holding long scroll extending to the left while performing the Yasugi folksong of Shimane prefecture.<br>Top right sketch of a man standing in profile facing left performing comical Choina.<br>Middle left sketch of a person dancing ""Autumn night"" with fan in Japanese female costume and headdress on wooden floor.  Japanese writing crossed out in inset box.<br>Middle right sketch of three men seated in audience, Lieutenant Wedler, Lieutenant Bond and Captain Doles.<br>Bottom left sketch of a man, Shigeru Yagi, facing the viewer at a podium singing ""Soshu yakyoku"", a song about China.<br>Bottom right sketch of a man standing in profile facing right playing a flute.<br>Drawing 97.106.1CH on recto of same sheet.",2-1-43,"Hoshida, George","Gift of June Hoshida Honma, Sandra Hoshida and Carole Hoshida Kanada",ink; paper,http://media.janm.org/collections/janm_97.106.1CI_a.jpg,"H: 9.5 in, W: 6 in",d5dded35449d
"4 drawings on paper (1 sheet) : ink ; 9.5 x 6 in.  Ink sketches of four men engaged in various activities in every day life, identified by inscriptions.<br>Top left image of a man, Mr. Shimada, seated on a bed mending a shirt ; dressed in long pants and long sleeved shirt, his head is inclined toward the sewing in his lap.<br>Top right image of a man, S. Ando sitting crosslegged writing a letter on his lap ; he faces viewer as his head is bent toward his writing.<br>Bottom left image of a man, Kanno, seated in profile facing right as he reads.<br>Bottom right image of a man, A. Imamura, viewed from waist up as he holds food to his mouth while in bed.<br>Drawing 97.106.1BQ on recto of same sheet.","Santa Fe, 10-30-43, 8:50 PM","Hoshida, George","Gift of June Hoshida Honma, Sandra Hoshida and Carole Hoshida Kanada",ink; paper,http://media.janm.org/collections/janm_97.106.1BR_a.jpg,"H: 9.5 in, W: 6 in",cd3b0d9578bd
"Framed and stretched. Gold frame, hanging wire and screws attached to back of stretcher.  Image of Nisei soldier in brown uniform and garrison cap looking over right shoulder bidding his family farewell as he leaves camp with one black bag to join the war.  In left foreground, a young girl in a greenish blue dress waves an American flag; lower center, a woman in a purple and white polka-dotted dress holding baby dressed in yellow, while waving a white handkerchief;  lower right is camp guard with a pallid face, bars the family from leaving and is armed with a bayonet attached to rifle.  Red on white stop sign at center blocks their way, barbed wire fences along left and right, and guard tower on background.",Send off husband at Jerome camp,"Sugimoto, Henry","Gift of Madeleine Sugimoto and Naomi Tagawa, Japanese American National Museum",oil; canvas,http://media.janm.org/collections/janm_92.97.1_a.jpg,"H: 30 in, W: 23.5 in,  Frame: 31 x 24.5 in",436eb817fc24
"Unstretched and unframed.  In foreground, swampy area of dry grass and reflective water.  Left, wooden structure with small fenced area.  In the background, more brush before a large woodpile.  Outline of trees visible behind barracks in distance.",Around the Jerome Campfield,"Sugimoto, Henry","Gift of Madeleine Sugimoto and Naomi Tagawa, Japanese American National Museum",oil; canvas,http://media.janm.org/collections/janm_92.97.75_a.jpg,"H: 18.75 in, W: 23.75 in",cd1607e83bb4
"1 letter and envelope from Yoshiko Kihara to Clara Breed + 1 Christmas card from Yoshiko and Shuyo Kihara.  Transcription:<br>December 9, 1943 / Poston, Arizona / 325-13A / Dear Miss Breed, / I am ashamed of myself for not writing to you sooner. So many events have occurred since I last wrote to you--I don't know where to begin. / Before I go into all the happenings here in Poston, how has everything been with you? I sincerely hope you have been enjoying the best of health and happiness. We have all been well and are still working at our various. / To begin with, both Shizuye and I are married now. Both of our husbands are from Central California. Shizuye's hails from Reedley and mine is from Ivanhoe, California. We are living in adjacent blocks so that makes visiting a very simple matter. The family lives only three blocks away so that helps a lot. / I am very fortunate to find myself living in the same block where the Camp III Public Library is situated. The library always was a popular spot back home and here is no exception. Students pack the tables at night--catching up on their reference work for school. / Please take care of yourself and best regards from us all. / Sincerely, / Yoshiko KiharaGreetings / Just saying ""MERRY CHRISTMAS!"" / But that phrase is one that brings / A million MORE good wishes / For the BEST of LIFE'S GOOD THINGS! / Sincerely, / Mr. and Mrs. Shuyo Kihara","Letter to Clara Breed from Yoshiko Kihara, Poston, Arizona, December 9, 1943","Kihara, Yoshiko Kubo",Gift of Elizabeth Y. Yamada,paper; ink,http://media.janm.org/collections/janm_93.75.31FQ_1r_a.jpg; http://media.janm.org/collections/janm_93.75.31FQ_2r_a.jpg; http://media.janm.org/collections/janm_93.75.31FQ_3r_a.jpg; http://media.janm.org/collections/janm_93.75.31FQ_3v_a.jpg; http://media.janm.org/collections/93.75.31FQ_er_a.jpg,"H: 8 in, W: 5 in (sheet); H: 5.5 in, W: 4.25 in (Christmas card folded); H: 4.5 in, W: 5.625 in (envelope)",2cd42dc0ce7e
"1 postcard from Ted Hirasaki to Clara Breed.  This is the original, and 93.75.31GK is a photocopy of this.  Transcription:<br>March 2, 1943/Dear Miss Breed,/Thank you very much for your encouraging letter. The clippings in it were very interesting I have passed them around. Many of us are glad to know that there are still many on the coast who are our friends. /There has been a change in the schedule for induction so we are still awaiting Army orders to leave. Will let you know of further developments. Sincerely/Ted.","Postcard to Miss Clara Breed from Tetsuzo (Ted) Hirasaki, Poston, Arizona, March 2, 1943","Hirasaki, Tetsuzo",Gift of Elizabeth Y. Yamada,paper; ink,http://media.janm.org/collections/janm_93.75.31GX_r_a.jpg; http://media.janm.org/collections/janm_93.75.31GX_v_a.jpg,"H: 5 1/2 in, W: 3 1/4 in",adada4f02db0
"1 letter and envelope from Louise Ogawa to Clara Breed.  Transcription:<br>Dear Miss Breed, /Thank you most sincerely for sending the things I asked to be purchased as well as the candies, clips, and the cute little shoes. I am always in a pridicament (is that the correct spelling?) when it comes to thanking you. I just can't seem to express my deepest gratitude in words. Thank you from the bottom of my heart./Miss Breed, I know the remaining money will not go even half way in paying for the candies, clips, etc. but please keep it. Now we are even. You owe me nothing and I owe you nothing. No debts--in money I mean. I certainly owe a debt of gratitude to you that is higher than the highest mountain in the word. I shall never forget it and maybe someday I will be able to repay you./I gave Florence the little doll and she was overjoyed. Everytime I see her she says--I tried it last night and I could see the doll in the dark"" She seems to be so thrilled. I am sure she is cherishing it with her life./Yes, that nickname ""Roastem, Toastem, Postem"" certainly is true! I am being roasted and toasted by the ever-shining Poston sun. You may not believe this but in the mornings 6:30 A.M. no one wears a sweater or coat for it is warm.--In the evenings, 9:00 P.M., people are walking about without wraps./Tuesday, May 11th, the first group of volunteers left for Salt Lake City to be inducted into the U.S. Army. I beg your pardon it was Monday--May 10th./19 boys from Camp III; 5 boys from Camp II; 12 boys from Camp I./A procession of trucks with one volunteer on each truck left Poston III and headed for Poston I. Camp II joined in the procession--making 24 trucks full of people going one after another. It certainly was a sight to see./In Camp I a talent show was held in honor of the boys. Also at this time administration officials spoke. Then at 8:45 P.M. all the volunteers hopped on the awaiting bus. Leaving a puff of smoke behind them they were off to fight for our country, U.S.A. It was a sad but yet a happy parting. I felt so sorry for the mothers./Well, graduation is slowly drawing near. We are going to wear cotton, sheer, dresses of pastel colors./I shall be glad to send you a picture just as soon as it arrives./Well, that's about all the news for today./Miss Breed, I certainly wish you would come to Poston but I suggest you come a little later when it is not so hot./Hope to hear from you again soon and please give my best to Miss McNary./Most respectfully,/Louise Ogawa<br>","Letter to Clara Breed from Louise Ogawa, Poston, Arizona, May 14, 1943","Ogawa, Louise",Gift of Elizabeth Y. Yamada,paper; ink,http://media.janm.org/collections/janm_93.75.31IF_1r_a.jpg; http://media.janm.org/collections/janm_93.75.31IF_1v_a.jpg; http://media.janm.org/collections/janm_93.75.31IF_2r_a.jpg; http://media.janm.org/collections/janm_93.75.31IF_er_a.jpg,"H: 10 in, W: 8 in (sheet); H: 3.5 in, W: 6.375 in (envelope)",3063668ed096
"1 drawing on paper : ink ; image 9.75 x 14.5 in.  A woman in a cross-patterned shirt, Mine Okubo, bids farewell to friends who have gathered for her departure from camp. She sheds a tear as she shakes hands with an elderly woman in the left foreground who also cries. A man in a hat looks on. Two women and one man are similarly gathered next to them in the right foreground. A line of people head toward the exit gate to be checked by the WRA and army before boarding buses or trucks.",,"Okubo, Mine",Gift of Mine Okubo Estate,ink; paper,http://media.janm.org/collections/janm_2007.62.204_a.jpg,"H: 9.75 in, W: 14.5 in",f9b022b86ca2
"1 drawing on paper : ink ; 9.5 x 6 in.  Ink sketch of artist's bed among a row of beds at 8:30 PM on November 11, 1943.","My bed, 11-28-43, 8:30PM","Hoshida, George","Gift of June Hoshida Honma, Sandra Hoshida and Carole Hoshida Kanada",ink; paper,http://media.janm.org/collections/janm_97.106.1AG_a.jpg,"H: 9.5 in, W: 6 in",54b6052c4555
"1 drawing on paper mounted on cardboard ; 3.5 x 6 in., on sheet 5.5 x 7.5 in., cardboard support 6 x 8 in.  Pencil drawing on textured paper of  teacher calling children in from recess on playground at Heart Mountain concentration camp.  A woman rings a bell from steps of barracks on right as five out of nine children start back to class ; one child at far left is running.  One child is at top of slide, another stands with arms akimbo and two other children climb on playground equipment.  Seesaws in midground ; two other barracks in background.  Black line border.  Same image as ""Recess"" by Ishigo (94.195.29P).",Grammar School,"Ishigo, Estelle",Japanese American National Museum,pencil; paper; cardboard,http://media.janm.org/collections/janm_94.195.14_a.jpg,"H: 6 in, W: 8 in",5d49059edc12
"1 letter and envelope from Louise Ogawa to Clara Breed.  Transcription:<br>December 10, 1943/Dear Miss Breed,/I am sending you a small gift hoping it will add to your joys at Xmas. Though it is not beautifully wrapped and there is no seal saying ""Do not open 'til Xmas"" I hope you won't open it until then./With it is wrapped my best wishes for a Merry merry Xmas and a Happy Bright New Year./I hope you'll enjoy it!/Most sincerely,/Louise Ogawa","Letter to Clara Breed from Louise Ogawa, Poston, Arizona, December 10, 1943","Ogawa, Louise",Gift of Elizabeth Y. Yamada,paper; ink,http://media.janm.org/collections/janm_93.75.31EQ_1r_a.jpg; http://media.janm.org/collections/janm_93.75.31EQ_er_a.jpg,"H:10 in, W: 8 in (sheet) H: 3.6875 in, W: 6.5 in (envelope)",d0cf8cb93003
"3 drawings on paper (1 sheet) : ink ; 9.5 x 6 in.  Ink rough portrait sketches of two men in suits and hats identified by inscription, Shoichi Kusuma and Sukenoshin Nakano, and two scenes of the ""colored waiting room"" at a train station in Amarillo, Texas on the way to Jerome camp in Denson, Arkansas.<br>Top left portrait of Shoichi Kusuma, a round-faced man wearing a hat and a jacket over a shirt open at the neck.  Kusuma has droopy eyes.  Visible from chest up.<br>Top right portrait of Sukenoshin Nakano, a mustached man in hat, suit and tie.  Visible from chest up.<br>Middle drawing of waiting room with eight people depicts five people seated on a bench with backs to viewer, one man in profile at left and two men standing in background with backs to viewer, one is in overalls.<br>Bottom drawing of waiting room with six people depicts three men in hats seated on a bench in profile on right, another man with back to viewer turns and leans his arm over back of bench from the other side.  A military officer and another person in a hat on left visible from shoulders up.  Man in foreground has a mustache and glasses.<br>Drawing 97.106.2DU on recto of same sheet.",Kusuma Shoichi,"Hoshida, George","Gift of June Hoshida Honma, Sandra Hoshida and Carole Hoshida Kanada",ink; paper; tape,http://media.janm.org/collections/janm_97.106.2DV_a.jpg,"H: 9.5 in, W: 6 in",6dcecd333989
"Stretched and unframed.  Winter landscape with barren area in right foreground with walkways over a ditch to a path in left foreground, which recedes into distance past a row of barracks with lighted windows. A crimson sun rises behind structures in the background.",Sunrise-Jerome,"Sugimoto, Henry","Gift of Madeleine Sugimoto and Naomi Tagawa, Japanese American National Museum",oil; canvas,http://media.janm.org/collections/janm_92.97.14_a.jpg,"H: 13.25 in, W: 15.5 in, D: .25 in",8460cf17c8dc
"1 Christmas card and envelope from Fusa Tsumagari to Helen McNary.  Transcription:<br>[on front of card]/Greeting--/[inside card]/To Miss McNary/Just saying ""MERRY CHRISTMAS!""/But that phrase is one that brings/A million MORE good wishes/For the BEST of LIFE'S GOOD THINGS!/Sincerely/Fusa Tsumagari","Card to Helen McNary from Fusa Tsumagari, Poston, Arizona, December 21, 1943","Tsumagari, Fusa",Gift of Elizabeth Y. Yamada,paper; ink,http://media.janm.org/collections/janm_93.75.31GI_r_a.jpg; http://media.janm.org/collections/janm_93.75.31GI_v_a.jpg; http://media.janm.org/collections/janm_93.75.31GI_er_a.jpg,"H: 4.5 in, W: 5.75 in (envelope)",f81d87248767
"1 letter and envelope from Katherine Tasaki to Clara Breed.  Transcription:<br>July 22, 1943/Poston, Ariz./Dear Miss Breed,/I am sorry I did not write sooner, but since my mother is working in the canteen, I have to keep care of the house, and besides that, I go to summer school in the morning./I suppose the weather over in S. D. is rather hot, but I don't suppose you could very well call this weather over here cold./Nothing very much has happened here. My mother went to see about a berry-picking job outside, and the at office said she didn't look like a farmer's wife./ I went one day to the canteen to see my mother when a boy asked me if my mother was my sister. Everybody laughed./My mother came home one night and told me that when she asked one of the clerks what time it was, she said, ""Oh, my time is ten cents fast.""/I was looking over my letters when I noticed you wrote me the most, with Miss Fay coming in close with one less than you./Now, Miss Breed, I hope I'm not asking too much, but I would like to have a few paper-dolls. Miss McNary sent me one, and I had one which a baby broke. If you please, I would much rather prefer the ones in book form, (which I think are available at Woolworth's) but if they can't be had, the ones that come in boxes are all right. I will send fifty cents which will cover the mailing cost as well as for the paper dolls./ I hope you don't think I'm asking too much of you./<br>Always with Love,/Katherine Tasaki/P.S./I have sent a sample dress to show you the kind of flap I want. I have marked with an x so you will know what I mean. Also say ""hello"" to everyone for me./(over)/Tell me what has happened to Annies son. If she is still going to the library would you be so kind as to find her address for me?","Letter to Clara Breed from Katherine Tasaki, Poston, Arizona, July 22, 1943","Tasaki, Katherine",Gift of Elizabeth Y. Yamada,paper; ink,http://media.janm.org/collections/janm_93.75.31FR_1r_a.jpg; http://media.janm.org/collections/janm_93.75.31FR_2r_a.jpg; http://media.janm.org/collections/janm_93.75.31FR_2v_a.jpg; http://media.janm.org/collections/janm_93.75.31FR_er_a.jpg,"H: 10.5 in, W: 8 in (sheet) H: 3.625 in, W: 6.5 in (envelope)",a69271b0badc
"1 letter and envelope from Katherine Tasaki to Clara Breed.  Transcription:<br>Dec. 23, 1943/Dear Miss Breed,/ Thank you ever so much for everything. You gave me the nicest Christmas preasent I ever received since I was in Poston. I not only enjoyed the books, but I always like anything that has your name./Why, not only are you in the books, but in the magazine as well! Probly the magazine is my most treasured possesion now./ Everything you said is true. And it certianly made me feel more like ""back home."" Just think, you have made Poston famous, and also my name in your article. Mama is always proud about the little things which involves our friends or us, so she will probly be doubly happy./Thank you again and again for every thing, and mama joins me also./There are old cactuses for sale at the canteen, with lovely very small paper flowers in them. I haven't been able to see them, but mama says they are beautiful. We would like very much to send them to you, but there is a chance that they might crush. If we can find a way to send them, we will. But I can't promise./I can't think of anything more to say Merry Christmas--and that I'm sorry I can't send anything--so I will close./Much love,/Katherine./P.S. Tell Miss McNary Merry Christmas.<br>","Letter to Clara Breed from Katherine Tasaki, Poston, Arizona, December 23, 1943","Tasaki, Katherine",Gift of Elizabeth Y. Yamada,paper; ink,http://media.janm.org/collections/janm_93.75.31EA_1r_a.jpg; http://media.janm.org/collections/janm_93.75.31EA_2r_a.jpg; http://media.janm.org/collections/janm_93.75.31EA_er_a.jpg,"H: 10.375 in, W: 7.875 in (sheet); H: 3.75 in, W: 5.875 in (envelope)",f8115046ae24
"1 Christmas card and envelope from Margaret Arakawa to Clara Breed.  Transcription:<br>""There is magic in the very name of Christmas""/Charles Dickens/Dearest Miss Breed:/To greet you and wish /you Happiness at Christmas/and through the New Year/Sincerely,/Margaret Arakawa","Card to Clara Breed from Margaret Arakawa, Poston, Arizona, December 13, 1943","Arakawa, Margaret",Gift of Elizabeth Y. Yamada,paper; ink,http://media.janm.org/collections/janm_93.75.31DJ_r_a.jpg; http://media.janm.org/collections/janm_93.75.31DJ_v_a.jpg; http://media.janm.org/collections/janm_93.75.31DJ_er_a.jpg; http://media.janm.org/collections/janm_93.75.31DJ_ev_a.jpg,"H: 4.375 in, W: 6 in (card, closed) H: 4.5 in, W: 6.125 in (envelope)",a2c5efa4dd6f
"Mounted on wood and unframed.  In the lower left corner, two men carrying fishing poles and blue buckets walk along a path in front of a barracks. One man is dressed in tan pants and white short sleeve shirt, the other in dark brown pants and blue shirt.  Both wear yellow hats.  A woman hangs laundry on a clothesline between the barracks.  Tall trees rise up behind and around the barracks.  Parts of other buildings are visible in the trees on the left; tall green brush in the foreground.","Camp Jerome, Ark","Sugimoto, Henry","Gift of Madeleine Sugimoto and Naomi Tagawa, Japanese American National Museum",oil; Canvas; Wood,http://media.janm.org/collections/janm_92.97.34_a.jpg,"H: 13.5 in, W: 16.25 in, D: .25 in",df0c5281fcfc
"1 letter and envelope from Margaret Ishino to Clara Breed.  Transcription:<br>December 26, 1943 / Dear Miss Breed, / I hope you had a Merry Christmas! This year again you have played Santa to us, and given us many gifts making it a truly Merry Christmas. / Thank you so much for the lovely box of stationery. It was sweet of you to put Hershey bars in the box. I wish you could have seen the sunshine come into Thomas' face when he was given his book. It is a unique Mother Goose book and will be useful in later years. / Our block had a Christmas party for the younger set. Presents were donated from the outside to High School children down. In spite of everything there are people who are good and kind. / That was a very interesting article you wrote in the Horn Book. Truly it is folks like you who bring peace closer and a better understanding of mankind. / Thank you again for bringing the holiday spirits closer to our hearts. / I sincerely wish you a very Happy New Year. May it bring you the best of health, good cheer and lots of happiness. / God bless you richly and abundantly in every way! / Gratefully yours, / Margaret Ishino","Letter to Clara Breed from Margaret Ishino, Poston, Arizona, December 26, 1943","Ishino, Margaret",Gift of Elizabeth Y. Yamada,paper; ink,http://media.janm.org/collections/janm_93.75.31AF_1r_a.jpg; http://media.janm.org/collections/janm_93.75.31AF_2r_a.jpg; http://media.janm.org/collections/janm_93.75.31AF_3r_a.jpg; http://media.janm.org/collections/janm_93.75.31AF_er_a.jpg,"H: 8 in, W: 6 in (sheet) H: 4.125 in, W: 6.25 in (envelope)",febe06435f9e
"Stretched and framed.  On left, Jesus Christ bears cross on left shoulder as he passes behind a Japanese American man who bends under the weight of a block of dark images of camp, a watchtower and a mess hall, on right.  Christ is in white-blue with a halo.  The other man is in white short sleeves.  In the foreground, a stalk of wheat apears in lower left corner, while a translucent open book floats between Christ and the man in the center.  In the background, three white crosses stand on a hill, visible through Christ's cross.",Thinking About Christ,"Sugimoto, Henry","Gift of Madeleine Sugimoto and Naomi Tagawa, Japanese American National Museum",oil; canvas,http://media.janm.org/collections/janm_92.97.83_a.jpg,"H: 19.25 in, W: 23.75 in",165060e44e0d
"1 postcard from Tetsuzo (Ted) Hirasaki to Clara Breed.  Transcription:<br>October 29, 1943/Dear Miss Breed,/How are you? and mother?/I am going out tonight with a harvest crew on emergency work at Tule Lake (Calif). Believe it or not. Expect to be back in 4-6 weeks depending on freezing weather./ Yaeko is now in Preston, Idaho (she was in Ogden canning tomatoes since last month) and will be back in middle of December when sugar beet season is over. I don't know what work she is doing./ The grapevine reports that dad will be home within the next two weeks. Looks like no one greet him home./Sincerely/Ted.","Postcard to Clara Breed from Tetsuzo (Ted) Hirasaki, Poston, Arizona, October 29, 1943","Hirasaki, Tetsuzo",Gift of Elizabeth Y. Yamada,paper; ink,http://media.janm.org/collections/janm_93.75.31JJ_r_a.jpg; http://media.janm.org/collections/janm_93.75.31JJ_v_a.jpg,"H: 3.25 in, W: 5.5 in",ee63cc98aa33
"1 letter and envelope from William (Bill) Watanabe to Clara Breed.  Transcription:<br>Dear Miss Breed,/I am thanking you very much for the nice books you have sent us. We all enjoyed them very much. How is the weather in San Diego? /We have very funny weather here, in the mornings it is very cold and the afternoons are pretty warm. The other morning we had about 1/4 ice over are fish pond. We have stoves but they don't help very much. Sometimes I think we would have good weather if it wasn't for the terrible dust storms. The dust forms on everything inside are barrack and outdoor it is so windy and dusty you can't keep your eyes open./All the students of Poston III had a ground breaking ceramony, yesterday, for the new school to be built. Not much more to write but if you have The (Tribune)-Sun paper of January 20, 1942 and are through reading it please send it up here./ Sorry I didn't write more but things are pretty dull up here./Sincerely yours,/William Bill Watanabe/329-6-A Parker Relocation Center/Poston Arizona","Letter to Clara Breed from William (Bill) Watanabe, Poston, Arizona, January 22, 1943","Watanabe, William",Gift of Elizabeth Y. Yamada,paper; ink,http://media.janm.org/collections/janm_93.75.31FO_r_a.jpg; http://media.janm.org/collections/janm_93.75.31FO_er_a.jpg,,90921cdb819c
