Subtype_of_Art,Type_of_Art,Title,Date_made,Credit,ArtistName,Inscription,Pic_URL,Dimensions,BirthDate,DeathDate,EA_id
gouache,painting,Unknown,1986,,Judith Linhares,,http://collections.museumca.org/?q=system/files/imagecache/collection_image2/z0015480.jpg,,,,ba0eb519df79
oil on canvas,painting,Still Life with Chair,1986,Gift of the Robert Ornduff Living Trust,Charles Griffin Farr,,http://collections.museumca.org/?q=system/files/imagecache/collection_image2/n002684b.jpg,22 in HIGH x 28 in WIDE(55.88 cm HIGH x 71.12 cm WIDE),,,b10930e6ed3b
acrylic,painting,Blind Faith,1986,Gift of Peter Norton,Margaret Nielson,,http://collections.museumca.org/?q=system/files/imagecache/collection_image2/z0009561.jpg,8 in HIGH x 10 in WIDE(20.32 cm HIGH x 25.40 cm WIDE),,,5592e072e2a8
oil on canvas,painting,David Lance Goines Inking Up,1986,Gift of Michael and Therese Heyman,Stan Washburn,,http://collections.museumca.org/?q=system/files/imagecache/collection_image2/n002871b.jpg,16 in HIGH x 14 in WIDE(40.64 cm HIGH x 35.56 cm WIDE),,,91597eb1307e
gouache,painting,The Greek Experience,1986,Gift of Cheryl Haines,M. Louise Stanley,,http://collections.museumca.org/?q=system/files/imagecache/100_Square/2010.13.1_DGAL_923_02.jpg,12.125 in HIGH x 16 in WIDE(30.80 cm HIGH x 40.64 cm WIDE),,,c1fbc3ae150b
acrylic,painting,#109,1987,Gift of Mr. and Mrs. Eileen and Peter Michael,Elmer Bischoff,,http://collections.museumca.org/?q=system/files/imagecache/collection_image2/z0011778.jpg,85 in HIGH x 80 in WIDE(215.90 cm HIGH x 203.20 cm WIDE),1916.0,1991.0,22eac95d504e
oil on canvas,painting,A Truer Story (St. Sebastian),1987,Gift of Cynthia Drennon,Suzanne Caporael,,http://collections.museumca.org/?q=system/files/imagecache/collection_image2/z0005070.jpg,59.75 in WIDE(151.76 cm WIDE),,,55218880abe3
oil on canvas,painting,Untitled (Map of Los Angeles),1987,"Collection of the Oakland Museum of California, gift of the Collector's Gallery",Manuel Ocampo,,http://collections.museumca.org/?q=system/files/imagecache/collection_image2/z0002558.jpg,74.5 in HIGH x 67.5 in WIDE(189.23 cm HIGH x 171.45 cm WIDE),,,14059a74b94e
oil on canvas,painting,A Partial List of the Saved,1988,,Deborah Oropallo," A Legacy of Art: The Ted and Ruth Nash Collection, OMCA, August 24 - December 30, 2007",http://collections.museumca.org/?q=system/files/imagecache/collection_image2/z0021554.jpg,65.5 in HIGH x 65.5 in WIDE x 2 in DEEP(166.37 cm HIGH x 166.37 cm WIDE x 5.08 cm DEEP),,,6ce7a200c714
diptych,painting,Yellow Night #1,1989,Gift of the artist,Long Nguyen,,http://collections.museumca.org/?q=system/files/imagecache/collection_image2/A96.14_DGAH_169_02.jpg,66 in|78 in HIGH x 78 in|27 in WIDE(167.64 cm|198.12 cm HIGH x 198.12 cm|68.58 cm WIDE),,,8191960ff1d0
mixed media,painting,7th of May,1989,,David Best,,http://collections.museumca.org/?q=system/files/imagecache/100_Square/z0025909.jpg,52 in HIGH x 76 in WIDE x 9 in DEEP(132.08 cm HIGH x 193.04 cm WIDE x 22.86 cm DEEP),,,2b47dc0c6c84
acrylic,painting,Untitled,1989,Gift of Richard and Liz Meese,William Theophilus Brown,,http://collections.museumca.org/?q=system/files/imagecache/collection_image2/z0012578.jpg,31 in HIGH x 36.5 in WIDE(78.74 cm HIGH x 92.71 cm WIDE),,,42826e32b09e
oil on canvas,painting,Blue Distances #2,1989,"Gift of Donald Brody, Mary Rudser and Richard Satz",Anthony Holdsworth, Exhibited in California Cityscapes at the San Diego Museum of Art in 1991,http://collections.museumca.org/?q=system/files/imagecache/collection_image2/z0008235.jpg,,,,2c4c845041ee
acrylic,painting,Feel So Good,1990,Gift of Peter Norton,Carl Bronson,,http://collections.museumca.org/?q=system/files/imagecache/collection_image2/z0009572.jpg,15.875 in HIGH x 10 in WIDE x 3.375 in DEEP(40.32 cm HIGH x 25.40 cm WIDE x 8.57 cm DEEP),,,e2f8b55adc9b
oil on canvas,painting,Suite in Five Pieces #11,1990,Gift of Louise Newquist,James Hayward,,http://collections.museumca.org/?q=system/files/imagecache/collection_image2/z0028278.jpg,55 in HIGH x 46 in|290 in WIDE(139.70 cm HIGH x 116.84 cm|736.60 cm WIDE),,,5e8119cc547e
oil on canvas,painting,Suite in Five Pieces #11,1990,Gift of Louise Newquist,James Hayward,,http://collections.museumca.org/?q=system/files/imagecache/collection_image2/z0028279.jpg,55 in HIGH x 46 in|290 in WIDE(139.70 cm HIGH x 116.84 cm|736.60 cm WIDE),,,4b4b905ffcbc
oil on canvas,painting,Suite in Five Pieces #11,1990,Gift of Louise Newquist,James Hayward,,http://collections.museumca.org/?q=system/files/imagecache/collection_image2/z0028280.jpg,55 in HIGH x 46 in|290 in WIDE(139.70 cm HIGH x 116.84 cm|736.60 cm WIDE),,,d327fb45b755
oil on canvas,painting,Suite in Five Pieces #11,1990,Gift of Louise Newquist,James Hayward,,http://collections.museumca.org/?q=system/files/imagecache/collection_image2/z0028281.jpg,55 in HIGH x 46 in|290 in WIDE(139.70 cm HIGH x 116.84 cm|736.60 cm WIDE),,,d41820bb3e10
oil on canvas,painting,Suite in Five Pieces #11,1990,Gift of Louise Newquist,James Hayward,,http://collections.museumca.org/?q=system/files/imagecache/collection_image2/z0028282.jpg,55 in HIGH x 46 in|290 in WIDE(139.70 cm HIGH x 116.84 cm|736.60 cm WIDE),,,3c064687ec7a
oil on canvas,painting,Lichenous,1990,Gift of Mr. and Mrs. Charles Daggs,Tom Lieber,,http://collections.museumca.org/?q=system/files/imagecache/100_Square/z0015063.jpg,78 in HIGH x 104 in WIDE(198.12 cm HIGH x 264.16 cm WIDE),,,afdb2027b596
oil on canvas,painting,Still Life With Saw,1991,Gift of Pele de Lappe,Byron Randall,,http://collections.museumca.org/?q=system/files/imagecache/collection_image2/z0008193.jpg,24 in HIGH x 36 in WIDE(60.96 cm HIGH x 91.44 cm WIDE),,,e56291edd623
acrylic,painting,Untitled (Pthalocynaine Green),1991,Gift of Eileen and Peter Norton,Jeff Beall,,http://collections.museumca.org/?q=system/files/imagecache/collection_image2/z0009584.jpg,45 in HIGH x 45 in WIDE x .75 in DEEP(114.30 cm HIGH x 114.30 cm WIDE x 1.90 cm DEEP),,,1da1c3fae760
acrylic,painting,Swamp Dogs,1991,Gift of Cheryl Haines,Carlos Loarca,,http://collections.museumca.org/?q=system/files/imagecache/100_Square/z0032519.jpg,41.5 in HIGH x 29.5 in WIDE x 1.5 in DEEP(105.41 cm HIGH x 74.93 cm WIDE x 3.81 cm DEEP),,,5fa49a8e9a7e
acrylic,painting,Fire Storm #1,1992,Gift of George and Doris Krevsky.,June Felter," Scene in Oakland, Oakland Museum of California Art Department, March 9- August 25, 2002., Art Special Gallery",http://collections.museumca.org/?q=system/files/imagecache/collection_image2/z0000873.jpg,54 in HIGH x 54 in WIDE(137.16 cm HIGH x 137.16 cm WIDE),,,c6e0e2df4623
acrylic,painting,Food Chain,1992,Gift of Peter Norton,Stefan Kurten,,http://collections.museumca.org/?q=system/files/imagecache/collection_image2/z0009583.jpg,48 in HIGH x 36 in WIDE(121.92 cm HIGH x 91.44 cm WIDE),,,09267d41bb08
mixed media,painting,untitled,1992,Gift of Mavis Jukes and Robert Hudson,William T. Wiley,,http://collections.museumca.org/?q=system/files/imagecache/collection_image2/z0028000.jpg,13.75 in HIGH x 13.75 in WIDE x 1.125 in DEEP(34.92 cm HIGH x 34.92 cm WIDE x 2.86 cm DEEP),,,0b2e4639b2be
graphite,painting,untitled (Dessertornado),1992,Gift of Mavis Jukes and Robert Hudson,William T. Wiley,,http://collections.museumca.org/?q=system/files/imagecache/collection_image2/z0028015.jpg,22 in HIGH x 46 in WIDE(55.88 cm HIGH x 116.84 cm WIDE),,,74abcd4ff7b4
canvas,painting,Everyday Breath,1992,Gift of Lenore Pereira and Rich Niles,Squeak Carnwath," OMCA, Gallery of California Art, Open Space 2/3, 2000 and Rising, May 1 - Aug. 1, 2010.",http://collections.museumca.org/?q=system/files/imagecache/100_Square/2009.91.1_DGAL_772_02.jpg,82 in HIGH x 82 in WIDE(208.28 cm HIGH x 208.28 cm WIDE),,,86974dcbf851
oil on paper,painting,Arbuckle Orchard,1993,Gift of Craig Smith in memory of his father,Craig Smith, 1. 1993 Roseville Arts Center; 2. 1993 Judith Weintraub Gallery,http://collections.museumca.org/?q=system/files/imagecache/collection_image2/z0003094.jpg,29 in|18 in HIGH x 32 in|22 in WIDE(73.66 cm|45.72 cm HIGH x 81.28 cm|55.88 cm WIDE),,,493bec6c0456
oil on canvas,painting,Untitled (TE93 5),1993,Gift of Peter Norton,Tim Ebner,,http://collections.museumca.org/?q=system/files/imagecache/collection_image2/z0009578.jpg,30.25 in HIGH x 24.375 in WIDE(76.83 cm HIGH x 61.91 cm WIDE),,,394a557bf951
oil on wood panel,painting,#15,1993,Reichel Fund Purchase,Jonathan Parker, 25 Years of Collecting California 9/25/94 - 1/8/95 (TOM),http://collections.museumca.org/?q=system/files/imagecache/collection_image2/0601945b.jpg,12 in HIGH x 7.75 in WIDE x 1.5 in DEEP(30.48 cm HIGH x 19.68 cm WIDE x 3.81 cm DEEP),,,49465bf19836
mixed media,painting,The Gift of Presence,1993-94,Gift of the Collectors Gallery,Raymond Saunders," TOM, Raymond Saunders: New Work, 1994.OMCA, Great Hall, Artists of Invention: A Century of CCA, Oct. 13, 2007 - March 16, 2008.",http://collections.museumca.org/?q=system/files/imagecache/100_Square/z0024738.jpg,83 in HIGH x 178.5 in WIDE x 3 in DEEP(210.82 cm HIGH x 453.39 cm WIDE x 7.62 cm DEEP),,,6f0f5ff27e66
oil on canvas,painting,What was It?,1994,,Deborah Oropallo,,http://collections.museumca.org/?q=system/files/imagecache/100_Square/z0025889.jpg,58.25 in HIGH x 52 in WIDE x 1.5 in DEEP(147.95 cm HIGH x 132.08 cm WIDE x 3.81 cm DEEP),,,52f6c7e3531f
acrylic,painting,Free State,1994,Gift of Louise Newquist,David Simpson,,http://collections.museumca.org/?q=system/files/imagecache/collection_image2/z0028002.jpg,96 in HIGH x 80 in WIDE(243.84 cm HIGH x 203.20 cm WIDE),,,4e823dee3e50
canvas,painting,What White Is,1994,Gift of the Oakland Museum of California Art Guild and friends and family in memory of Anne Gray Walrod,Squeak Carnwath," Oakland Museum of California, Squeak Carnwath: Painting Is No Ordinary Object, April 25 to August 23, 2009, Great Hall High Bay (EX42).",http://collections.museumca.org/?q=system/files/imagecache/collection_image2/z0031764.jpg,80 in HIGH x 160 in WIDE(203.20 cm HIGH x 406.40 cm WIDE),,,d822539e0b55
acrylic,painting,Cardinal Virtue,1995,Gift of the Artist,David Simpson,,http://collections.museumca.org/?q=system/files/imagecache/collection_image2/z0002720.jpg,96 in HIGH x 80 in WIDE(243.84 cm HIGH x 203.20 cm WIDE),,,e36b343d6689
acrylic,painting,Untitled,1995,Gift of Suzanne Vinson Silk and Thomas Silk,Gordon Onslow Ford,,http://collections.museumca.org/?q=system/files/imagecache/collection_image2/z0012441.jpg,37 in HIGH x 17.75 in WIDE(93.98 cm HIGH x 45.08 cm WIDE),,,a29eefaf2e93
ink,painting,Untitled,1995,Gift of Eileen and Peter Norton,Julian Goldwhite,,http://collections.museumca.org/?q=system/files/imagecache/collection_image2/z0009562.jpg,18 in HIGH x 18 in WIDE x 1.125 in DEEP(45.72 cm HIGH x 45.72 cm WIDE x 2.86 cm DEEP),,,ddb78fb83d38
,painting,The First Time Remembrance,1996,,Lita Alburquerque,,http://collections.museumca.org/?q=system/files/imagecache/collection_image2/z0025850.jpg,35 in HIGH x 36 in WIDE(88.90 cm HIGH x 91.44 cm WIDE),,,54c2b0b33282
birch,painting,Maria Callas at Covent Garden #2,1996|1966-,Gift of Donna Turner Petersen and Robert E.A. Petersen,Kurt Kauper,,http://collections.museumca.org/?q=system/files/imagecache/collection_image2/z0011404.jpg,16 in HIGH x 16 in WIDE x 1.5 in DEEP(40.64 cm HIGH x 40.64 cm WIDE x 3.81 cm DEEP),,,d945ad3344d5
oil on canvas,painting,Time Bomb,1997,Gift of the Art Guild of the Oakland Museum of California,Deborah Oropallo,,http://collections.museumca.org/?q=system/files/imagecache/collection_image2/A97.24_DGAH_057_02.jpg,65 in HIGH x 53 in WIDE(165.10 cm HIGH x 134.62 cm WIDE),,,2dcdc6a98e00
oil on canvas,painting,Summer Heat,1997,,Margaret Herscher,,http://collections.museumca.org/?q=system/files/imagecache/collection_image2/z0021594.jpg,36 in HIGH x 36 in WIDE x 2.5 in DEEP(91.44 cm HIGH x 91.44 cm WIDE x 6.35 cm DEEP),,,59e9fb3ad758
acrylic,painting,Terra Silver Terra #1,1997,Gift of Louise Newquist.,John Millei,,http://collections.museumca.org/?q=system/files/imagecache/collection_image2/imagefield_default_images/unavailable.png,,,,cda547f961ef
canvas,painting,Trying to Know Lost,1997,Gift of Katherine Ruttenberg,Squeak Carnwath," Squeak Carnwath: Painting Is No Ordinary Object, OMCA, Great Hall High Bay,  April 25 - August 23, 2009.",http://collections.museumca.org/?q=system/files/imagecache/100_Square/z0031748.jpg,80 in HIGH x 110 in WIDE(203.20 cm HIGH x 279.40 cm WIDE),,,f7255f6f657a
acrylic,painting,Themeplex No. 19,1998,Gift of Eileen and Peter Norton,Michael Gonzalez,,http://collections.museumca.org/?q=system/files/imagecache/collection_image2/z0009582.jpg,17 in HIGH x 14 in WIDE x 1.5 in DEEP(43.18 cm HIGH x 35.56 cm WIDE x 3.81 cm DEEP),,,957e46b93071
acrylic,painting,Primal Structures #3,1998,,Ed Moses,,http://collections.museumca.org/?q=system/files/imagecache/100_Square/z0025870.jpg,22 in HIGH x 18 in WIDE(55.88 cm HIGH x 45.72 cm WIDE),,,d40618cd99c4
oil on canvas,painting,Still Point,1998,Purchased with funds from the Collector's Gallery,Hung Liu," Rena Bransten Gallery, 1999",http://collections.museumca.org/?q=system/files/imagecache/collection_image2/A99.17_DGAH_066_02.jpg,84 in HIGH x 60 in WIDE(213.36 cm HIGH x 152.40 cm WIDE),,,e90544f2c581
acrylic,painting,E-Jac,1999,Purchased with funds from the Collector's Gallery,Ann Carter, Braunstein-Quay Gallery,http://collections.museumca.org/?q=system/files/imagecache/collection_image2/z0008233.jpg,9 in HIGH x 89 in WIDE(22.86 cm HIGH x 226.06 cm WIDE),,,468ae251f0a9
oil on canvas,painting,Marin County,19th century,,Carl Dahlgren,,http://collections.museumca.org/?q=system/files/imagecache/100_Square/z0027637.jpg,23.5 in HIGH x 17.5 in WIDE(59.69 cm HIGH x 44.45 cm WIDE),,,1eed825edd21
oil on canvas,painting,Mount St. Helena from Knight's Valley,19th century,The Oakland Museum Kahn Collection,Virgil Williams,,http://collections.museumca.org/?q=system/files/imagecache/collection_image2/A65.63_DGAH_050_02.jpg,26 in HIGH x 41.5 in WIDE(66.04 cm HIGH x 105.41 cm WIDE),,,511388ae3368
iris print,painting,Lightweight,2000,Gift of Ted and Ruth Nash.,Deborah Oropallo,,http://collections.museumca.org/?q=system/files/imagecache/collection_image2/z0006590.jpg,71 in HIGH x 37 in WIDE(180.34 cm HIGH x 93.98 cm WIDE),,,814cef5c4db1
oil on wood panel,painting,Threshold (from the series Seven Heavens),2000,Timken Fund Purchase,Darren Waterston,,http://collections.museumca.org/?q=system/files/imagecache/collection_image2/z0012288.jpg,60 in HIGH x 60 in WIDE(152.40 cm HIGH x 152.40 cm WIDE),,,ec763aac6c73
acrylic,painting,2000/II,2000,,Joseph Hughes,,http://collections.museumca.org/?q=system/files/imagecache/collection_image2/z0024012.jpg,18.5 in HIGH x 17 in WIDE(46.99 cm HIGH x 43.18 cm WIDE),,,a5407f824bde
oil on wood panel,painting,Untitled (Sisyphus),2000,Gift of Ron Jehu,Robert Schwartz," Hackett Freedman Gallery, date unknown (between 2000 - 2001)",http://collections.museumca.org/?q=system/files/imagecache/collection_image2/z0008178.jpg,9.75 in HIGH x 8.25 in WIDE(24.76 cm HIGH x 20.95 cm WIDE),,,a7d3d83aa60d
acrylic,painting,You Are as Close as You Will Be,2000,,William T. Wiley," A Legacy of Art: The Ted and Ruth Nash Collection, OMCA, August 24 - December 30, 2007",http://collections.museumca.org/?q=system/files/imagecache/collection_image2/z0028148.jpg,83 in HIGH x 83 in WIDE x 1.5 in DEEP(210.82 cm HIGH x 210.82 cm WIDE x 3.81 cm DEEP),,,0a8e9cd141d6
acrylic,painting,An Object Confronting Its Logical Other,2000,Gift of Emily and David Pottruck,Enrique Chagoya,,http://collections.museumca.org/?q=system/files/imagecache/100_Square/2010.12.1_DGAL_921_02.jpg,48 in HIGH x 48 in WIDE(121.92 cm HIGH x 121.92 cm WIDE),,,65c8351b15c3
oil on linen,,French 1,2002,,John Zurier,,http://collections.museumca.org/?q=system/files/imagecache/collection_image2/z0021585.jpg,24 in HIGH x 20 in WIDE x 1.25 in DEEP(60.96 cm HIGH x 50.80 cm WIDE x 3.17 cm DEEP),,,acc26bd4698f
acrylic,painting,untitled,2003,Gift of Mr. Erik d'Azevedo,Erik d'Azevedo,,http://collections.museumca.org/?q=system/files/imagecache/collection_image2/z0020038.jpg,64 in HIGH x 68 in WIDE(162.56 cm HIGH x 172.72 cm WIDE),,,e9ccd116c27c
oil on canvas,painting,Joy,2003,,Jack Stuppin,,http://collections.museumca.org/?q=system/files/imagecache/collection_image2/z0021762.jpg,44.375 in HIGH x 54 in WIDE(112.71 cm HIGH x 137.16 cm WIDE),,,c6ca1ed8fa22
acrylic,painting,Something & Something Else,2005,Gift of Mr. Erik d'Azevedo,Erik d'Azevedo,,http://collections.museumca.org/?q=system/files/imagecache/100_Square/z0023009.jpg,80 in HIGH x 72 in WIDE(203.20 cm HIGH x 182.88 cm WIDE),,,cfb0290c7544
enamel,painting,Untitled,2005,,Peter Stegall,,http://collections.museumca.org/?q=system/files/imagecache/collection_image2/z0020801.jpg,9 in HIGH x 12 in WIDE(22.86 cm HIGH x 30.48 cm WIDE),,,525f543e4f76
oil on canvas,painting,Wilhilmina,2006,,Catherine Courtenaye,,http://collections.museumca.org/?q=system/files/imagecache/100_Square/z0027632.jpg,60 in HIGH x 72 in WIDE(152.40 cm HIGH x 182.88 cm WIDE),,,2236065b0da2
oil on canvas,painting,Les Demoiselles D'Avignon (Patrimony Series),2006,,Don Suggs," OMCA, Great Hall High Bay, LA Paint, October 4 - March 8, 2009.OMCA, Gallery of California Art, Open Space 2/3, 2000 and Rising, May 1 - Aug. 1, 2010.",http://collections.museumca.org/?q=system/files/imagecache/100_Square/2008.62.1_DGAL_254_02.jpg,90 in HIGH x 90 in WIDE(228.60 cm HIGH x 228.60 cm WIDE),,,495b6bb67541
mixed media,painting,untitled (Rain),2007,Gift of Ronald Collins,Hyesook Park,,http://collections.museumca.org/?q=system/files/imagecache/collection_image2/2010.15.1_DGAL_929_02.jpg,96 in HIGH x 72 in WIDE(243.84 cm HIGH x 182.88 cm WIDE),,,f8128ce014b0
oil on canvas,painting,Boundless Ways,2008,,Brian Fahlstrom," OMCA, LA PAINT Oct 4, 2008 -  March 8, 2009, Great Hall High Bay",http://collections.museumca.org/?q=system/files/imagecache/100_Square/z0027950.jpg,94 in HIGH x 77 in WIDE(238.76 cm HIGH x 195.58 cm WIDE),,,9a4a3d3bfccb
collage,painting,Hombre Ara_a,2008,Art Deaccession Fund,Date Farmers," OMCA, Great Hall High Bay, LA Paint, October 4 - March 8, 2009.OMCA, Gallery of California Art, Open Space 2/3, 2000 and Rising, May 1 - Aug. 1, 2010.",http://collections.museumca.org/?q=system/files/imagecache/100_Square/z0028033.jpg,36.5 in HIGH x 28.875 in WIDE(92.71 cm HIGH x 73.34 cm WIDE),,,fbe6757cf17c
collage,painting,86,2008,Art Deaccession Fund,Date Farmers," OMCA, Great Hall High Bay, LA Paint, October 4 - March 8, 2009.OMCA, Gallery of California Art, Open Space 2/3, 2000 and Rising, May 1 - Aug. 1, 2010.",http://collections.museumca.org/?q=system/files/imagecache/100_Square/z0028042.jpg,20.25 in HIGH x 22 in WIDE(51.43 cm HIGH x 55.88 cm WIDE),,,a166ba3dcf75
collage,painting,La Traici?n,2008,Art Deaccession Fund,Date Farmers," OMCA, Great Hall High Bay, LA Paint, October 4 - March 8, 2009.OMCA, Gallery of California Art, Open Space 2/3, 2000 and Rising, May 1 - Aug. 1, 2010.",http://collections.museumca.org/?q=system/files/imagecache/100_Square/z0028034.jpg,13 in HIGH x 17 in WIDE(33.02 cm HIGH x 43.18 cm WIDE),,,2f68b08dc7cb
collage,painting,Playa Boy,2008,Art Deaccession Fund,Date Farmers," OMCA, Great Hall High Bay, LA Paint, October 4 - March 8, 2009.OMCA, Gallery of California Art, Open Space 2/3, 2000 and Rising, May 1 - Aug. 1, 2010.",http://collections.museumca.org/?q=system/files/imagecache/100_Square/z0028035.jpg,20 in HIGH x 16 in WIDE(50.80 cm HIGH x 40.64 cm WIDE),,,850f78404dab
collage,painting,Green Lid,2008,Art Deaccession Fund,Date Farmers," OMCA, Great Hall High Bay, LA Paint, October 4 - March 8, 2009.OMCA, Gallery of California Art, Open Space 2/3, 2000 and Rising, May 1 - Aug. 1, 2010.",http://collections.museumca.org/?q=system/files/imagecache/100_Square/z0028037.jpg,4.75 in HIGH x 4.75 in WIDE(12.06 cm HIGH x 12.06 cm WIDE),,,8dedfdc594c8
collage,painting,Blue Lid,2008,Art Deaccession Fund,Date Farmers," OMCA, Great Hall High Bay, LA Paint, October 4 - March 8, 2009.OMCA, Gallery of California Art, Open Space 2/3, 2000 and Rising, May 1 - Aug. 1, 2010.",http://collections.museumca.org/?q=system/files/imagecache/100_Square/z0028038.jpg,4.75 in HIGH x 4.75 in WIDE(12.06 cm HIGH x 12.06 cm WIDE),,,810e528c3db9
collage,painting,Shoplifter,2008,Art Deaccession Fund,Date Farmers," OMCA, Great Hall High Bay, LA Paint, October 4 - March 8, 2009.OMCA, Gallery of California Art, Open Space 2/3, 2000 and Rising, May 1 - Aug. 1, 2010.",http://collections.museumca.org/?q=system/files/imagecache/100_Square/z0028039.jpg,13.625 in HIGH x 9.875 in WIDE(34.61 cm HIGH x 25.08 cm WIDE),,,c2a07905ca62
collage,painting,Fake,2008,Art Deaccession Fund,Date Farmers," OMCA, Great Hall High Bay, LA Paint, October 4 - March 8, 2009.OMCA, Gallery of California Art, Open Space 2/3, 2000 and Rising, May 1 - Aug. 1, 2010.",http://collections.museumca.org/?q=system/files/imagecache/100_Square/z0028040.jpg,13 in HIGH x 16.5 in WIDE(33.02 cm HIGH x 41.91 cm WIDE),,,c04e1140fbc1
collage,painting,Puto 52,2008,Art Deaccession Fund,Date Farmers," OMCA, Great Hall High Bay, LA Paint, October 4 - March 8, 2009.OMCA, Gallery of California Art, Open Space 2/3, 2000 and Rising, May 1 - Aug. 1, 2010.",http://collections.museumca.org/?q=system/files/imagecache/100_Square/z0028041.jpg,13.75 in HIGH x 15 in WIDE(34.92 cm HIGH x 38.10 cm WIDE),,,40be0bc30989
acrylic,painting,Cyclops Armory,2010,Art Acquisition Fund,Tim Biskup,,http://collections.museumca.org/?q=system/files/imagecache/collection_image2/2010.34.2_DGAL_968_02.jpg,18 in HIGH x 14 in WIDE x 1.75 in DEEP(45.72 cm HIGH x 35.56 cm WIDE x 4.44 cm DEEP),,,e43abf12f4b3
oil on board,painting,Man Painting Woman with Instrument,20th century,Gift of the Sierra Club Foundation,Corka,,http://collections.museumca.org/?q=system/files/imagecache/collection_image2/z0012541.jpg,22 in HIGH x 17.5 in WIDE(55.88 cm HIGH x 44.45 cm WIDE),,,3d9ff872d75f
oil on canvas,painting,Gold Canyon,20th century,Acquired through funds provided by Dr. and Mrs. Frederick G. Novy Jr. ,Oscar Galgiani,,http://collections.museumca.org/?q=system/files/imagecache/100_Square/2009.56.1_DGAL_567_02.jpg,20 in HIGH x 25 in WIDE(50.80 cm HIGH x 63.50 cm WIDE),,,b2b6f207a5ed
oil on canvas,painting,Hunting Dogs,20th century,Gift of the Lyle R. Scott Collection,Rose Thiessen,,http://collections.museumca.org/?q=system/files/imagecache/collection_image2/z0022410.jpg,24 in HIGH x 50 in WIDE(60.96 cm HIGH x 127.00 cm WIDE),,,f3612c9ff56d
acrylic,painting,"Apples, Upp Road, and Saint Helena",4/2/99,,Jack Stuppin,,http://collections.museumca.org/?q=system/files/imagecache/collection_image2/z0011401.jpg,,,,8242ff05baf9
acrylic,painting,"Untitled (Central Asia, a Golden Tree with Singing Birds)",7-Sep-69,Gift of the Artist,Fred Martin," Oakland Museum of California Collector's Gallery, Fred Martin: From Asia April 1-May 24, 2004",http://collections.museumca.org/?q=system/files/imagecache/collection_image2/z0011567.jpg,92 in HIGH x 66 in WIDE(233.68 cm HIGH x 167.64 cm WIDE),,,53b4fff16b3d
oil on canvas,painting,"Justice Meted Out to English Jim by the Vigilantes, San Francisco Harbor",1853,"Oakland Museum of California, gift of Concours d'Antiques, Art Guild",John Prendergast," Gold Fever c. 12/97; Gold Fever! The Lure and Legacy of the California Gold Rush.  Jan 24, 1998 - Oct. 31, 1999",http://collections.museumca.org/?q=system/files/imagecache/collection_image2/z0024711.jpg,18 in HIGH x 24 in WIDE(45.72 cm HIGH x 60.96 cm WIDE),,,5ee4e666d3df
oil on canvas,painting,Birds of California,1865,Lent by David R. Packard,Smith Of Visalia, TOM.  Cat and a Ball on a Waterfall:200 YEARS OF CALIFORNIA FOLK Painting and Sculpture.  1986. TOM (PERS).  Folk Painting.  1989.,http://collections.museumca.org/?q=system/files/imagecache/100_Square/z0012726.jpg,22.75 in HIGH x 28.5 in WIDE(57.78 cm HIGH x 72.39 cm WIDE),,,e103450e18d7
oil on canvas,painting,"Residence of Capt. Thomas W. Badger, Brooklyn, from the northwest",1871,Gift of Lester M. Hale,Joseph Lee, National Museum of American Art. 1991.,http://collections.museumca.org/?q=system/files/imagecache/collection_image2/z0001920.jpg,26.25 in HIGH x 42 in WIDE(66.67 cm HIGH x 106.68 cm WIDE),,,bab943da97f7
oil on canvas,painting,"Residence of Capt. Thomas W. Badger, Brooklyn, from the south",1871,Gift of Lester M. Hale,Joseph Lee," National Museum of American Art 1991;  St. Mary's College, Fascination With Trains 11/21/93-1/9/94",http://collections.museumca.org/?q=system/files/imagecache/collection_image2/0601223b.jpg,26 in HIGH x 42 in WIDE(66.04 cm HIGH x 106.68 cm WIDE),,,e93eb49ae586
oil on canvas,painting,"Near Glacier Rock, Yosemite",1873,Gift of Dr. C. Albert Shumate,Herman Herzog, U.S.C. L.A. Ca.  Packing-In: Painters of the American West.  1976.,http://collections.museumca.org/?q=system/files/imagecache/collection_image2/A59.10_DGAH_044_02.jpg,14.25 in HIGH x 21.25 in WIDE(36.19 cm HIGH x 53.97 cm WIDE),,,441d7e9d56f1
oil on canvas,painting,"Untitled  (Monterey, Chinese Fishing Village)",1880,Gift in Memory of Harry G. C. Packard (1914 - 1991),Henry Cleenewerck,,http://collections.museumca.org/?q=system/files/imagecache/collection_image2/A80.75.3_DGAH_125_02.jpg,14.5 in HIGH x 30.5 in WIDE(36.83 cm HIGH x 77.47 cm WIDE),,,f2ade8b9a805
oil on wood panel,painting,Reclining Woman in Red Dress Reading,1887,Gift of the Art Guild,Arthur Mathews | Lucia Mathews," TOM.  Mathews Exhibition.  1972. TOM.  Mathews Exhibition.  1985.  Twenty-Five Years of Collecting California. September 25,1994- January 8, 1995 (TOM).  California as Muse: the Art of Arthur and Lucia Mathews, OMCA, Great Hall, 10/28/2006 - 03/25/2007.",http://collections.museumca.org/?q=system/files/imagecache/collection_image2/z0034469.jpg,8.38 in HIGH x 10.38 in WIDE(21.29 cm HIGH x 26.37 cm WIDE),1860.0,1945.0,88bbf2353e65
