artworkTitle,artistName,nationality,birthDate,deathDate,dateOfEndOfCreation,medium,dimensions,classification,creditLine
Egyptian Scene (possibly Moses and Zipporah),Erastus Salisbury Field,,1805,1900,1880,Oil on canvas,35 x 46 in. (88.9 x 116.8 cm),Paintings,"Gift of Edgar William and Bernice Chrysler Garbisch, 1966"
Clothesline,Fairfield Porter,American,1907,1975,1958,Oil on canvas,"H. 35-1/2, W. 41-1/2 inches (90.2 x 105.4 cm.)",Paintings,"Gift of Mrs. Fairfield Porter, in memory of Tom Hess, 1978"
"Near Land's End, Cornwall",William Trost Richards,American,1833,1905,1879,Oil on canvas mounted on masonite,23 1/4 x 44 1/4 in. (59.1 x 112.4 cm),Paintings,"Gift of T. S. Matthews, 1950"
Design for window,Louis Comfort Tiffany,American,1848,1933,early20thcentury,"Photograph, hand colored with gouache, mounted on board",Overall: 11 x 13 7/8 in. (27.9 x 35.2 cm) Design: 7 15/16 x 8 1/2 in. (20.2 x 21.6 cm),Photographs,"Purchase, Walter Hoving and Julia T. Weld Gifts and Dodge Fund, 1967"
"Traitor Series, Number 2",Rafael Ferrer,,1933,,1979,Oil pastel on paper,"H.29, W. 23 inches (73.7 x 58.4 cm.)",Drawings,"Purchase, George L. Aguirre Gift, 1980"
Mercury Zone III,Al Held,American,1928,2005,1975,Acrylic on canvas,"H. 96, W. 143 inches (243.8 x 363.8 cm.)",Paintings,"George A. Hearn Fund, 1976"
The Mountain Ford,Thomas Cole,American,1801,1848,1846,Oil on canvas,28 1/4 x 40 1/16 in. (71.8 x 101.8 cm),Paintings,"Bequest of Maria DeWitt Jesup, from the collection of her husband, Morris K. Jesup, 1914"
"Winjana Gorge, Kimberleys, I",Fred Williams,Australian,1927,1982,1981,Oil on canvas,"H. 59-7/8, W. 72 inches (152.1 x 182.9 cm.)",Paintings,"Gift of Lyn Watson Williams, 1992"
Genesis/Violent Garden,Kay WalkingStick,American,1935,,1981,"Acrylic and wax over ink with modeling paste, broken seashells and sparkles on canvas","H. 56, W. 56, D. 4-1/2 inches (142.2 x 142.2 x 11.4 cm.)",Paintings,"Gift of the artist, 1993"
Portrait of a Girl,Nathaniel Rogers,American,1788,1844,,Watercolor on ivory in green leatherette case with velvet lining,2 3/4 x 2 3/16 in. (6.9 x 5.5 cm),Paintings,"Gift of Gloria Manney, 2006"
Mr. Cook,John Wesley Jarvis,,1780,1840,1810,Watercolor on ivory in gold locket; hair reserve verso,Sight: 2 7/8 x 2 1/4 in. (7.3 x 5.7 cm),Paintings,"Fletcher Fund, 1933"
"Henry Geldzahler, 1964",Dennis Hopper,American,1936,2010,2009,Oil on canvas,120 x 83 in. (304.8 x 210.8 cm),Paintings,"Gift of Peter M. Brant, 2011"
"Shadows, Spuyten Duyvil Hill",Ernest Lawson,,1873,1939,1910?,Oil on canvas,30 x 40 in. (76.2 x 101.6 cm),Paintings,"Gift of Diana and Arthur Altschul, 1992"
Untitled,Milton Resnick,,1917,2004,1982,Oil on canvas,"H. 104, W. 176 inches (264.2 x 447 cm.)",Paintings,"Gift of Robert Miller, 1987"
Lake Maggiore May 12 1869 (from Sketchbook),Jervis McEntee,American,1828,1891,1869,"Graphite, white gouache, watercolor, on blue paper",4 1/2 x 9 in. (11.4 x 22.9 cm),Drawings,"Morris K. Jesup Fund, 1982"
Design drawing for a church interior,Louis Comfort Tiffany,American,1848,1933,early20thcentury,"Graphite, brown ink, watercolor, gouache, and brown wash on board",Overall: 26 1/8 x 17 1/4 in. (66.4 x 43.8 cm) Design: 21 1/2 x 11 1/4 in. (54.6 x 28.6 cm),Drawings,"Purchase, Walter Hoving and Julia T. Weld Gifts and Dodge Fund, 1967"
The Path of the Grey Falcon of the Dawn,Alice Baber,American,1928,1982,1979,Oil on canvas,"H. 72, W. 103-3/4 inches (183.9 x 263.5 cm.)",Paintings,"Gift of Mrs. Bertram Smith, 1980"
Self-portrait,Thomas Gimbrede,,1781,1832,1805?,Watercolor on ivory,3 x 2 7/16 in. (7.6 x 6.2 cm),Paintings,"Fletcher Fund, 1938"
Untitled,Morris Louis,American,1912,1962,1960,Magna on canvas,105 x 202 in. (266.7 x 513.1 cm),Paintings,"The Muriel Kallis Steinberg Newman Collection, Gift of Muriel Kallis Newman, 2006"
The Teton Range,Thomas Moran,,1837,1926,1897,Oil on canvas,30 x 45 in. (76.2 x 114.3 cm),Paintings,"Bequest of Moses Tanenbaum, 1937"
"Design for Wagon, no. 313",Brewster,American,,,1850?,"Pen and black ink, watercolor and guache, with gum arabic and metallic ink",sheet: 6 1/16 x 9 11/16 in. (15.4 x 24.6 cm),Drawings,"Gift of William Brewster, 1923"
The Homestead,Frederic M. Grant,American,1886,1959,1930?,Oil on canvas,"H. 46, W. 50-1/8 inches (116.8 x 127.3 cm.)",Paintings,"Gift of George D. Pratt, 1933"
Garage Dog,James G. Davis,American,1931,,1984,Oil and silver foil on canvas,"H. 77, W. 65 inches (195.6 x 165.1 cm.)",Paintings,"Edith C. Blum Fund, 1984"
Dikran Kelekian,Hans Moller,,1905,2000,1943,Oil on canvas,20 1/8 x 16 1/8 in. (51.1 x 41 cm),Paintings,"Gift of Nanette B. Kelekian, 2002"
Design for church interior,Louis Comfort Tiffany,American,1848,1933,early20thcentury,"Watercolor, gouache, brown ink, and graphite on artist board",Overall: 19 11/16 x 26 3/4 in. (50 x 68 cm) Design: 17 1/2 x 25 1/8 in. (44.5 x 63.8 cm),Drawings,"Purchase, Walter Hoving and Julia T. Weld Gifts and Dodge Fund, 1967"
Arab Woman,John Singer Sargent,American,1856,1925,196,Watercolor and gouache on off-white wove paper,18 x 12 in. (45.7 x 30.5 cm),Drawings,"Gift of Mrs. Francis Ormond, 1950"
Suggestion for Marble & Mosaic Floor,Louis Comfort Tiffany,American,1848,1933,1933,"Watercolor, gouache, and graphite on off-white wove paper",Other (Design): 19 1/4 x 11 13/16 in. (48.9 x 30 cm),Drawings,"Purchase, Walter Hoving and Julia T. Weld Gifts and Dodge Fund, 1967"
Principa Falls,William Russell Birch,,1755,1834,,Enameled copper,2 1/16 x 1 7/8 in. (5.3 x 4.8 cm),Paintings,"Gift of Gloria Manney, 2006"
"Horse, Fort Stanton, New Mexico",Peter Moran,,1841,1914,,Graphite and white gouache on gray-green wove paper,9 13/16 x 12 13/16 in. (24.9 x 32.5 cm),Drawings,"Purchase, Gifts in memory of Stephen D. Rubin, 1992"
Elizabeth,Wilbur Niewald,American,1925,,1995,Oil on canvas,"H. 36-1/8, W. 26-1/8 inches (91.8 x 66.4 cm.)",Paintings,"Edith C. Blum Fund, 1995"
Fiery Searcher,Walter Darby Bannard,American,1934,,1965,Alkyd resin on canvas,"H. 66, W. 99 inches (167.6 x 251.5 cm.)",Paintings,"Gift of Barbara and Eugene Schwartz, 1976"
Mao,Andy Warhol,American,1928,1987,1973,Acrylic and silkscreen on canvas,176 1/2 x 136 1/2 in. (448.3 x 346.7cm),Paintings,"Gift of Mr. and Mrs. Peter M. Brant, 1977"
Mary Fanton Roberts,Robert Henri,American,1865,1929,1917,Oil on canvas,32 x 26 in. (81.3 x 66 cm),Paintings,"Bequest of Mary Fanton Roberts, 1956"
[Architectural Interior],Walker Evans,American,1903,1975,1960s,Tempera on panel,34.3 x 43.2 cm (13 1/2 x 17 in. ),Paintings,"Walker Evans Archive, 1994"
Dikran G. Kelekian,Walt Kuhn,American,1877,1949,1944,"Watercolor, gouache, ink, and graphite on paper","ca. H. 17-3/8, W. 11-3/8 inches (44.1 x 28.9 cm.)",Drawings,"Gift of Nanette B. Kelekian, 1998"
Interior,Allen Tucker,American,1866,1939,1921,Oil on canvas,25 1/8 x 30 1/8 in. (63.6 x 76.3 cm),Paintings,"Gift of the Allen Tucker Memorial, 1966"
John A. Sidell,John Vanderlyn,American,1775,1852,1830?,Oil on canvas,30 x 24 in. (76.2 x 61 cm),Paintings,"Bequest of C. V. Sidell, 1899"
Art Nouveau Fish Bowl,Joe Brainard,American,1942,1994,1975,"Cut and pasted printed and painted papers, gouache, and graphite on paper","H. 6-1/8, W. 4-3/8 inches (15.6 x 11.1 cm.)",Drawings,"Gift of Stanley Posthorn, in memory of the artist, 1997"
"Barn and Silo, Vermont",Edward Hopper,American,1882,1967,1927,"Watercolor, gouache and charcoal on paper",13 7/8 x 19 7/8in. (35.2 x 50.5cm),Drawings,"The Lesley and Emma Sheafer Collection, Bequest of Emma A. Sheafer, 1973"
"Celery, Cock, and Bowl",Albert Sterner,,1863,1946,1933,Oil on canvas,25 x 30 1/4 in. (63.5 x 76.8 cm),Paintings,"Arthur Hoppock Hearn Fund, 1933"
Lair of the Sea Serpent,Elihu Vedder,American,1836,1923,1899?,Oil on canvas,12 x 30 in. (30.5 x 76.2 cm),Paintings,"Gift of Mrs. Harold G. Henderson, 1976"
Kimiko Powers,Andy Warhol,American,1928,1987,1972,Acrylic and silkscreen on canvas,"H. 40, W. 80 inches (overall) (101.6 x 203.2 cm.)",Paintings,"Gift of Isabelle and John Stevenson, 1980"
Jonathan Sturges,Asher Brown Durand,American,1796,1886,1840?,Oil on canvas,30 1/2 x 25 in. (77.5 x 63.5 cm),Paintings,"Bequest of Frederick Sturges Jr., 1977"
Cloud Study (from Sketchbook),Jervis McEntee,American,1828,1891,1869,White gouache on blue paper,4 1/2 x 9 in. (11.4 x 22.9 cm),Drawings,"Morris K. Jesup Fund, 1982"
Thomas Jefferson,John Trumbull,American,1756,1843,1788,Oil on mahogany,4 1/2 x 3 1/4 in. (11.4 x 8.3 cm),Paintings,"Bequest of Cornelia Cruger, 1923"
The Ascension,Frederick J. Brown,American,1945,2012,1982,Oil on canvas,"H. 108, W. 84 inches (274.3 x 213.4 cm.)",Paintings,"Edith C. Blum Fund, 1983"
The Old Elm,John Kane,,1860,1934,1928,Oil on canvas,21 1/8 x 25 in. (53.7 x 63.5 cm),Paintings,"Bequest of Miss Adelaide Milton de Groot (1876 ?967), 1967"
Lake George,John William Casilear,American,1811,1893,1857,Oil on canvas,20 5/16 x 29 7/8 in. (51.6 x 75.9 cm),Paintings,"Bequest of Maria DeWitt Jesup, from the collection of her husband, Morris K. Jesup, 1914"
Ellen Vanderpoel McCoy,John Wesley Jarvis,,1780,1840,1813?,Oil on panel,35 x 26 3/16 in. (88.9 x 66.5 cm),Paintings,"Purchase, Maria DeWittt Jesup Fund and Robert and Bobbie Falk Philanthropic Fund Gift, 2003"
Marinus Willett,Ralph Earl,American,1751,1801,1791?,Oil on canvas,91 1/4 x 56 in. (231.8 x 142.2 cm),Paintings,"Bequest of George Willett Van Nest, 1916"
Wind Wheel,Arthur Dove,American,1880,1946,1935,"Watercolor, gouache, and ink on paper (recto); ink and graphite on paper (verso)",5 x 7 in. (12.7 x 17.8 cm),Drawings,"Alfred Stieglitz Collection, 1949"
Second Theme,Burgoyne Diller,American,1906,1965,1940,Oil on canvas,"H. 30-1/8, W. 30 inches (76.5 x 76.2 cm.)",Paintings,"George A. Hearn Fund, 1963"
Untitled #1,Kevin Larmon,American,1955,,1987,"Watercolor, gouache, graphite, cut and pasted printed paper, and varnish on paper",15 1/8 x 11 in. (38.4 x 27.9 cm),Drawings,"Gift of Lisa Roumell and Mark Rosenthal, 2002"
Copper Kettle,Karl Knaths,American,1891,1971,1950,Oil on canvas,"H. 35, W. 40 inches (88.9 x 101.6 cm.)",Paintings,"Gift of Mr. and Mrs. Ralph F. Colin, 1975"
Flowers,Andy Warhol,American,1928,1987,1967-68,Acrylic and silkscreen enamel on canvas,"H. 115-1/8, W. 115-3/4 inches (292.4 x 294 cm.)",Paintings,"Gift of Irving Blum, 1985"
Two Girls with Parasols,John Singer Sargent,American,1856,1925,1888,Oil on canvas,29 1/2 x 25 in. (74.9 x 63.5 cm),Paintings,"Gift of Mrs. Francis Ormond, 1950"
Roland,William Merritt Chase,American,1849,1916,1902?,Oil on canvas,20 3/8 x 16 1/4 in. (51.8 x 41.3 cm),Paintings,"Bequest of Emma T. Gary, 1937"
Joseph Sherburne,John Singleton Copley,American,1738,1815,1770,Oil on canvas,50 x 40 in. (127 x 101.6 cm),Paintings,"Amelia B. Lazarus Fund, 1923"
The Foolish Virgins,Jules Pascin,,1885,1930,1909?,Oil and graphite on canvas,"H. 18-1/4, W. 21-5/8 inches (46.4 x 54.9 cm.)",Paintings,"Bequest of Scofield Thayer, 1982"
Sarah Annis Sully (Mrs. Thomas Sully),Thomas Sully,American,1783,1872,1832,Oil on canvas,29 1/2 x 22 5/8 in. (74.9 x 57.5 cm),Paintings,"Bequest of Francis T. Sully Darley, 1914"
Government Bureau,George Tooker,American,1920,2011,1956,Egg tempera on wood,"H. 19-5/8, W. 29-5/8 inches (49.8 x 75.2 cm.)",Paintings,"George A. Hearn Fund, 1956"
Distant View of the Catskills,John William Casilear,American,1811,1893,1891,Oil on canvas,30 1/8 x 54 3/16 in. (76.5 x 137.6 cm),Paintings,"Gift of Rebecca A. Goldsmith, 1897"
Rhapsody,Hans Hofmann,,1880,1966,1965,Oil on canvas,"H. 84-1/4, W. 60-1/2 inches (214 x 153.7 cm.)",Paintings,"Gift of Renate Hofmann, 1975"
Mrs. David Cadwallader Colden,Charles Cromwell Ingham,,1786,1863,1830,Oil on canvas,28 3/4 x 23 3/4 in. (73 x 60.3 cm),Paintings,"Bequest of Grace Wilkes, 1922"
Don Schrader,Fairfield Porter,American,1907,1975,1962,Oil on canvas,30 x 28in. (76.2 x 71.1cm) 32 x 30 x 2 in. (81.3 x 76.2 x 5.1 cm) (Frame),Paintings,"Bequest of Arthur M. Bullowa, 1993"
Italian Hill Town,Arthur B. Davies,American,1862,1928,1925?,Oil on canvas,25 7/8 x 39 7/8 in. (65.7 x 101.3 cm),Paintings,"Bequest of Lillie P. Bliss, 1931"
"Eaton's Neck, Long Island",John Frederick Kensett,American,1816,1872,1872,Oil on canvas,18 x 36 in. (45.7 x 91.4 cm),Paintings,"Gift of Thomas Kensett, 1874"
Design for hanging fixture,Louis Comfort Tiffany,American,1848,1933,1920,"Graphite, colored pencil, and gouache",,Drawings,"Purchase, Walter Hoving and Julia T. Weld Gifts and Dodge Fund, 1967"
Lilies,Arthur B. Carles,American,1882,1952,1935,Oil on Masonite,"H. 30, W. 19 inches (76.2 x 48.3 cm.)",Paintings,"Gift of Mr. and Mrs. Harry L. Koeningsberg, 1978"
Mary Inman,Daniel Huntington,American,1816,1906,1844,Oil on canvas,30 x 25 in. (76.2 x 63.5 cm),Paintings,"Gift of Mrs. Dave Hennen Coddington, in memory of her husband, 1964"
American Gothic,Benny Andrews,American,1930,2006,1971,"Oil, cut and pasted burlap, canvas, and fabric on canvas","H. 60, W. 50 inches (152.4 x 127 cm.)",Paintings,"Purchase, The Eugene and Estelle Ferkauf Foundation Gift, 1989"
Little River Farm,Yvonne Jacquette,American,1934,,1979,Oil on canvas,"H. 78, W. 64 inches (198.1 x 162.6 cm.)",Paintings,"Gift of Dr. and Mrs. Robert E. Carroll, 1982"
Untitled,Charmion von Wiegand,American,1900,1983,1946,Gouache on board,"H. 20-3/8, W. 18 inches (51.8 x 45.7 cm.)",Drawings,"Gift of Mrs. Charles Abrams, 1980"
Lady Williams and Child,Ralph Earl,American,1751,1801,1783,Oil on canvas,50 1/4 x 39 3/4 in. (127.3 x 101 cm),Paintings,"Rogers Fund, 1906"
Victorian Interior I,Horace Pippin,American,1888,1946,1945,Oil on canvas,"H. 20, W. 24 inches (50.8 x 61 cm.)",Paintings,"Bequest of Jane Kendall Gingrich, 1982"
P. D.,George Negroponte,American,1953,,1988,Oil on canvas,"H. 72, W. 60 inches (182.9 x 152.4 cm.)",Paintings,"Purchase, Pinewood Foundation Gift, 1988"
Petunias and Salvia,Robert Kushner,American,1949,,1988,"Oil, silver leaf, glitter, and wallpaper on canvas","H. 36, W. 72 inches (91.4 x 182.9 cm.)",Paintings,"Gift of Reba and Dave Williams, 1991"
"The Steeplechase, Coney Island",Milton Avery,American,1885,1965,1929,Oil on canvas,32 x 40 in. (81.3 x 101.6 cm),Paintings,"Gift of Sally M. Avery, 1984"
Lamp and Weeds,Morris Shulman,American,1912,1978,1950,Oil on Masonite,30 x 24 in. (76.2 x 61 cm),Paintings,"Gift of Mrs. Morris Shulman, 1981"
William Young,James Peale,American,1749,1831,1807,Watercolor on ivory in gold locket; hair reserve verso,2 13/16 x 2 1/4 in. (7.1 x 5.8 cm),Paintings,"Gift of Gloria Manney, 2006"
Portrait of a Gentleman,Attributed to William Russell Birch,,1755,1834,,Enameled copper,15/16 x 3/4 in. (2.4 x 1.9 cm),Paintings,"Fletcher Fund, 2006"
Self-Portrait (Matisse Print),Mary Beth McKenzie,American,1946,,1991,Oil on canvas,"H. 32, W. 26 inches (81.3 x 66 cm)",Paintings,"Gift of the artist, 1992"
The Lobsterman (The Doryman),N.C. Wyeth,American,1882,1945,1944,Egg tempera on wood,"H. 23-1/4, W. 47-1/4 inches (58.7 x 120 cm.)",Paintings,"Gift of Amanda K. Berls, 1975"
Big Oval,Jane Dickson,American,1952,,1985,Oilstick on canvas,"H. 110, W. 68 inches (279.4 x 172.7 cm.)",Paintings,"Arthur Hoppock Hearn Fund, 1986"
Flower Market,Patricia Cunningham,American,1907,1984,1950,Oil on Masonite,"H. 30, W. 25 inches (76.2 x 63.5 cm.)",Paintings,"Gift of Adele Simpson, 1964"
Interior,Walter Gay,American,1856,1937,,"Watercolor, gouache, and graphite on off-white wove paper",18 1/16 x 21 9/16 in. (45.9 x 54.8 cm),Drawings,"Gift of James Hazen Hyde, 1952"
Two Girls,Isabel Bishop,American,1902,1988,1935,Oil and tempera on Masonite,"H. 20, W. 24 inches (50.8 x 61.2 cm.)",Paintings,"Arthur Hoppock Hearn Fund, 1936"
Man and Woman Stopping to Look at the View,Lynn Bostick,American,1940,,1983,Oil on canvas,"H. 41, W. 41 inches (104.1 x 104.1 cm.)",Paintings,"Purchase, Mrs. Lillian L. Poses Gift, 1983"
Route of the Black Diamond,Mark Baum,American,1903,1997,1940?,Oil on canvas,"H. 22-1/4, W. 30-1/8 inches (56.5 x 76.5 cm.)",Paintings,"Edith C. Blum Fund, 1983"
Design for three lancet window,Probably Frederick Wilson 1858-1932,,1858,1932,early20thcentury,"Black ink, gray, and brown washes, white gouache, and graphite on paper mounted on board.",Overall: 20 7/16 x 13 3/4 in. (51.9 x 34.9 cm) Design: 9 1/2 x 6 13/16 in. (24.1 x 17.3 cm),Drawings,"Purchase, Walter Hoving and Julia T. Weld Gifts and Dodge Fund, 1967"
Portrait of Jake (Stagger Lee Series #3),Frederick J. Brown,American,1945,2012,1983,Oil on canvas,"H. 38, W. 29 inches (96.5 x 73.7 cm.)",Paintings,"Anonymous Gift and Gift of Megan E. Bowman, in memory of Lilan and Ralph Doane, 1984"
The Garbage Cart,William P. Chappel,American,1800,1880,1870s,Oil on slate paper,6 1/8 x 9 1/4 in. (15.6 x 23.5 cm),Paintings,"The Edward W. C. Arnold Collection of New York Prints, Maps, and Pictures, Bequest of Edward W. C. Arnold, 1954"
Design for window,Louis Comfort Tiffany,American,1848,1933,early20thcentury,"Gouache, watercolor, and graphite on paper mounted on board in original matt.",Overall: 26 1/4 x 10 9/16 in. (66.7 x 26.8 cm) Overall (Design): 20 7/8 x 5 5/8 in. (53 x 14.3 cm),Drawings,"Purchase, Walter Hoving and Julia T. Weld Gifts and Dodge Fund, 1967"
Christopher Colles,James Frothingham,,1786,1864,1816,Oil on canvas,30 3/8 x 25 1/2 in. (77.2 x 64.8 cm),Paintings,"Gift of Dr. Christopher J. Colles, 1917"
West Side Photographer's Shop,Aaron Bohrod,American,1907,1992,1947,Gouache on cardboard,"H. 13-3/4, W. 19-1/4 inches (34.9 x 48.9 cm.)",Drawings,"George A. Hearn Fund, 1948"
The Modern Story of Life: A Civics Diatribe,Roger Brown,American,1941,1997,1982,Oil on canvas,"H. 72-1/4, W. 96 inches (184.2 x 243.8 cm.)",Paintings,"George A. Hearn Fund, 1983"
Villa La Mouette,Edwin Dickinson,American,1891,1978,1938,Oil on canvas,23 5/8 x 28 3/4in. (60 x 73cm) 27 3/4 x 32 3/4 x 1 in. (70.5 x 83.2 x 2.5 cm) (Frame),Paintings,"George A. Hearn Fund, 1938"
The Big Wetland I,Gabor F. Peterdi,,1915,2001,1982,Oil on canvas,"H. 60, W. 80 inches (152.4 x 203.2 cm.)",Paintings,"Gift of Mr. and Mrs. Warren Brandt, 1982"
Dikran G. Kelekian,Milton Avery,American,1885,1965,1943,Oil on canvas,"H. 36-1/4, W. 28-1/8 inches (92.1 x 71.4 cm.)",Paintings,"Gift of Nanette B. Kelekian, 1998"
Lucas I,Chuck Close,American,1940,,1987,Oil and graphite on canvas,100 x 84 in. (254 x 213.4 cm),Paintings,"Purchase, Lila Acheson Wallace Gift and Gift of Arnold and Milly Glimcher, 1987"
Figure,Hale Woodruff,American,1900,1980,1967,Oil on canvas,"H. 54, W. 40 inches (134.6 x 101.6 cm.)",Paintings,"George A. Hearn Fund, Arthur Hoppock Hearn Fund and Rogers Fund, 1978"
Arthur Bullowa,Fairfield Porter,American,1907,1975,1972,Oil on Masonite,"H. 15-1/2, W. 11-3/4 inches (39.4 x 29.8 cm.)",Paintings,"Bequest of Arthur M. Bullowa, 1993"
Design for church interior with Noli Me Tangere window,Louis Comfort Tiffany,American,1848,1933,1900,"Watercolor, gouache, photograph, collage, pen and colored inks, graphite",Overall: 20 7/8 x 20 3/4in. (53 x 52.7cm),Drawings,"Purchase, Walter Hoving and Julia T. Weld Gifts and Dodge Fund, 1967"
In the Connecticut Hills,Ben Foster,American,1852,1926,by1914,Oil on canvas,41 7/8 x 47 7/8 in. (106.4 x 121.6 cm),Paintings,"Arthur Hoppock Hearn Fund, 1914"
Dream Catch,Alfred Levitt,American,1894,2000,1951,Watercolor and gouache on paper,"H. 11, W. 15 inches (27.9 x 38.1 cm.)",Drawings,"Gift of the artist, 1985"
Evening,Frank W. Benson,American,1862,1951,1925,"Watercolor, gouache, and graphite on white wove paper laid down to gray woodpulp cardboard",24 7/8 x 20 in. (63.2 x 50.8 cm),Drawings,"Arthur Hoppock Hearn Fund, 1950"
"Little Falls, New Jersey",Oscar Bluemner,,1867,1938,1917,Oil on Masonite,"H. 14-3/4, W. 19-5/6 inches (37.5 x 50 cm.)",Paintings,Bequest of Charles F. Ikl ? 1963
Augustus Saint-Gaudens,Ellen Emmet Rand,American,1875,1941,1904?,Oil on canvas,38 7/8 x 30 in. (98.7 x 76.2 cm),Paintings,"Rogers Fund, 1908"
Sailor's Holiday,Robert Brackman,American,1898,1980,1945,Oil on canvas,"H. 50, W. 39-3/4 inches (127 x 101 cm.)",Paintings,"George A. Hearn Fund, 1950"
"Red, Ochre and White",Fritz Bultman,American,1919,1985,1952,Gouache and graphite on paper,"H. 23, W. 29 inches (58.4 x 73.7 cm.)",Drawings,"Gift of Estate of Fritz Bultman, 1994"
"Farm House, Sanary-sur-Mer",Edwin Dickinson,American,1891,1978,1938,Oil on canvas,23 7/8 x 28 7/8in. (60.6 x 73.3cm) 31 1/2 x 36 1/4 x 1 1/2 in. (80 x 92.1 x 3.8 cm) (Frame),Paintings,"Gift of Betty Stebman, 1999"
Portrait of Ellen,William Scott Pyle,American,1888,1938,1916,Oil on canvas,"H. 52, W. 34-3/4 inches (132.1 x 88.3 cm.)",Paintings,"Gift of Mrs. W. Scott Pyle, 1942"
The Thorn,Lee Gatch,American,1902,1968,1953,Oil on canvas,"H. 31-1/2, W. 39-1/2 inches (80 x 100.3 cm.)",Paintings,"The Edward Joseph Gallagher III Memorial Collection, Gift of Edward J. Gallagher Jr., 1954"
John R. Murray,Gilbert Stuart,American,1755,1828,1800?,Oil on canvas,29 3/8 x 24 1/8 in. (74.6 x 61.3 cm),Paintings,"Gift of Mrs. Walter Oakman and Miss Helen L. Hubbard, 1950"
1950-E,Clyfford Still,American,1904,1980,1950,Oil on canvas,"H. 91-1/4, W. 69 inches (231.8 x 175.3 cm.)",Paintings,"Gift of Mrs. Clyfford Still, 1986"
Colonel Sharp Delany,Robert Field,,1769,1819,1799,Watercolor on ivory in rose gold locket; hair reserve verso,2 7/8 x 2 5/16 in. (7.3 x 5.9 cm),Paintings,"Maria DeWitt Jesup Fund, 1931"
Partitions,Theodoros Stamos,American,1922,1997,1947,"Watercolor, gouache, and ink on paper","H. 16, W. 12 inches (40.6 x 30.5 cm.)",Drawings,"Anonymous Gift, in memory of Mr. and Mrs. Theodoros Stamatelos, 1991"
Elegant,Richard Yelle,American,1951,,1991,"Glass, oil ,wax, paint, graphite, and barbed wire","H. 22-3/4, D. 9-3/4 inches (57.8 x 24.8 cm.)",Glass,"Gift of Mary and Gary Pforzheimer, 1992"
Design for micro-mosaic ceiling or wall decoration,Louis Comfort Tiffany,American,1848,1933,early20thcentury,"Watercolor, gouache, and ink on artist's board",28 13/16 x 21 1/4 in. (73.2 x 54 cm),Drawings,"Purchase, Walter Hoving and Julia T. Weld Gifts and Dodge Fund, 1967"
Mrs. A. L. Clements (Mary Louisa Wells),John Wood Dodge,,1807,1893,1838,Watercolor on ivory in gilded copper locket; hair reserve verso,2 1/2 x 2 in. (6.4 x 5 cm),Paintings,"Dale T. Johnson Fund, 2006"
Lake of Orta,J. Carroll Beckwith,American,1852,1917,1910or1911,Oil on wood,13 3/4 x 10 1/2 in. (34.9 x 26.7 cm),Paintings,"Bequest of Susan Dwight Bliss, 1966"
Garance,Melissa Meyer,American,1947,,1991,Oil on canvas,"H. 77, W. 88 inches (195.6 x 223.5 cm.)",Paintings,"Arthur Hoppock Hearn Fund, 1992"
Landscape,William Morris Hunt,American,1824,1879,1853,Oil on pressboard mounted on wood,12 1/2 x 19 1/2 in. (31.8 x 49.5 cm),Paintings,"Rogers Fund, 1906"
"Autumn Study, View over Hanging Rock, Newport, R.I.",John La Farge,American,1835,1910,1868,Oil on canvas,30 1/4 x 25 1/4 in. (76.8 x 64.1 cm),Paintings,"Gift of Dr. Frank Jewett Mather Jr., 1949"
Relation 201,Robert Goodnough,American,1917,2010,1968,Oil on canvas,"H. 20, W. 20 inches (50.8 x 50.8 cm.)",Paintings,"Anonymous Gift, 1969"
Four Figures in a Bistro,Arbit Blatas,,1908,1999,1952,Oil on canvas,"H. 40, W. 30 inches (101.6 x 76.2 cm.)",Paintings,"Gift of Lawton Carver, 1954"
Yellow Sweater,Leon Karp,American,1903,1951,1947,Oil on canvas,"H. 40-1/8, W. 30-1/4 inches (101.6 x 76.8 cm.)",Paintings,"Gift of Friends of the Artist, 1952"
Mountain View at Bormio (from Switzerland 1869 Sketchbook),John Singer Sargent,American,1856,1925,1869,"Watercolor, gouache, and graphite on off-white wove paper",7 3/4 x 11 3/4 in. (19.7 x 29.8 cm),Drawings,"Gift of Mrs. Francis Ormond, 1950"
"Mrs. John Sevier, Jr. (Rebecca Richards)",James Peale,American,1749,1831,1794,Watercolor on ivory in gold locket; hair reserve verso,2 1/2 x 1 29/32 in. (6.4 x 4.8 cm),Paintings,"Gift of Margaret S. Comeaux, 1974"
Sarah Miriam Peale,James Peale,American,1749,1831,1815?,watercolor on ivory,3  ?2 1/2 in. (7.6  ?6.4 cm),Paintings,
Untitled,Arthur Dove,American,1880,1946,1946?,"Tempera, gouache, and ink on paper","H. 3, W. 4 inches (7.6 x 10.2 cm.)",Drawings,"Gift of William C. Dove, 1984"
Portrait of a Lady,John Wood Dodge,,1807,1893,1835?,Watercolor on ivory in gilded copper foliate locket; hair reserve verso,2 13/16 x 2 1/4 in. (7.1 x 5.6 cm),Paintings,"Dale T. Johnson Fund, 2006"
Paris Night,Robert Henri,American,1865,1929,1898,Oil on canvas,25 3/4 x 32 in. (65.4 x 81.3 cm),Paintings,"Arthur Hoppock Hearn Fund, 1963"
