artworkTitle,artistName,nationality,birthDate,deathDate,dateOfStartOfCreation,dateOfEndOfCreation,medium,dimensions,classification,creditLine,production_id
Design for lampshade,Louis Comfort Tiffany,American,1848,1933,late19th,early20thcentury,"Watercolor, gouache, and graphite on paper",Overall: 17 x 11 3/8 in. (43.2 x 28.9 cm) Other (Design): 15 5/8 x 9 1/8 in. (39.7 x 23.2 cm),Drawings,"Purchase, Walter Hoving and Julia T. Weld Gifts and Dodge Fund, 1967",aa6e9c6481a8
Mrs. John Biddle (Eliza Falconer Bradish),Thomas Sully,American,1783,1872,1818,1818,Oil on canvas,30 x 24 7/8 in. (76.2 x 63.2 cm),Paintings,"Gift of General John Biddle, 1924",ec0bf9fedbf0
Table with Figs and Lemons,Carlyle Brown,American,1919,1963,1952,1952,Oil on canvas,"H. 27-1/2, W. 36-1/2 inches (69.9 x 92.7 cm.)",Paintings,"George A. Hearn Fund, 1952",dfc7fe9dbf38
"The Margrave, the Prince[ss] and the Hermit (from Sketchbook)",James McNeill Whistler,American,1834,1903,1854,1855,Brown and black ink and pink gouache on dark off-white-tan wove paper,3 1/4 x 3 5/8 in. (8.3 x 9.2 cm),Drawings,"Gift of Margaret C. Buell, Helen L. King, and Sybil A. Walk, 1970",3e3bca06b700
Juliet,Fletcher Martin,American,1904,1979,1939,1939,Gouache on cardboard,"H. 20, W. 26 inches (50.8 x 66 cm.)",Drawings,"George A. Hearn Fund, 1940",0a1e60bdcb8d
Monhegan Theme,Lamar Dodd,American,1909,1996,1949,1949,Oil on canvas,"H. 24, W. 36 inches (61 x 91.5 cm.)",Paintings,"George A. Hearn Fund, 1951",f8fce67702c1
"Winter Sunrise, Monadnock",Abbott H. Thayer,American,1849,1921,1917,1917,Oil on canvas,54 3/8 x 63 3/8 in. (138.1 x 161 cm),Paintings,"George A. Hearn Fund, 1917",1351b1848063
The Shoemaker,Jacob Lawrence,American,1917,2000,1945,1945,Watercolor and gouache on paper,"H. 22 3/4, W. 31 in. (57.8 x 78.7 cm)",Drawings,"George A. Hearn Fund, 1946",9b2e5332d81a
"Bali, Bazaar with Coconut Palms",Maurice Sterne,American,1878,1957,1912,1912,Oil on canvas,"H. 38-1/2, W. 28-1/2 inches (97.8 x 72.4 cm.)",Paintings,"George A. Hearn Fund, 1936",0b1a743e9472
Sarah Annis Sully,Thomas Sully,American,1783,1872,1802,1802,Watercolor on ivory,1 7/8 x 1 7/8 in. (4.8 x 4.8 cm),Paintings,"Fletcher Fund, 1928",ca6981b9e784
The Hermit (Il solitario),John Singer Sargent,American,1856,1925,1908,1908,Oil on canvas,37 3/4 x 38 in. (95.9 x 96.5 cm),Paintings,"Rogers Fund, 1911",215b225e9791
The Photographer,Jacob Lawrence,American,1917,2000,1942,1942,"Watercolor, gouache, and graphite on paper","H. 22 1/8, W. 30 1/2 in. (56.2 x 77.5 cm)",Drawings,"Purchase, Lila Acheson Wallace Gift, 2001",239f2d5b305d
Woman in a Rocker,Franz Kline,American,1910,1962,1945,1945,Oil on canvas,"H. 16-1/8, W. 14 inches (41 x 35.6 cm)",Paintings,"Gift of Rufus F. Zogbaum, 1998",173139cb8d88
Dance鈥擴plift,Arthur B. Davies,American,1862,1928,1920,1928,Wax on canvas,24 x 18 in. (61 x 45.7 cm),Paintings,"Bequest of Lillie P. Bliss, 1931",4bc27356d974
Portrait of a Lady,Nathaniel Rogers,American,1788,1844,1820,1820,Watercolor on ivory,2 15/16 x 2 3/8 in. (7.5 x 6 cm),Paintings,1985,cd55e4a7e312
"David Sears, Jr.",Gilbert Stuart,American,1755,1828,1815,1815,Oil on canvas,27 1/4 x 23 1/2 in. (69.2 x 59.7 cm),Paintings,"Gift of Several Gentleman, 1881",44b198a6b0b2
Design for a mosaic panel,Louis Comfort Tiffany,American,1848,1933,late19th,early20thcentury,"Watercolor, gouache, pen and gold metallic ink, and graphite on artist board in original matt",Overall: 22 7/16 x 14 3/8 in. (57 x 36.5 cm) Design: 14 15/16 x 7 11/16 in. (38 x 19.5 cm),Drawings,"Purchase, Walter Hoving and Julia T. Weld Gifts and Dodge Fund, 1967",67aebcc74dd1
Acrobat in Red and Green,Walt Kuhn,American,1877,1949,1942,1942,Oil on canvas,"H. 24-1/4, W. 20-1/4 inches (71.6 x 51.5 cm.)",Paintings,"George A. Hearn Fund, 1950",cd2b7bd668ac
Parallel Forms II,Albert Eugene Gallatin,American,1881,1952,1941,1941,Oil on canvas,"H. 50, W. 35 inches (127 x 89 cm.)",Paintings,"Gift of R. Thornton Wilson, 1952",fcaafa259bc0
Farmhouse,James Preston,American,1873,1962,1950,1950,Oil on wood,20 11/16 x 26 11/16 in. (52.5 x 67.8 cm),Paintings,"Gift of Mrs. William G. Maguire, in memory of her uncle, James Preston, 1965",93c8e36e95b9
"Philosophy: A Preparation for the Mural in the Museum of Fine Arts, Boston",John Singer Sargent,American,1856,1925,1921,1925,Oil on canvas,13 5/8 x 7 1/4 in. (34.6 x 18.4 cm),Paintings,"Gift of Mrs. Francis Ormond, 1950",b9d64cfa25e2
"Design for side wall and interior treatment for Hershey Theater, Hershey, Pennsylvania",Louis Comfort Tiffany,American,1848,1933,1915,1915,"Watercolor, gouache, pen and black ink, aluminum paint, and graphite on artist board with original shaped window mat",25 9/16 x 31 5/16 in. (65 x 79.5 cm) Other (Design): 23 15/16 x 27 9/16 in. (60.8 x 70 cm),Drawings,"Purchase, Walter Hoving and Julia T. Weld Gifts and Dodge Fund, 1967",4aa1603f85e6
Palamedes Palamedesz,John Singer Sargent,American,1856,1925,1871,1872,Graphite and gouache on tan wove paper,11 5/8 x 8 7/8 in. (29.5 x 22.5 cm),Drawings,"Gift of Mrs. Francis Ormond, 1950",2e2ce33d2a52
"Street, Tangier",John Singer Sargent,American,1856,1925,1895,1895,"Watercolor, gouache, and graphite on off-white wove paper",13 15/16 x 9 15/16 in. (35.4 x 25.2 cm),Drawings,"Gift of Mrs. Francis Ormond, 1950",b82bcbe65765
Portrait of a Gentleman,Charles Willson Peale,American,1741,1827,1775,1775,Oil on canvas,9 3/4 x 7 7/8 in. (24.8 x 20 cm),Paintings,"Fletcher Fund, 1926",6432b06517af
Design for a window,Louis Comfort Tiffany,American,1848,1933,1900,1910,"Watercolor, gouache, pencil, and black ink",11 9/16 x 5 7/8 in. (29.4 x 14.9 cm),Drawings,"Purchase, Walter Hoving and Julia T. Weld Gifts and Dodge Fund, 1967",6261796f0748
Symbolic Landscape,Theodoros Stamos,American,1922,1997,1947,1947,"Watercolor, ink, gouache, and pastel on paper","H. 22-1/2, W. 31 inches (57.2 x 78.7 cm.)",Drawings,"From the Collection of Dr. and Mrs. Samuel Ernest Sussman, Bequest of Blanche Risa Sussman, 1990",fb85ea032fce
Self-Portrait,Horace Pippin,American,1888,1946,1944,1944,"Oil on canvas, adhered to cardboard",8 1/2 x 6 1/2in. (21.6 x 16.5cm),Paintings,"Bequest of Jane Kendall Gingrich, 1982",7ea740034d6c
The Bridge at Grez,Robert W. Vonnoh,American,1858,1933,1907,1911,Oil on canvas,36 1/2 x 51 3/8 in. (92.7 x 130.5 cm),Paintings,"Gift of Mrs. Louis Lewison, 1970",2e50ab38a3d6
Tung Dynast,Herb Aach,American,1923,1985,1960,1960,Oil on canvas,"H. 90, W. 68 inches (228.6 x 172.7 cm.)",Paintings,"Gift of Doris Aach, 1988",2363d5ccacf5
In the Museum II,Benjamin Knotts,American,1898,1965,1943,1943,Ink and oil on paper,"H. 8-3/8, W. 7-7/8 inches (21.3 x 20 cm.)",Drawings,"Gift of Albert Ten Eyck Gardner, 1967",3da8300f75b7
Magic Box,Kenneth Noland,American,1924,2010,1959,1959,Magna on canvas,"H. 96, W. 96 inches (243.8 x 243.8 cm.)",Paintings,"Purchase, Anonymous Gift, 1977",a96b22aa24c6
"Movement No. 5, Provincetown Houses",Marsden Hartley,American,1877,1943,1916,1916,Oil and charcoal on paperboard (Beaver Board),20 x 16 in. (50.8 x 40.6 cm),Paintings,"Alfred Stieglitz Collection, 1949",8b5e1658efa3
Circle in the Square,Joseph Delaney,American,1904,1991,1940,1940,Oil on Masonite,"H. 36, W. 24 1/8 in. (91.4 x 61.3 cm)",Paintings,"Arthur Hoppock Hearn Fund, 1992",e50d76ba2b79
Number 3,John McLaughlin,American,1898,1976,1970,1970,Acrylic on canvas,"H. 60, W. 48 inches (152.4 x 121.9 cm.)",Paintings,"Arthur Hoppock Hearn Fund, 1976",755511a1b574
Thomas Willing,Charles Willson Peale,American,1741,1827,1782,1782,Oil on canvas,49 1/2 x 39 3/4 in. (125.7 x 101 cm),Paintings,1966,caff6d825470
Once,Elizabeth Murray,American,1940,2007,1978,1978,Oil on canvas,"H. 51-1/2, W. 57 inches (130.8 x 144.8 cm.)",Paintings,"Gift of Ruth Klein, 1988",5a7d06f60a67
Adoration of the Magi,Louis Comfort Tiffany,American,1848,1933,1915,1916,"Watercolor, gouache, pen and ink, and graphite on pebble finish matt board in original decorated matt with shaped tracery window openings",Overall: 21 3/8 x 30 1/4 in. (54.3 x 76.8 cm),Drawings,"Purchase, Walter Hoving and Julia T. Weld Gifts and Dodge Fund, 1967",20dff3f42739
"Design for Buffalo Theater, Buffalo, New York",Louis Comfort Tiffany,American,1848,1933,1925,1926,"Watercolor, gouache, black ink, and graphite on off-white wove paper",26 11/16 x 39 9/16 in. (67.8 x 100.5 cm),Drawings,"Purchase, Walter Hoving and Julia T. Weld Gifts and Dodge Fund, 1967",1a56c3a975fa
Celia's Arbor,Lilian Westcott Hale,American,1881,1963,1910,1910,Oil on canvas,22 1/4 x 18 3/4 in. (56.5 x 47.6 cm),Paintings,"Arthur Hoppock Hearn Fund, 1924",f3176b4ee130
"Autumn Landscape, Sugar Loaf Mountain, Orange County, New York",Jasper Francis Cropsey,American,1823,1900,1870,1875,Oil on canvas,28 1/2 x 35 1/2 in. (72.4 x 90.2 cm),Paintings,"Purchase, The Bertram F. and Susie Brummer Foundation Inc. Gift, 1961",b64fb1bf4415
"Christmas-Time, The Blodgett Family",Eastman Johnson,American,1824,1906,1864,1864,Oil on canvas,30 x 25in. (76.2 x 63.5cm) Framed: 41 5/8 ?36 3/4 ?5 in. (105.7 ?93.3 ?12.7 cm),Paintings,"Gift of Mr. and Mrs. Stephen Whitney Blodgett, 1983",012ac297b249
"Evening at Medfield, Massachusetts",George Inness,American,1825,1894,1875,1875,Oil on canvas,38 x 63 1/8 in. (96.5 x 160.3 cm),Paintings,"Gift of George A. Hearn, 1910",e664f1740a91
"View near Sherburne, Chenango County, New York",Jasper Francis Cropsey,American,1823,1900,1853,1853,Oil on canvas,33 1/8 x 48 3/8 in. (84.1 x 122.9 cm),Paintings,"Bequest of Sarah Ann Ludlum, 1877",f018b2057499
After Sir Christopher Wren,Charles Demuth,American,1883,1935,1920,1920,"Watercolor, gouache, and graphite on cardboard","H. 24, W. 20 inches (60.5 x 51 cm.)",Drawings,"Bequest of Scofield Thayer, 1982",0f32209100d1
Annie Sargent Jewett,Follower of Maurice Brazil Prendergast,American,1858,1924,1905,1905,Oil on board,21 3/4 x 15 in. (55.2 x 38.1 cm),Paintings,"Bequest of Esther Williams McKinney, 1970",89d0b397c38a
Heart of the Andes,Frederic Edwin Church,American,1826,1900,1859,1859,Oil on canvas,66 1/8 x 119 1/4in. (168 x 302.9cm),Paintings,"Bequest of Margaret E. Dows, 1909",b14619b17742
Near Hebron,Marguerite Zorach,American,1887,1968,1911,1911,Oil on canvas,"H. 20, W. 24 inches (50.8 x 61 cm.)",Paintings,"Anonymous Gift, 1979",3ef194d43b50
Virginia City Barn,Cameron Booth,American,1892,1980,1936,1936,Gouache on paper,15 1/4 x 19 1/4in. (38.7 x 48.9cm),Drawings,"Rogers Fund, 1941",9a9d4cb07870
Charles Sumner,William Morris Hunt,American,1824,1879,1875,1875,Oil on canvas,22 x 27 in. (55.9 x 68.6 cm),Paintings,"Amelia B. Lazarus Fund, 1925",2e6f52627b36
Allegory,Bob Thompson,American,1937,1966,1960,1960,Oil on canvas,"H. 60, W. 71 inches (152.4 x 180.3 cm.)",Paintings,"George A. Hearn Fund, 1981",8dc103d50b56
Inner Edge,Helen Frankenthaler,American,1928,2011,1966,1966,Acrylic on canvas,"H. 42-7/8, W. 38-5/8 inches (108.9 x 98.1 cm.)",Paintings,"Gift of Mr. and Mrs. Alexander Liberman, 1993",af8c24074ac3
Vase of Flowers,Preston Dickinson,American,1889,1930,1926,1926,Oil on canvas,30 1/4 x 18 3/8in. (76.8 x 46.7cm) 37 x 25 x 1 3/4 in. (94 x 63.5 x 4.4 cm) (Frame),Paintings,"Gift of Carl D. Lobell, 1995",bc57b9714960
The Jitney,John Sloan,American,1871,1951,1915,1915,Oil on canvas,20 x 24 in. (50.8 x 61 cm),Paintings,"George A. Hearn Fund, 1940",08ffa154ca12
Moses Shown the Promised Land,Benjamin West,American,1738,1820,1801,1801,Oil on wood,19 3/4 x 28 3/4 in. (50.2 x 73 cm),Paintings,1969,254de749f981
New Jersey Beach,William Trost Richards,American,1833,1905,1901,1901,Oil on canvas,28 1/4 x 48 1/4 in. (71.8 x 122.6 cm),Paintings,"Gift of Mrs. William T. Brewster, 1932",ee34506eb08b
Mrs. Joseph Anthony Jr. (Henrietta Hillegas),Gilbert Stuart,American,1755,1828,1795,1798,Oil on canvas,30 x 23 3/8 in. (76.2 x 59.4 cm),Paintings,"Rogers Fund, 1905",db8474be07f4
Portrait of a Lady,Frederick R. Spencer,American,1806,1875,1830,1830,Watercolor on ivory,Sight: 2 5/8 x 2 1/4 in. (6.7 x 5.7 cm),Paintings,"Dale T. Johnson Fund, 2008",2c95a42eda9b
Nocturne in Green and Gold,James McNeill Whistler,American,1834,1903,1877,1877,Oil on canvas,25 1/8 x 30 3/8 in. (63.8 x 77.2 cm),Paintings,"Gift of Harris C. Fahnestock, 1906",76be69d80b72
King of Clubs,Gene Davis,American,1920,1985,1978,1978,Acrylic and graphite on canvas,"H. 115-1/2, W. 179 inches (293.4 x 454.7 cm.)",Paintings,"Gift of James Howard Witt, 1981",894821a6ede5
Fisherman in Gloucester,Alfred Levitt,American,1894,2000,1945,1945,"Watercolor, gouache, and ink on paper","H. 15-3/4, w. 11-3/8 inches (40 x 28.9 cm.)",Drawings,"Gift of the artist, 1985",e67735e0872c
Bain de Soleil,Adelaide Milton de Groot,American,1876,1967,1930,1930,Oil on canvas,23 1/2 x 28 3/8 in. (59.7 x 72.1 cm),Paintings,"Bequest of Miss Adelaide Milton de Groot (1876?967), 1967",1e3757ebe6c8
Old Ferry Stairs,William P. Chappel,American,1800,1880,1870s,1870s,Oil on slate paper,6 1/16 x 9 1/8 in. (15.4 x 23.2 cm),Paintings,"The Edward W. C. Arnold Collection of New York Prints, Maps, and Pictures, Bequest of Edward W. C. Arnold, 1954",8a3a0ad9b222
General Arthur St. Clair,Charles Willson Peale,American,1741,1827,1780,1780,Watercolor on ivory in gold locket,1 3/4 x 1 3/8 in. (4.4 x 3.5 cm),Paintings,"Morris K. Jesup Fund, 1932",75693b667b50
Artist and Model,Sidney Simon,American,1917,1997,1948,1948,Encaustic on canvas,"H. 29, W. 36-3/8 inches (73.7 x 92.4 cm.)",Paintings,"Bequest of Margaret Seligman Lewisohn, in memory of her husband, Sam A. Lewisohn, 1954",c3bff5703d77
Saturday Afternoon,Jervis McEntee,American,1828,1891,1875,1875,Oil on canvas,24 x 45 in. (61 x 114.3 cm),Paintings,"Amelia B. Lazarus Fund, 1913",39693c1565da
Consolation of Ariadne,Bryson Burroughs,American,1869,1934,1915,1915,Oil on canvas,29 15/16 x 35 7/8 in. (76.4 x 91.12 cm),Paintings,"Arthur Hoppock Hearn Fund, 1918",351fb396b736
Broadway and 42nd Street,Childe Hassam,American,1859,1935,1902,1902,Oil on canvas,26 x 22 in. (66 x 55.9 cm),Paintings,"Bequest of Miss Adelaide Milton de Groot (1876?967), 1967",807b256d805c
"Taxco, Dry Season",Paul Valentine Lantz,American,1908,2000,1939,1939,Oil on canvas,"H. 28, W. 32 inches (71.1 x 81.3 cm.)",Paintings,"Arthur Hoppock Hearn Fund, 1940",e2659ad2e019
Clothesline,Fairfield Porter,American,1907,1975,1958,1958,Oil on canvas,"H. 35-1/2, W. 41-1/2 inches (90.2 x 105.4 cm.)",Paintings,"Gift of Mrs. Fairfield Porter, in memory of Tom Hess, 1978",677e1b1701ee
"Near Land's End, Cornwall",William Trost Richards,American,1833,1905,1879,1879,Oil on canvas mounted on masonite,23 1/4 x 44 1/4 in. (59.1 x 112.4 cm),Paintings,"Gift of T. S. Matthews, 1950",e48ec405815e
Design for window,Louis Comfort Tiffany,American,1848,1933,late19th,early20thcentury,"Photograph, hand colored with gouache, mounted on board",Overall: 11 x 13 7/8 in. (27.9 x 35.2 cm) Design: 7 15/16 x 8 1/2 in. (20.2 x 21.6 cm),Photographs,"Purchase, Walter Hoving and Julia T. Weld Gifts and Dodge Fund, 1967",ccc863783fd6
Mercury Zone III,Al Held,American,1928,2005,1975,1975,Acrylic on canvas,"H. 96, W. 143 inches (243.8 x 363.8 cm.)",Paintings,"George A. Hearn Fund, 1976",4e5b33e7ab2d
The Mountain Ford,Thomas Cole,American,1801,1848,1846,1846,Oil on canvas,28 1/4 x 40 1/16 in. (71.8 x 101.8 cm),Paintings,"Bequest of Maria DeWitt Jesup, from the collection of her husband, Morris K. Jesup, 1914",ac064c9cb74d
"Winjana Gorge, Kimberleys, I",Fred Williams,Australian,1927,1982,1981,1981,Oil on canvas,"H. 59-7/8, W. 72 inches (152.1 x 182.9 cm.)",Paintings,"Gift of Lyn Watson Williams, 1992",a3150a46b7b8
"Henry Geldzahler, 1964",Dennis Hopper,American,1936,2010,2009,2009,Oil on canvas,120 x 83 in. (304.8 x 210.8 cm),Paintings,"Gift of Peter M. Brant, 2011",b474a9437870
Lake Maggiore May 12 1869 (from Sketchbook),Jervis McEntee,American,1828,1891,1869,1869,"Graphite, white gouache, watercolor, on blue paper",4 1/2 x 9 in. (11.4 x 22.9 cm),Drawings,"Morris K. Jesup Fund, 1982",baf04b79662f
Design drawing for a church interior,Louis Comfort Tiffany,American,1848,1933,late19th,early20thcentury,"Graphite, brown ink, watercolor, gouache, and brown wash on board",Overall: 26 1/8 x 17 1/4 in. (66.4 x 43.8 cm) Design: 21 1/2 x 11 1/4 in. (54.6 x 28.6 cm),Drawings,"Purchase, Walter Hoving and Julia T. Weld Gifts and Dodge Fund, 1967",584ba7a94614
The Path of the Grey Falcon of the Dawn,Alice Baber,American,1928,1982,1979,1979,Oil on canvas,"H. 72, W. 103-3/4 inches (183.9 x 263.5 cm.)",Paintings,"Gift of Mrs. Bertram Smith, 1980",a02b5d0a6814
The Homestead,Frederic M. Grant,American,1886,1959,1930,1930,Oil on canvas,"H. 46, W. 50-1/8 inches (116.8 x 127.3 cm.)",Paintings,"Gift of George D. Pratt, 1933",ddb51ed0d1f6
Design for church interior,Louis Comfort Tiffany,American,1848,1933,late19th,early20thcentury,"Watercolor, gouache, brown ink, and graphite on artist board",Overall: 19 11/16 x 26 3/4 in. (50 x 68 cm) Design: 17 1/2 x 25 1/8 in. (44.5 x 63.8 cm),Drawings,"Purchase, Walter Hoving and Julia T. Weld Gifts and Dodge Fund, 1967",c64de0c70144
Arab Woman,John Singer Sargent,American,1856,1925,1905,196,Watercolor and gouache on off-white wove paper,18 x 12 in. (45.7 x 30.5 cm),Drawings,"Gift of Mrs. Francis Ormond, 1950",5f4c7a9a2185
Suggestion for Marble & Mosaic Floor,Louis Comfort Tiffany,American,1848,1933,1932,1933,"Watercolor, gouache, and graphite on off-white wove paper",Other (Design): 19 1/4 x 11 13/16 in. (48.9 x 30 cm),Drawings,"Purchase, Walter Hoving and Julia T. Weld Gifts and Dodge Fund, 1967",069a8e45165d
Mao,Andy Warhol,American,1928,1987,1973,1973,Acrylic and silkscreen on canvas,176 1/2 x 136 1/2 in. (448.3 x 346.7cm),Paintings,"Gift of Mr. and Mrs. Peter M. Brant, 1977",76b149aee171
Mary Fanton Roberts,Robert Henri,American,1865,1929,1917,1917,Oil on canvas,32 x 26 in. (81.3 x 66 cm),Paintings,"Bequest of Mary Fanton Roberts, 1956",16f0e4d750d9
[Architectural Interior],Walker Evans,American,1903,1975,1950s,1960s,Tempera on panel,34.3 x 43.2 cm (13 1/2 x 17 in. ),Paintings,"Walker Evans Archive, 1994",e7f7b31db4ed
Dikran G. Kelekian,Walt Kuhn,American,1877,1949,1944,1944,"Watercolor, gouache, ink, and graphite on paper","ca. H. 17-3/8, W. 11-3/8 inches (44.1 x 28.9 cm.)",Drawings,"Gift of Nanette B. Kelekian, 1998",0fde37129c9a
Interior,Allen Tucker,American,1866,1939,1921,1921,Oil on canvas,25 1/8 x 30 1/8 in. (63.6 x 76.3 cm),Paintings,"Gift of the Allen Tucker Memorial, 1966",76c69cdf2d00
John A. Sidell,John Vanderlyn,American,1775,1852,1830,1830,Oil on canvas,30 x 24 in. (76.2 x 61 cm),Paintings,"Bequest of C. V. Sidell, 1899",4a05050cedc3
Art Nouveau Fish Bowl,Joe Brainard,American,1942,1994,1975,1975,"Cut and pasted printed and painted papers, gouache, and graphite on paper","H. 6-1/8, W. 4-3/8 inches (15.6 x 11.1 cm.)",Drawings,"Gift of Stanley Posthorn, in memory of the artist, 1997",7cecc159fb90
"Barn and Silo, Vermont",Edward Hopper,American,1882,1967,1927,1927,"Watercolor, gouache and charcoal on paper",13 7/8 x 19 7/8in. (35.2 x 50.5cm),Drawings,"The Lesley and Emma Sheafer Collection, Bequest of Emma A. Sheafer, 1973",60b2cf8c827f
Lair of the Sea Serpent,Elihu Vedder,American,1836,1923,1899,1899,Oil on canvas,12 x 30 in. (30.5 x 76.2 cm),Paintings,"Gift of Mrs. Harold G. Henderson, 1976",8c241b05b946
Kimiko Powers,Andy Warhol,American,1928,1987,1972,1972,Acrylic and silkscreen on canvas,"H. 40, W. 80 inches (overall) (101.6 x 203.2 cm.)",Paintings,"Gift of Isabelle and John Stevenson, 1980",828d8490d8ab
Jonathan Sturges,Asher Brown Durand,American,1796,1886,1840,1840,Oil on canvas,30 1/2 x 25 in. (77.5 x 63.5 cm),Paintings,"Bequest of Frederick Sturges Jr., 1977",e5770200fd16
Cloud Study (from Sketchbook),Jervis McEntee,American,1828,1891,1869,1869,White gouache on blue paper,4 1/2 x 9 in. (11.4 x 22.9 cm),Drawings,"Morris K. Jesup Fund, 1982",0a52e5590657
Thomas Jefferson,John Trumbull,American,1756,1843,1788,1788,Oil on mahogany,4 1/2 x 3 1/4 in. (11.4 x 8.3 cm),Paintings,"Bequest of Cornelia Cruger, 1923",243dd8b71489
The Ascension,Frederick J. Brown,American,1945,2012,1982,1982,Oil on canvas,"H. 108, W. 84 inches (274.3 x 213.4 cm.)",Paintings,"Edith C. Blum Fund, 1983",fb0e2e2a887c
Lake George,John William Casilear,American,1811,1893,1857,1857,Oil on canvas,20 5/16 x 29 7/8 in. (51.6 x 75.9 cm),Paintings,"Bequest of Maria DeWitt Jesup, from the collection of her husband, Morris K. Jesup, 1914",90d76cbe2a0f
Marinus Willett,Ralph Earl,American,1751,1801,1791,1791,Oil on canvas,91 1/4 x 56 in. (231.8 x 142.2 cm),Paintings,"Bequest of George Willett Van Nest, 1916",2a8a4aa7505c
Wind Wheel,Arthur Dove,American,1880,1946,1935,1935,"Watercolor, gouache, and ink on paper (recto); ink and graphite on paper (verso)",5 x 7 in. (12.7 x 17.8 cm),Drawings,"Alfred Stieglitz Collection, 1949",92f3e7df8c62
Second Theme,Burgoyne Diller,American,1906,1965,1938,1940,Oil on canvas,"H. 30-1/8, W. 30 inches (76.5 x 76.2 cm.)",Paintings,"George A. Hearn Fund, 1963",1de12896164d
Copper Kettle,Karl Knaths,American,1891,1971,1950,1950,Oil on canvas,"H. 35, W. 40 inches (88.9 x 101.6 cm.)",Paintings,"Gift of Mr. and Mrs. Ralph F. Colin, 1975",3beea4704a0f
Flowers,Andy Warhol,American,1928,1987,1967,1968,Acrylic and silkscreen enamel on canvas,"H. 115-1/8, W. 115-3/4 inches (292.4 x 294 cm.)",Paintings,"Gift of Irving Blum, 1985",b67ba2b1a9a8
Two Girls with Parasols,John Singer Sargent,American,1856,1925,1888,1888,Oil on canvas,29 1/2 x 25 in. (74.9 x 63.5 cm),Paintings,"Gift of Mrs. Francis Ormond, 1950",35ec09a43333
Roland,William Merritt Chase,American,1849,1916,1902,1902,Oil on canvas,20 3/8 x 16 1/4 in. (51.8 x 41.3 cm),Paintings,"Bequest of Emma T. Gary, 1937",4f6ef114438a
Joseph Sherburne,John Singleton Copley,American,1738,1815,1767,1770,Oil on canvas,50 x 40 in. (127 x 101.6 cm),Paintings,"Amelia B. Lazarus Fund, 1923",cc70ff20b18d
Sarah Annis Sully (Mrs. Thomas Sully),Thomas Sully,American,1783,1872,1832,1832,Oil on canvas,29 1/2 x 22 5/8 in. (74.9 x 57.5 cm),Paintings,"Bequest of Francis T. Sully Darley, 1914",723800db3646
Government Bureau,George Tooker,American,1920,2011,1956,1956,Egg tempera on wood,"H. 19-5/8, W. 29-5/8 inches (49.8 x 75.2 cm.)",Paintings,"George A. Hearn Fund, 1956",4d27a69ad2de
Distant View of the Catskills,John William Casilear,American,1811,1893,1891,1891,Oil on canvas,30 1/8 x 54 3/16 in. (76.5 x 137.6 cm),Paintings,"Gift of Rebecca A. Goldsmith, 1897",0c66a184aeae
Don Schrader,Fairfield Porter,American,1907,1975,1962,1962,Oil on canvas,30 x 28in. (76.2 x 71.1cm) 32 x 30 x 2 in. (81.3 x 76.2 x 5.1 cm) (Frame),Paintings,"Bequest of Arthur M. Bullowa, 1993",6005199b0b14
Italian Hill Town,Arthur B. Davies,American,1862,1928,1925,1925,Oil on canvas,25 7/8 x 39 7/8 in. (65.7 x 101.3 cm),Paintings,"Bequest of Lillie P. Bliss, 1931",504c4ac13d87
"Eaton's Neck, Long Island",John Frederick Kensett,American,1816,1872,1872,1872,Oil on canvas,18 x 36 in. (45.7 x 91.4 cm),Paintings,"Gift of Thomas Kensett, 1874",68dde659124a
Lilies,Arthur B. Carles,American,1882,1952,1935,1935,Oil on Masonite,"H. 30, W. 19 inches (76.2 x 48.3 cm.)",Paintings,"Gift of Mr. and Mrs. Harry L. Koeningsberg, 1978",609ac8edf653
Mary Inman,Daniel Huntington,American,1816,1906,1844,1844,Oil on canvas,30 x 25 in. (76.2 x 63.5 cm),Paintings,"Gift of Mrs. Dave Hennen Coddington, in memory of her husband, 1964",ac0ab6f3a672
American Gothic,Benny Andrews,American,1930,2006,1971,1971,"Oil, cut and pasted burlap, canvas, and fabric on canvas","H. 60, W. 50 inches (152.4 x 127 cm.)",Paintings,"Purchase, The Eugene and Estelle Ferkauf Foundation Gift, 1989",8796437fbe58
Lady Williams and Child,Ralph Earl,American,1751,1801,1783,1783,Oil on canvas,50 1/4 x 39 3/4 in. (127.3 x 101 cm),Paintings,"Rogers Fund, 1906",7abdf35d89db
Victorian Interior I,Horace Pippin,American,1888,1946,1945,1945,Oil on canvas,"H. 20, W. 24 inches (50.8 x 61 cm.)",Paintings,"Bequest of Jane Kendall Gingrich, 1982",1d5a7cabad04
"The Steeplechase, Coney Island",Milton Avery,American,1885,1965,1929,1929,Oil on canvas,32 x 40 in. (81.3 x 101.6 cm),Paintings,"Gift of Sally M. Avery, 1984",c28bc12a933c
Lamp and Weeds,Morris Shulman,American,1912,1978,1950,1950,Oil on Masonite,30 x 24 in. (76.2 x 61 cm),Paintings,"Gift of Mrs. Morris Shulman, 1981",a236e123dcce
William Young,James Peale,American,1749,1831,1807,1807,Watercolor on ivory in gold locket; hair reserve verso,2 13/16 x 2 1/4 in. (7.1 x 5.8 cm),Paintings,"Gift of Gloria Manney, 2006",c9647262b514
