dimensions,title,photo,technique,credittext,artyear,link,artdesc,nationality,artist,artist_birth,artist_death,production_id
48 5/8 x 36 1/4 inches,Portrait of a Boy,http://www.mfah.org/site_media/cache/23/77/2377db1939b95733c66def29964fde03.jpg,Oil on canvas,The Bayou Bend Collection; Gift of Miss Ima Hogg,1758-1760,http://www.mfah.org/art/detail/portrait-boy/,"uCharacterized by bold color, theatrical lighting, and attention to fine detail, this portrait beautifully conveys the hallmarks of John Singleton Copley's early style. The artist surrounds the jaunty boy with the signs of privilege, wealth, and social standing expected of aristocratic 18th-century portraiture, uThe identity of the boy is unknown, but such a relatively large, full-length portrait indicates that he was probably the first-born son and heir of a wealthy and socially ambitious family. His posture suggests nonchalance and easy confidence, esteemed characteristics of behavior endorsed by etiquette books of the period. Reinforcing the refined tone is the dapper rose pinned to the boy's jacket, a prop that is unique in Copley's oeuvre. The portrait's profusion of other props-a battledore and shuttlecock, a braid-trimmed tricorn hat tossed to the ground, a marble or stone architectural element that existed not in the colonies but probably in a mezzotint source of Continental or English portraits-and its complex landscape details point to a considerable effort on the part of Copley to impress his patrons with his knowledge of European prototypes and to flatter the boy's family,",American,John Singleton Copley,1738,1815,32d5a5e9a290
36 1/8 x 29 inches,Victorian Bouquet,http://www.mfah.org/site_media/cache/a8/eb/a8eb93e786649a49ef422c7145afe43d.jpg,Oil on canvas,Museum purchase with funds provided by the Agnes Cullen Arnold Endowment Fund,1850-1855,http://www.mfah.org/art/detail/victorian-bouquet/,"Severin Roesen's exuberant Victorian Bouquet showcases a profusion of brightly colored flowers and luscious ripe fruits, along with a thin-stemmed glass of sparkling wine, all resting on a dark marble ledge. This portrayal of overflowing abundance provides a feast for all of the senses and celebrates mid-19th-century America's wealth and good fortune, the result of urbanization and industrialization. Victorian Bouquet Roesen began his career as a porcelain painter in his native Germany. Because 19th-century German porcelain often displayed floral designs, that experience provided a good foundation for still-life painting. He may also have benefited from early exposure to 17th- and 18th-century Dutch paintings of fruit and flowers, as well as from the 19th-century works that revived the still-life tradition. In the late 1840s, Roesen immigrated to the United States, where he painted u. The opulent arrangement of morning glories, roses, irises, tulips, and other flowers, surrounded by fruits such as blackberries, apricots, and strawberries, exemplifies Roesen's crisp and luxuriant style. The artist greatly popularized still-life painting-a genre that did not develop into a substantial tradition in the United States until the 1850s and 1860s-and influenced American artists for generations.","American, born Germany",Severin Roesen,1815,1872,384b974b802a
69 x 78 1/2 inches,Legend,http://www.mfah.org/site_media/cache/56/7b/567bd0071f306041c4ca3e54bff27f27.jpg,Oil on canvas,Museum purchase with funds provided; by the Alice Pratt Brown Museum Fund,1977,http://www.mfah.org/art/detail/legend/,"Among the most celebrated of the Abstract Expressionist painters in the 1950s and early 1960s, Philip Guston bracketed his career with paintings devoted to the figure. In the 1940s, he painted scenes of battling figures to reflect the horrors of World War II. Late in life, Guston returned to these images, as demonstrated in this eloquent self-portrait, which can be understood as a meditation on mortality and memory. Dominating the composition is the figure of the artist, shown lying in bed. Behind him is a horse, which can be understood as a literal nightmare. uOn the left are scattered cigarettes and alcohol bottles, reminders of the bad habits Guston was forced to abandon as his health failed. The trash-can lid, which stands like a shield in the center of the composition, and the sparring clubs and fists suggest ongoing battles that populate the artist's dreams, and psyche.","American, born Canada",Philip Guston,1913,1980,a759308ed3d3
27 1/4 x 40 1/8 inches,The Call for Help,http://www.mfah.org/site_media/cache/8b/fd/8bfd5ddafec4ca14f93ba1ccc584fdef.jpg,Oil on canvas,"The Hogg Brothers Collection, gift of Miss Ima Hogg",1908,http://www.mfah.org/art/detail/call-help/,"uAt first glance, this painting is difficult to decipher. But much in the way that eyes adjust to darkness, forms and patterns begin to emerge out of the gloom, and three startled horses threatened by two wolves (or coyotes) come to light. The evocative mood and supernatural quality of this work, and others like it, made the West look like a timeless dreamworld, a quality that established Frederic Remington's nocturnes, or night scenes, among his greatest artistic achievements, Remington exhibited The Call for Help in his 1908 solo exhibition at the prestigious New York gallery Knoedler & Company. The painting received superb reviews, with at least five critics singling it out for praise. The New York Times stated that the work tells, perhaps, the most impressive story of all those in the show. Other critics likewise celebrated Remington as a great storyteller and painter, as well as a preserver of the romantic and primal side of Western life. Indeed, the composition is a masterly rendering of a tense moment set within a moonlit, snowy landscape. Using black, blue, and highlights of gray, Remington suggests the musculature, sheen, and movement of the three terror-stricken horses: one cowers, another rears, while the third, partially obscured from view, presses close to the fence. The fence itself, an abstract pattern of broad bands of light and dark, marks the collision between the wildness of nature and the order of civilization, the latter represented by the log cabin and stacks of hay or grain in the background.",American,Frederic Remington,1861,1909,f6855360c87b
44 x 49 inches,Passing By,http://www.mfah.org/site_media/cache/94/8c/948c96ef0a1c2c12414be6475785d205.jpg,Oil on canvas,"Gift of the Ranger Fund, National Academy of Design",1924,http://www.mfah.org/art/detail/passing/,"As tightly woven as a fine tapestry, Passing By shows people of the Taos Pueblo moving through a glade of cottonwoods in the brilliant autumn sun of the Southwest. The figures and landscape are integrated as one. Passing By Exhibited in the 1924 Venice Biennale and the winner of the gold medal in the 1926 exhibition at New York's National Academy of Design, Passing By is among the finest paintings produced by Taos Society artist E. Martin Hennings. The Taos Society of Artists was the first art colony established west of the Mississippi River, its roots going back to 1898. Following the development of railroad travel and tourism in the Southwest, artists rushed there and embraced Pueblo culture and the dramatic colors and topography of the desert region. Shimmering like a golden screen shot through with vivid notes of blue, this painting presents a dramatic backdrop of aspen trees against which three Taos Pueblo Indians pass by as if in a timeless procession. All three men are wrapped in woven blankets and wear silver adornment, long braids, and modern clothing. In , Hennings presents a solemn, dignified image of an enduring native culture.",American,E. Martin Hennings,1886,1956,7f6ed2f3a039
49 7/8 x 39 7/8 inches,"Portrait of Mrs. Samuel McCall, Sr.",http://www.mfah.org/site_media/cache/fd/77/fd7756a2f14563e979a4b5c15b551ca9.jpg,Oil on canvas,The Bayou Bend Collection; Gift of Miss Ima Hogg,1746,http://www.mfah.org/art/detail/portrait-mrs-samuel-mccall-sr/,"uOne of several portraits of Philadelphia's McCall family, this painting features a young woman standing erect in front of an Ionic column and beside a swath of crimson drapery and a Rococo marble-topped table on which she rests her hand. Imposing, elegant, and spare, it shows how Robert Feke provided dignified portraits for his clientele, whether in Philadelphia, Boston, Virginia, or Barbados, The first major native-born artist of the British North American colonies, Feke is known for his relatively large, impressive portraits. He borrowed from the tradition of Baroque portraiture, including swags of brightly colored drapery, columns, elegant dresses, and props. His grand portraits of colonists dressed and posed in the guise of English nobility evoke a quality of dignity and grace, and as exemplified in this excellent example, showcase a combination of grandeur and simplicity. At the time Feke painted Anne McCall, she had been married for nine years to her cousin, Samuel, a prominent Philadelphia merchant. Here, she is dressed in a radiant, crystal-buttoned, blue silk dress, with a salmon pink underskirt, accentuated at the narrow waist by a tassel belt. She gracefully holds a peony in her long, tapering fingers.",American,Robert Feke,1707,1751,a9f6a2d3aadb
13 x 18 13/16 inches,"A View of Asheville, North Carolina",http://www.mfah.org/site_media/cache/ec/0d/ec0d3c47caf8f7488fd84d5a7c86d5e3.jpg,Oil on academy board,Gift of the Susan Vaughan Foundation; in memory of Susan Clayton McAshan,1850,http://www.mfah.org/art/detail/view-asheville-north-carolina/,"This detailed, panoramic view of Asheville, North Carolina, is one of many paintings that led 19th-century critics and patrons, as well as the public, to call Robert Duncanson the best landscape painter in the West. A View of Asheville, North Carolina The first artist of African American descent to gain national and international acclaim, Duncanson emerged in the 1850s as the principal painter in and around the Cincinnati area. During the summers of 1850 through 1852, he traveled and sketched in the Ohio River Valley, visiting the western North Carolina city of Asheville, nestled in the Blue Ridge Mountains. u depicts two figures looking out over the valley, one touching the shoulder of the other and motioning toward the town. The focal points of the work, however, are the dramatic mountain range in the background and the sky above, which displays the elegant transition from the golden glow of the sun at right to blue at center. Gnarled and blasted trees bracket the image, an allusion to the passage of time and America's primordial past. Juxtaposed against the cleared valley and developing city below, they warn about man's encroachment on and destruction of nature,",American,Robert Duncanson,1821,1872,1357a54faf9f
44 x 38 inches,Aeroplane,http://www.mfah.org/site_media/cache/1e/a1/1ea1cb0fb013d8d2164c04276b20ab5e.jpg,Oil on canvas,Museum purchase with funds provided by the Brown Foundation Accessions Endowment Fund,1928,http://www.mfah.org/art/detail/aeroplane/,"uElsie Driggs was one of the only women associated with the Precisionist movement in early 20th-century American art. In precise, sharply delineated, geometric forms, the Precisionists championed the bridges, planes, towers, mills, and factories that made up America's new industrial landscape, as seen in this depiction of the latest form of transportation: the aeroplane, uDriggs, the daughter of a steel-mill engineer, understood modern industry well. In 1928, en route to Ford Motor Company's celebrated Rouge factory plant in Detroit, she became fascinated with the Ford Tri-Motor plane in which she was flying and decided to depict the aircraft in a painting. She produced several sketches and completed , upon her return to New York, where she exhibited the work in her first solo exhibition, at Daniel Gallery in 1929. Aeroplane Isolating the plane in the center of the composition, Driggs offers a specimen for the viewer to savor, a modern technological marvel. Using muted tones of gray, the artist defines the sleek metal materials of the plane. The tightly painted canvas is lined with various diagonals, creating an abstract, almost gridlike effect, which gives the plane a sense of dynamism and movement. Like other Precisionist paintings of the era, Aeroplane partakes of both realism and abstract design.",American,Elsie Driggs,1898,1992,fab782e33d97
17 3/8 x 21 3/8 inches,Walking the Chalk,http://www.mfah.org/site_media/cache/98/4a/984a0b02936966adc7333b7862dcc136.jpg,Oil on canvas,Museum purchase with funds provided by the Agnes Cullen Arnold Endowment Fund,1838,http://www.mfah.org/art/detail/walking-chalk/,"Here, in a drinking game called walking the chalk, a drunkard is challenged to see whether he is sober enough to walk in a straight line marked on the tavern floor. The work brilliantly expresses two major themes that dominated early American genre paintings: the growing concern about divisions between the North and South in the pre-Civil War years, and the social interactions among ordinary Americans in public places. This lively tavern scene by American painter Charles Deas is rich with hidden meanings that audiences would have understood in the 1830s. The figure of the con man thumbs his nose (as much a sign of indignation in the 19th century as it is today) and invites the viewer to question the scene as a scam. Although commonly a sign of fidelity, the slouched dog may refer to the popular phrase drunk as a dog, raising concerns about the excessive consumption of alcohol that would culminate in the temperance movement. The issue of slavery is suggested by the presence of the African American straddling the line, expressing the mounting apprehensions about national unity and balance as states entered the Union as either slave-holding or free. Such is the stuff of 19th-century American genre paintings that their potential meanings may be endlessly discussed and debated, the very feature of U.S. democracy that this art form aimed to celebrate.",American,Charles Deas,1818,1867,ddbbaa224cc7
80 x 80 inches,Self-Portrait,http://www.mfah.org/site_media/cache/d8/f2/d8f2dbd3a5d06b078d192e475ee25fef.jpg,Acrylic screen print on canvas,"Gift of the Charles Engelhard Foundation in honor of Linda L. Cathcart, Director of the Contemporary Arts Museum from 1979 to 1987",1986,http://www.mfah.org/art/100-highlights/warhol-self-portrait/,"In the 1960s a new artistic style overtook New York. Known as Pop Art and defined by its cool impersonality, this style embraced American popular culture, utilizing comics, tabloid photographs, and movie stills as artistic inspiration. Perhaps the best-known Pop artist was Andy Warhol, who conceived a new idea of the artist as celebrity. Across his career, Warhol worked in the traditional genre of portraiture. His portraits of celebrities such as Jackie Kennedy, Marilyn Monroe, and Elvis Presley were taken from publicity stills and newspaper photographs. He used these portraits not only to question the originality of the artistic image but also to explore themes of death, celebrity, and postwar culture. In this ghost-like self-portrait, produced a few months before his death, Warhol stares out at the viewer with an impenetrable glare. The artist's disembodied head floats against an inky black background, his image silkscreened in a pale violet. Slack-jawed and wearing a platinum fright wig, Warhol likens his face to a skull or death mask.",American,Andy Warhol,1928,1987,4da3eaffdc61
81 3/16 x 61 3/16 inches,Untitled,http://www.mfah.org/site_media/cache/0e/15/0e15d4d1d78d4d5a8103a5e4b3f14a92.jpg,Acrylic on canvas,Museum purchase with funds provided by the; Caroline Wiess Law Accessions Endowment Fund,1995,http://www.mfah.org/art/detail/glasco-untitled/,"This painting by Joseph Glasco demonstrates his skill with the vocabulary of post-World War II art, from the vigorous brushwork of the Abstract Expressionists to the push-pull color dynamics of Hans Hofmann. After serving in the Army during World War II, Glasco studied art in Texas, California, England, and Mexico before arriving in New York City during the heyday of Abstract Expressionism. Although he continued to exhibit regularly in New York, he moved away in the mid-1950s, settling in Galveston in 1972 to pursue his own brand of painting: a synthesis of European and American forms of abstraction and Surrealism. Created just a year before his death, this painting glows with a confident balance of complexity and resolution. The underlying grid structure that unites the composition is vividly animated by the gestural strokes that are laid down as middle and foregrounds; floating red rectangles further anchor the visual play across the surface. Filled with assurance and gusto, the work presents a brilliant palette animated by a syncopated compositional structure: it is the work of an artist at the peak of his career.",American,Joseph Glasco,1925,1996,23a0ed9a5537
Plate: 15 7/8 x 11 3/8 inches; Sheet: 19 3/4 x 15 3/8 inches,Under the Horse-Chestnut Tree,http://www.mfah.org/site_media/cache/15/73/1573dde897c22610ae31d7368514a8ca.jpg,Drypoint and aquatint in colors,"Gift of The Brown Foundation, Inc.",1896-1897,http://www.mfah.org/art/detail/cassatt-under-horse-chestnut-tree/,"Mary Cassatt was the only American, and one of only three women, to exhibit with the Impressionists. Early in her career, Cassatt thought of herself primarily as a painter, dismissing printmaking as reproductive and mechanical, but she later realized that prints provided a locus for experimentation and variation. Under the Horse-Chestnut Tree, Working first in black and white, Cassatt began incorporating color into her prints after viewing the 1890 exhibition of Japanese ukiyo-e prints at the \xc9cole des Beaux-Arts. No other artist succeeded in adapting the spirit of the Japanese color woodcut to the Western medium of etching as effectively as Cassatt. In Japonisme the combination of drypoint and aquatint shows remarkable juxtapositions of thin graphic lines and solid blocks of watery color. She underscores the stylistic idiom of with flattened modeling, bold outlines, and an oblique use of perspective.",American,Mary Cassatt,1844,1926,434dd1714599
14 1/8 x 6 x 6 inches,Figure without Brassiere,http://www.mfah.org/site_media/cache/ca/5e/ca5e2b98103e4aefa44709568171a704.jpg,"Steel, cast iron, and lead",Gift of The Friends of Jim Love in honor of Isabel B. Wilson,1963,http://www.mfah.org/art/detail/figure-without-brassiere/,"Jim Love uncovered the marvelous in everyday, cast-off objects. Figure without Brassiere exemplifies the best of his early work, expressing at once sexual awe and a sophisticated knowledge of Surrealist sculpture and tribal art. Figure without Brassiere A native of the Texas Panhandle and schooled in set design, Love made Houston his home in 1953. He found the genre of assemblage to be the perfect outlet for his incisive and subversive spirit, assembling totemic figures from found materials such as polishing brushes, plumbing fixtures, and scrap metal. His sculptures combined witty invention with an industrial grit, freely borrowing from popular culture, theater, and literature. Elaborating on the improvisational nature of his work, the artist said, In my world there is less planning than might be thought. You keep shuffling things and try to stay alert for whatever it is that might pop up because one thing might suggest something else. As seen in u, the joys and sorrows of falling in and out of love were among Love's foremost concerns in his work.",American,Jim Love,1927,2005,0f46f5df6e59
120 x 96 inches,Haiti,http://www.mfah.org/site_media/cache/34/98/3498210f88a90a4ed6b8905deefb902a.jpg,Oil on canvas,Gift of Mr. and Mrs. Meredith Long,1969,http://www.mfah.org/art/detail/haiti/,"Dorothy Hood painted this beautifully balanced abstraction at a time when the island republic of Haiti was experiencing severe social repression. One of her first monumental paintings, the eloquent composition creates a sense of foreboding. Haiti uHood's abstract canvases simultaneously evoke interior, psychic spaces and sweeping, natural landscapes. Trained at the Rhode Island School of Design, Hood moved to Mexico City in 1941, where she developed a lifelong interest in Surrealism and Latin American art. She continued to travel frequently to Central America after moving to Houston in 1962, represents an unusually political statement for the artist. The swift-moving washes of gold earth tones and the blue and white of sky and sea are united under the shadow of an ominous black center. The painting conjures the island of Haiti as a newly born wonder, she stated, lyrical yet tragic.",American,Dorothy Hood,1919,2000,a7c6fd88dd33
19 x 25 inches,Untitled,http://www.mfah.org/site_media/cache/d6/9c/d69c31a34415afcad70ce0cfe326b2b1.jpg,"Gouache, ink, watercolor, and graphite on paper",Museum purchase with funds provided by the; Caroline Wiess Law Accessions Endowment Fund,1964,http://www.mfah.org/art/detail/hesse-untitled/,"German-born artist Eva Hesse immigrated with her family to the United States in 1939 to escape the Nazi regime. She studied at schools including the Pratt Institute and the Cooper Union in New York, and at the Yale University School of Art and Architecture. Hesse originally considered herself to be a painter, not turning to the sculpture for which she is now famous until the mid-1960s. Her early work emphasized the vibrant colors and biomorphic abstractions characteristic of first- and second-generation Abstract Expressionists. Untitled After experimenting with the dark tones prevalent in Old Master drawings, she returned to her earlier style, as seen in this watercolor. Hesse made works on paper throughout her career, and is among her finest mid-career works. The composition displays complex, architectonic free-form abstractions, and it was executed at the pinnacle of a time when Hesse was known strictly as a painter. In 1964 and 1965, while on a year-long trip to Germany with her husband, sculptor Tom Doyle, Hesse began to create sculptures herself. During her brief mature period-before her death at age 34-Hesse continually experimented with new processes and materials in order to push the boundaries of art, moving beyond definitions of figuration or abstraction.","American, born Germany",Eva Hesse,1936,1970,d7b26a7589b9
(A) 24 15/16 x 17 15/16 inches; (B) 24 7/8 x 17 7/8 inches; (C) 24 7/8 x 17 7/8 inches,Untitled,http://www.mfah.org/site_media/cache/ae/6f/ae6f0b8fc97663dd6938b3e555fc2c7a.jpg,"A (left) acrylic and gouache on paper / B (center) wash and pasted paper on paper / C (right) acrylic, charcoal, and pasted paper on paper",Museum purchase with funds provided by the Caroline Wiess Law Accessions Endowment Fund and gift of an anonymous donor,1972,http://www.mfah.org/art/detail/untitled-diebenkorn/,"uIn 1966, after accepting a teaching position at UCLA, Richard Diebenkorn began working in a studio near the beach in Santa Monica's Ocean Park neighborhood. The artist soon embarked on a new cycle of paintings and drawings, collectively known as the , works. Ocean Park uThe light and architecture of the beach community had a profound influence on Diebenkorn's style and imagery. He abandoned his figurative vocabulary and invented an abstract language, partially reverting to his early interest in landscape-based abstraction, but rendered from an aerial perspective. Diebenkorn extrapolated the internal architecture of his , works from the stark compositions of two paintings by Henri Matisse: Ocean Park and View of Notre Dame . French Window at Collioure In this three-part work from 1972, Diebenkorn pares his Ocean Park imagery down to its most essential components. Executed in monochrome, except for the third (green) panel, Untitled u is the artist\xeds homage to the austerity of Matisse's window paintings. Realizing the centrality of this triptych to his oeuvre, Diebenkorn kept it in the living room of his Santa Monica home, a touchstone of his quarter-century-long , series.",American,Richard Diebenkorn,1922,1993,14b2d26e9ab4
Image/sheet: 9 9/16 x 7 5/8 inches,Armco Steel,http://www.mfah.org/site_media/cache/95/69/9569acf04e495ff743e4cda2a5eaf792.jpg,Palladium print with toning,Gift of the estate of Caroline Wiess Law,1922,http://www.mfah.org/art/detail/weston-armco-steel/,"uEdward Weston took this photograph at the American Rolling Mill Company in Middletown, Ohio, in 1922 while traveling from his California studio to New York City. The image demonstrates Weston's early departure from the Pictorialist style a soft-focus approach that aimed to put photography on a par with painting in favor of a more streamlined, abstract, and sharply focused aesthetic in picture-making. When he arrived in New York City and met Alfred Stieglitz, Georgia O'Keeffe, Charles Sheeler, and Paul Strand, among others, they influenced Weston to continue his exploration of Modernism in photography, Armco Steel In , Weston created a powerful and overall abstract composition. This effect is derived from the bold and dynamic vertical thrust of seven tall smokestacks that appear as one wide stepped tower, and from the interaction of the smokestacks with the curved and horizontal pipes, all against a background of factory and office buildings that themselves form a Modernist grid. This photograph symbolizes the power, wealth, scale, and significance of the steel industry in 1920s America. Weston was best known for his landscapes of the American West, particularly of the Northern California coast. Along with other important photographers such as Ansel Adams and Imogen Cunningham, he was a founding member of Group f/64. His influence was further extended by the publication of his diaries, in which he wrote of his aesthetics as well as of his life. uTo view specific works by Weston in the collection, contact the museum's , for an appointment.",American,Edward Weston,1886,1958,209d6e738f5a
Image: 3 9/16 x 4 5/16 inches; Sheet: 3 5/8 x 4 1/2 inches,"Old Glory Goes Up on Mt. Suribachi, Iwo Jima",http://www.mfah.org/site_media/cache/ee/6f/ee6f683085094a34096cf01525d4b3d6.jpg,Gelatin silver print,Gift of the Kevin and Lesley Lilly Family,1945,http://www.mfah.org/art/detail/old-glory-goes-mt-suribachi-iwo-jima/,"uOn February 23, 1945, veteran newspaper journalist Joe Rosenthal captured five United States Marines and one United States Navy Corpsman as they raised the American flag on Iwo Jima island in Japan. His photograph remains one of the best-known images of World War II's Pacific War. As the editors of , wrote, In that moment, Rosenthal's camera recorded the soul of a nation. U.S. Camera Magazine Old Glory Goes Up on Mt. Suribachi, Iwo Jima uAfter hearing that the initial flag raised was going to be replaced with a larger one, Rosenthal chose to follow the second team to the top of Mount Suribachi volcano to cover the event. Using a 4x5 field camera and not entirely ready for the initial jerk of the flagpole upward, he took a frame from his hip, anyway. The shot he thought he had missed became an American icon before he had ever seen the resulting image. Rosenthal's photograph of the flag being raised would soon grace the cover of almost every major newspaper, helping to lift human spirits in a time of war, won the Pulitzer Prize and was immortalized in the Marine Corps War Memorial in Arlington, Virginia. It has been the subject of poems, stamps, tattoos, and a major motion picture; has been reenacted at homecomings; has been re-created in Lego bricks; and has been interpreted as yard art. Few images in the history of photography have enjoyed such a full and varied life. uTo view specific works by Rosenthal in the collection, contact the museum's , for an appointment.",American,Joe Rosenthal,1911,2006,db474b6cbd67
86 x 37 1/4 x 15 3/4 inches,Two Circle Sentinel,http://www.mfah.org/site_media/cache/b4/22/b4225bfb881fad5636670ad8f0d26030.jpg,Stainless steel,Museum purchase with funds provided by the Brown Foundation Accessions Endowment Fund in memory of Alice Pratt Brown,1961,http://www.mfah.org/art/detail/smith-two-circle-sentinel/,"David Smith devoted his career to the exploration of sculptural form through the medium of steel. He admired the material not only for its durability and industrial strength, but also for the beauty of its reflective surface and its responsiveness to burnishing. Two Circle Sentinel exhibits the mastery and delicacy Smith brought to his later steel constructions. The image of the sentinel, or watcher, was a theme that fascinated Smith. He made his first Sentinel sculpture in 1956, and by the end of that decade he had created five works in the first series. In 1961 he produced four additional Sentinel sculptures, all of which are characterized by flat planes of highly burnished stainless steel. With these works Smith stripped away the volumetric qualities of sculpture and instead presented the figure as an aggressively two-dimensional presence in space. The first of the 1961 series, Two Circle Sentinel is the closest to human scale of those four. The open circle can be read as an eye, and the lower disc evokes the curve of a classic hip-shot pose. Additional elements welded to the main body of the figure capture light and shadow.",American,David Smith,1906,1965,1596f73c36e2
14 3/8 x 13 9/16 inches,"Trees, Long Island",http://www.mfah.org/site_media/cache/04/07/0407fa1141f7c1ec8d7a15feed055722.jpg,Carbon print on base of silver paint,Museum purchase with funds provided by the Long Endowment for American Art and the Sarah Campbell Blaffer Foundation,1905,http://www.mfah.org/art/detail/trees-long-island/,"In his early career, Edward Steichen firmly believed that for photography to be recognized as a serious art form, the formal qualities of the image must resemble painting. For this reason, he chose to downplay the recording function of a camera, minimizing the details of the scene in favor of a more painterly style. Here, two black trees frame a luminous chestnut tree covered with flowers that appear as though they are dabs of paint. Trees, Long Island uThe primary impetus of the earliest photography was documenting people, places, and events. Steichen's early work demonstrates a departure, to a type of photography in which the maker's personal, pictorial style is paramount. Created in a Romantic vein, this 1905 photograph of trees is more about light and the mood of the setting than faithful representation, uSteichen was an important figure in American art history not only as a photographer but also as an advocate for American art, discovering and fostering artistic talent. With photographer Alfred Stieglitz, Steichen opened an art gallery in New York City. Little Galleries of the Photo-Secession, more famously known as 291, introduced major European Modernists such as Paul C\xe8zanne, Henri Matisse, and Pablo Picasso to American artists. Steichen's later style evolved from the vaguely defined details and textures of , to exploring modes of Modernism within photography by capturing exacting details, a full range of tonal values, and convincingly solid forms. uTo view specific works by Steichen in the collection, contact the museum's , for an appointment.","American, born Luxembourg",Edward Steichen,1879,1973,e8550167cf43
9 5/8 x 12 11/16 inches,Ceramic and Fruit,http://www.mfah.org/site_media/cache/59/b9/59b9f9730977c2413396df94157692fd.jpg,Platinum print,Museum purchase with funds provided by the Brown Foundation Accessions Endowment Fund,1916,http://www.mfah.org/art/detail/ceramic-and-fruit/,"uA monument to early Modernism, Paul Strand's , demonstrates an abandonment of Pictorialism, characterized by a romantic and painterly style, in favor of carefully rendered Abstraction. Ceramic and Fruit uAfter studying with photographer and social reformer Lewis Hine at the Ethical Culture School in New York, Strand traveled throughout Europe. Upon his return to the United States, Strand compiled a portfolio that garnered the 26-year-old a one-man show with photographer and gallery owner Alfred Stieglitz. Strand's work was of particular and timely interest to Stieglitz, who had been seeking photographic divergence from the then-dominant style, Pictorialism. Stieglitz sought images that could keep pace with the 20th-century experience, and Strand's work fit the bill, In the summer of 1916, Strand produced a series of compositional studies that pushed the medium of photography into artistic terrain that had been considered too complex to master with a camera. Influenced by the work of Paul C\xe9zanne, Pablo Picasso, and other Cubist artists, Strand worked closely with still lifes, removing subjects from their normal surroundings and shaping novel approaches to perspective and composition. Ceramic and Fruit. uTo view specific works by Strand in the collection, contact the museum's , for an appointment. Through confronting issues of space, dimensionality, and perspective, Strand's photographic still lifes, along with modern views of the city by Stieglitz and other photographers, created a brand-new Modernist aesthetic within photography. Strand employed what he called straight photographic methods to clearly see the limitations and at the same time the potential qualities of his medium. This balance became the essence of the 20th-century American Modernist movement. Strand's early still lifes are richly printed and exceptionally rare-he made 14 in total, and only one print of u Strand's innovative approach to still life is an important testament to modern art.",American,Paul Strand,1890,1976,6f9ff52fcfe9
Image/Sheet: 9 7/8 x 6 5/8 inches,"Untitled, from the series The Country Doctor",http://www.mfah.org/site_media/cache/27/7f/277fc20fd383df0ef33ad388880166ae.jpg,Gelatin silver print,"Gift of Mr. and Mrs. B. W. Crain in honor of E. L. Crain, M.D.",1948,http://www.mfah.org/art/detail/untitled-series-country-doctor/,"After W. Eugene Smith recovered from the injuries he sustained while producing powerful World War II reportage in the South Pacific, he rejoined Life magazine, which had been founded in 1936 to publish photo essays taken with a mind-guided camera. With his Country Doctor useries, Smith stretched the dimensions of the photo essay by adding an interpretive dimension to the traditional narrative content. The photographs not only documented what the doctor did, but also explored the emotional dimension of the physician's profession, An advocate for moral responsibility in journalism, Smith sought to awaken the conscience of viewers through his photographs. By carefully selecting his subjects and then spending substantial periods of time with them to get a more intimate perspective on their lives, he created in-depth essays that evoke viewer sympathy. This process revolutionized the new field of photojournalism by expanding the scope of what a photo essay could be. Although Smith created several other seminal essays for Life , he felt that the photo essay should be largely managed by the photographer, a view that created friction with editors who were more text-oriented. He ultimately resigned and worked as an independent artist to further his causes. uTo view specific works by Smith in the collection, contact the museum's , for an appointment.",American,W. Eugene Smith,1918,1978,a3898e1a49f6
23 5/16 x 19 1/4 inches,The Brown Angel,http://www.mfah.org/site_media/cache/55/46/55463a194ed20b476df5ffd936bb683b.jpg,Tempera on gesso panel,"Gift of the Caroline Wiess Law Foundation, with additional funds provided by the African American Art Advisory Association and Exxon/Mobil",1959,http://www.mfah.org/art/detail/brown-angel/,"One of the most prominent and prolific American painters of the 20th century, Jacob Lawrence pioneered a Modernist pictorial style while retaining a personal commitment to the figurative. He launched his painting career in Social Realism, the result of his studies with the Works Progress Administration and the Harlem Art Workshop in the 1930s. In the two decades that followed, Lawrence produced a number of paintings that depict nightlife, of which The Brown Angel is exemplary. Brown v. Board of Education uLawrence renders the interior of a bar with an intense compositional dynamism, bold patches of flattened color, and an overall sense of patterning. But these edgy, splintered forms also point to a larger feeling of social unease. The schematic figures and the fractured bar lend an air of tension and disquiet, one that relays the collective anxiety of the black community on the cusp of the Civil Rights Movement. In this scene, painted after the Supreme Court's 1954 , decision, desegregation and its violent backlash loom overhead, much like the timekeeping brown angel who overlooks all.",American,Jacob Lawrence,1917,2000,b9dd4e944863
